N	3gram	Voloshinov	OGranits
1	с точки зрения	5	5
2	не может быть	2	4
3	одно и то	5	3
4	вполне понятно что	1	3
5	по отношению к	2	3
6	и т.п и	3	3
7	в том что	1	2
8	то же слово	2	2
9	не что иное	2	2
10	того или иного	5	2
11	не только его	1	2
12	в зависимости от	7	2
13	представим себе что	1	2
14	и то же	5	2
15	есть не что	2	2
16	слов и их	2	2
17	социального общения и	3	2
18	в самом деле	2	2
19	что иное как	2	2
20	же слово в	1	2
21	с другой стороны	1	2
22	с самого начала	4	2
23	в жизненной речи	1	2
24	мы все же	1	1
25	и т.д и	5	1
26	само собой разумеется	2	1
27	и тем что	1	1
28	не было бы	2	1
29	в человеческом обществе	1	1
30	на самом деле	3	1
31	собственном смысле слова	1	1
32	и является нашей	1	1
33	таким образом мы	1	1
34	не мог протекать	1	1
35	и как бы	2	1
36	все то что	2	1
37	существует лишь в	1	1
38	чуть ли не	2	1
39	иметь в виду	1	1
40	иметь не может	1	1
41	художественного высказывания они	1	1
42	но в то	2	1
43	равно как и	2	1
44	в конечном счете	1	1
45	мы должны перейти	1	1
46	тех или иных	3	1
47	выбор слова и	1	1
48	для того чтобы	7	1
49	мы уже видели	3	1
50	о языке и	1	1
51	только потому что	2	1
52	подойти и к	1	1
53	словесного материала и	1	1
54	распадаются на две	1	1
55	мы должны различать	1	1
56	эта социальная установка	1	1
57	на две группы	1	1
58	и именно с	1	1
59	и никогда не	1	1
60	никакого отношения не	1	1
61	является нашей задачей	1	1
62	в этой структуре	1	1
63	данной социальной группы	1	1
64	не только на	1	1
65	себе что мы	1	1
66	хотя бы в	1	1
67	то или иное	4	1
68	и отстоявшихся в	1	1
69	в собственном смысле	1	1
70	перейти теперь к	1	1
71	организующих сил которые	1	1
72	материале внутренней речи	1	1
73	тех случаях когда	2	1
74	в другом месте	1	1
75	слова и наконец	1	1
76	и есть не	1	1
77	ту или иную	4	1
78	нужно отметить что	1	1
79	в хх веке	1	1
80	как и в	1	1
81	в связи с	2	1
82	то же самое	4	1
83	теперь мы можем	1	1
84	и не мог	1	1
85	т.д и т.д	1	1
86	вне материального выражения	1	1
87	к тому что	2	1
88	та или иная	1	1
89	что ведь и	1	1
90	и его социальной	1	1
91	тем не менее	1	1
92	отношения не имеют	1	1
93	в каждом слове	2	1
94	эту точку зрения	1	1
95	в разных местах	2	1
96	протекал и не	1	1
97	нет и не	1	1
98	ведь в самом	1	1
99	не протекал и	1	1
100	что же такое	2	1
101	и к тому	1	1
102	живых организующих сил	1	1
103	в этом отношении	2	1
104	и находит свое	1	1
105	точки зрения и	1	1
106	то же время	7	1
107	мог протекать ни	1	1
108	каждом слове в	2	1
109	что же является	1	1
110	протекать ни один	1	1
111	не должно быть	2	1
112	более или менее	1	1
113	в то же	9	1
114	для всех решительно	1	1
115	но и его	1	1
116	само по себе	1	1
117	прежде всего в	4	1
118	в виду что	1	1
119	создается прежде всего	1	1
120	и в области	2	1
121	можно было бы	1	1
122	мы не можем	1	1
123	которая и дает	1	1
124	в целом произведении	1	1
125	в тех случаях	2	1
126	должны перейти теперь	1	1
127	этим путем можно	1	1
128	в последнем счете	1	1
129	конечно мы не	1	1
130	материального выражения нет	1	1
131	и не может	1	1
132	слове в каждом	1	1
133	тот же самый	1	1
134	том что язык	1	1
135	тип речевого взаимодействия	1	1
136	на этом мы	1	1
