N	2gram	Propp_Isto	Retstnzi
1	не может	19	4
2	и в	40	3
3	в центре	1	2
4	один из	10	2
5	в особенности	3	1
6	несмотря на	1	1
7	может быть	37	1
8	не только	28	1
9	может не	1	1
10	для него	2	1
11	с теми	1	1
12	в ней	10	1
13	тех же	1	1
14	права и	1	1
15	связи с	10	1
16	не из	1	1
17	из крупнейших	1	1
18	бы на	1	1
19	если один	1	1
20	с другими	2	1
21	лучше всего	2	1
22	больше ничего	1	1
23	его от	1	1
24	сил которые	1	1
25	если бы	8	1
26	художественного произведения	1	1
27	исходя из	1	1
28	на примере	1	1
29	в его	10	1
30	не менее	7	1
31	именно с	1	1
32	и социальной	3	1
33	в языке	1	1
34	но и	21	1
35	впадает в	1	1
36	мы видим	16	1
37	к тому	6	1
38	можно назвать	3	1
39	тому что	1	1
40	в то	4	1
41	из этих	2	1
42	и больше	1	1
43	на русской	1	1
44	он в	5	1
45	ни один	8	1
46	то же	21	1
47	при анализе	1	1
48	а не	18	1
49	бы в	2	1
50	и должно	3	1
51	в системе	2	1
52	и не	19	1
53	так называемая	3	1
54	на нее	3	1
55	и все	1	1
56	истории но	1	1
57	и на	6	1
58	себя от	1	1
