N	3gram	Medvedev_U	Formalny
1	не может быть	4	29
2	то же время	3	20
3	в то же	3	20
4	в самом деле	2	11
5	в этом отношении	2	11
6	бы то ни	3	10
7	с другой стороны	3	9
8	до сих пор	2	8
9	с одной стороны	1	8
10	более или менее	1	7
11	то ни было	3	7
12	формального метода в	1	7
13	в том что	2	6
14	и в то	1	6
15	с тем что	1	6
16	сам по себе	1	6
17	в данном случае	1	6
18	мы полагаем что	1	6
19	в художественном произведении	2	6
20	в этом смысле	2	5
21	в той же	1	4
22	не в том	1	4
23	в конце концов	2	4
24	художественное произведение как	1	4
25	не могут быть	2	4
26	не входит в	1	4
27	же время не	1	3
28	так или иначе	1	3
29	друг с другом	1	3
30	поэтика должна быть	1	3
31	то же самое	2	3
32	на первый план	1	3
33	о формальном методе	1	3
34	и в этой	2	3
35	равно как и	1	3
36	в своей работе	1	3
37	и в частности	2	3
38	в противном случае	2	3
39	но в то	1	3
40	формального метода не	1	2
41	хотя бы и	2	2
42	но даже и	2	2
43	метода в россии	1	2
44	тех или иных	2	2
45	и прежде всего	1	2
46	в данное время	1	2
47	в отдельности и	1	2
48	в широком смысле	1	2
49	слово как таковое	1	2
50	формалисты отнюдь не	1	2
51	искусство как прием	1	2
52	в процессе художественного	1	2
53	наука о литературе	1	2
54	имеем в виду	1	2
55	поэтики на лингвистику	1	2
56	этом отношении очень	1	2
57	они находятся в	1	2
58	и в их	1	2
59	не только в	1	2
60	мы имеем в	1	2
61	в этом случае	1	2
62	как сделан дон-кихот	1	2
63	и истории литературы	1	2
64	при таком понимании	1	2
65	литературе хочет стать	1	1
66	это в совокупности	1	1
67	художественного произведения как	1	1
68	не о методах	1	1
69	постулирует историческую индивидуальность	1	1
70	о литературе хочет	1	1
71	формального метода как	2	1
72	метода он становится	1	1
73	этом отношении статья	1	1
74	этом смысле можно	1	1
75	сводится к следующему	1	1
76	у нас в	1	1
77	данного произведения в	1	1
78	язык в его	1	1
79	содержания и формы	1	1
80	от произведения искусства	1	1
81	может пройти мимо	1	1
82	наукой она принуждается	1	1
83	произведения искусства как	1	1
84	общих принципов и	1	1
85	душа сюда же	1	1
86	сюда же литературного	1	1
87	о методах изучения	1	1
88	идет не о	1	1
89	обычное правило форма	1	1
90	пишет в шкловский	1	1
91	ориентации поэтики на	1	1
92	и в конце	1	1
93	формы слова у	1	1
94	то о чем	1	1
95	в этом плане	1	1
96	изучения литературы а	1	1
97	в современном европейском	1	1
98	правило форма создает	1	1
99	весь и сплошь	1	1
100	в этой области	3	1
101	с другом не	1	1
102	о литературном факте	1	1
103	хочет стать наукой	1	1
104	если наука о	1	1
105	создает для себя	1	1
106	как литературные произведения	1	1
107	не может пройти	1	1
108	установку на выражение	1	1
109	органического единства и	1	1
110	литературы а о	1	1
111	форма создает для	1	1
112	содержания в искусстве	1	1
113	на лингвистику в	1	1
114	а не только	1	1
115	не как литературные	1	1
116	не связанных и	1	1
117	к сожалению и	1	1
118	чуждых друг другу	1	1
119	как психологические документы	1	1
120	на каждом шагу	2	1
121	то что было	1	1
122	является с одной	1	1
123	принуждается признать приемы	1	1
124	большей или меньшей	1	1
125	на то что	1	1
126	формальным методом и	1	1
127	в сторону от	1	1
128	для формального метода	1	1
129	же литературного произведения	1	1
130	художественного восприятия а	1	1
131	он вводит понятие	1	1
132	по крайней мере	2	1
133	признать приемы своим	1	1
134	а как психологические	1	1
135	литературные произведения а	1	1
136	вопрос идет не	1	1
137	склонен рассматривать не	1	1
138	что все они	1	1
139	для себя содержание	1	1
140	можно сказать что	1	1
141	произведения а как	1	1
142	в художественном творчестве	2	1
143	только в этом	1	1
144	рассматривать не как	1	1
145	в точном смысле	1	1
146	истории литературы как	1	1
147	все же не	1	1
148	на форму и	1	1
149	она принуждается признать	1	1
150	не было бы	1	1
151	другой стороны в	1	1
152	и быть не	1	1
153	содержание душа сюда	1	1
154	как на элемент	1	1
155	стать наукой она	1	1
156	или меньшей степени	1	1
157	таком понимании форма	1	1
158	своим единственным героем	1	1
159	поэтика и лингвистика	1	1
160	и случилось с	1	1
161	и конструктивное значение	1	1
162	по меньшей мере	1	1
163	сумме его стилистических	2	1
164	тем что он	1	1
165	никогда не может	1	1
166	между тем в	1	1
167	точном смысле этого	1	1
168	в большей или	1	1
169	формальном методе и	1	1
170	приемы своим единственным	1	1
171	о чем рассказывается	1	1
172	самое ее существование	1	1
173	искусства в его	1	1
174	его стилистических приемов	2	1
175	все это в	1	1
176	методах изучения литературы	1	1
177	является одним из	1	1
178	уже не как	1	1
