N	3gram	Medvedev_S	Komedia
1	в том что	2	29
2	в то же	1	16
3	то же время	1	16
4	по отношению к	2	9
5	с одной стороны	1	9
6	в конце концов	2	7
7	во всяком случае	1	7
8	в связи с	1	6
9	о том как	1	5
10	то же самое	1	5
11	чуть ли не	1	4
12	в этой области	1	4
13	друг от друга	1	3
14	в конечном счете	1	2
15	и в то	1	2
16	на первый план	1	2
17	что он говорит	1	1
18	благодаря тому что	1	1
19	должно было бы	1	1
20	что все это	1	1
21	а между тем	1	1
22	все же это	1	1
23	а тем более	1	1
24	и стало быть	1	1
25	наше время в	1	1
26	в наше время	1	1
27	это вовсе не	1	1
28	и в этом	1	1
29	нашей работы в	1	1
30	самым активным образом	1	1
31	по крайней мере	1	1
32	то что в	1	1
33	все это как	1	1
34	как художественный организм	1	1
35	в настоящее время	1	1
36	трудно представить себе	1	1
37	не было бы	1	1
38	в противном случае	1	1
39	в лучшем случае	1	1
40	главным образом в	1	1
41	сама по себе	1	1
