N	3gram	Trubetskoy	TeoriaLi
1	в том что	7	10
2	по отношению к	1	10
3	в то же	10	8
4	то же время	10	8
5	того или иного	2	6
6	более или менее	4	6
7	состоит в том	1	6
8	не может быть	4	5
9	для того чтобы	6	5
10	в данном случае	3	5
11	одного и того	1	4
12	и того же	1	4
13	в свою очередь	1	3
14	той или иной	3	3
15	с точки зрения	9	3
16	в том числе	1	3
17	тем не менее	1	3
18	тех или иных	1	3
19	в связи с	1	3
20	тот или иной	1	3
21	в противном случае	1	2
22	до известной степени	1	2
23	в единое целое	1	2
24	в самом деле	1	2
25	внутренней и внешней	1	2
26	но в то	1	2
27	том числе и	1	2
28	и тем самым	2	2
29	то ни было	1	2
30	сама по себе	2	2
31	к тому что	2	2
32	бы то ни	4	2
33	в значительной степени	1	2
34	что он не	2	1
35	и в жизни	1	1
36	в том и	2	1
37	том случае если	3	1
38	и т.д эта	1	1
39	себе еще не	1	1
40	и прежде всего	1	1
41	ни к чему	2	1
42	к чему не	1	1
43	в большинстве случаев	2	1
44	в противоречие с	2	1
45	по крайней мере	1	1
46	заключается в том	1	1
47	о том что	2	1
48	заключает в себе	1	1
49	в себе и	2	1
50	она могла бы	1	1
51	точки зрения в	1	1
52	себя только в	1	1
53	не только к	2	1
54	это и есть	1	1
55	как видно из	1	1
56	к одному из	1	1
57	все что может	2	1
58	таким же образом	2	1
59	друг от друга	2	1
60	в настоящее время	2	1
61	и как бы	1	1
62	в основе его	1	1
63	отношение человека к	1	1
64	в своем сознании	1	1
65	как бы не	1	1
66	того что не	1	1
67	речь идет не	1	1
68	перед нами не	1	1
69	относится не только	1	1
70	может быть назван	1	1
71	в том случае	4	1
72	дело в том	1	1
73	и в частности	1	1
74	а между тем	5	1
75	по себе еще	1	1
76	между собой и	1	1
77	речь идет о	1	1
78	в лучшем случае	3	1
79	точно так же	2	1
80	так же как	1	1
81	в этом случае	3	1
82	а в том	1	1
83	к тому же	1	1
84	на первый взгляд	1	1
85	же время эти	1	1
86	то же самое	1	1
87	к вопросу о	3	1
88	только то что	1	1
89	в полной мере	1	1
