N	4gram	Vygotskiy_	StatiiOP
1	заключается в том что	8	6
2	в то время как	3	5
3	в том что в	1	4
4	в том смысле что	1	3
5	и в самом деле	14	3
6	в том что он	3	3
7	состоит в том что	1	2
8	в том что она	2	2
9	до тех пор пока	2	2
10	когда речь идет о	1	2
11	и вместе с тем	3	2
12	том что он не	2	2
13	это объясняется тем что	1	2
14	с тем что в	1	2
15	все более и более	4	2
16	о которых я говорил	1	2
17	не в том что	1	2
18	и в этом отношении	1	2
19	том и другом случае	1	1
20	я не сомневаюсь что	1	1
21	ни в каком случае	1	1
22	для того чтобы показать	2	1
23	с другой стороны нельзя	1	1
24	речь идет не о	1	1
25	и я не сомневаюсь	1	1
26	же мере в какой	1	1
27	задача состоит в том	1	1
28	в том смысле как	1	1
29	ни на одну минуту	1	1
30	в той же мере	1	1
31	точно так же и	1	1
32	заключается вовсе не в	1	1
33	и т д вот	1	1
34	о том значении которое	1	1
35	что в таком виде	1	1
36	только в том случае	4	1
37	с этой точки зрения	2	1
38	в каком случае не	1	1
39	будто к тому что	1	1
40	то что он не	1	1
41	речь идет о том	1	1
42	в одной и той	1	1
43	не может жить без	1	1
44	что в то время	1	1
45	в этом случае есть	1	1
46	только в том что	1	1
47	до сих пор в	1	1
48	а на самом деле	1	1
49	состоит в том чтобы	1	1
50	потому что не может	1	1
51	вовсе не в том	1	1
52	в том и другом	1	1
53	одной и той же	3	1
54	в самом деле в	1	1
55	ответ на этот вопрос	1	1
56	которых до сих пор	1	1
57	одно и то же	3	1
58	где речь идет о	1	1
59	свидетельствует о том что	1	1
60	как будто к тому	1	1
61	в целом ряде случаев	1	1
62	что вы говорите совершенно	1	1
63	то это означало бы	1	1
64	до сих пор не	1	1
65	привыкли к тому что	1	1
66	и т д все	1	1
67	тем что в ней	1	1
68	т д все это	1	1
69	так же как и	1	1
70	другой стороны нельзя не	1	1
71	указание на то что	1	1
72	к тому что в	1	1
73	точно так же как	1	1
