N	2gram	Propp_Morf	UchenyiS
1	и в	17	14
2	не только	8	10
3	а не	11	10
4	и не	16	8
5	прежде всего	14	8
6	то что	10	7
7	в этом	18	7
8	не может	19	7
9	может быть	61	6
10	хотя бы	5	5
11	то же	10	5
12	и только	3	5
13	все это	2	5
14	с другой	9	4
15	в этой	3	4
16	в россии	2	4
17	что такое	3	4
18	но и	9	4
19	в их	1	4
20	бы то	3	3
21	было бы	5	3
22	и то	1	3
23	или точнее	1	3
24	как такового	2	3
25	этой области	1	3
26	это не	6	3
27	как и	4	3
28	то ни	3	3
29	вряд ли	2	3
30	для него	2	3
31	формы в	1	3
32	в своей	1	3
33	все же	9	3
34	ни было	2	3
35	в области	1	3
36	в частности	2	3
37	в то	4	3
38	не как	1	3
39	у нас	3	3
40	пришлось бы	1	3
41	другой стороны	5	3
42	но в	4	3
43	же время	1	3
44	все они	1	2
45	таким образом	26	2
46	если не	1	2
47	же не	1	2
48	не приходится	1	2
49	материал для	1	2
50	в противном	1	2
51	могли бы	2	2
52	его и	2	2
53	если бы	3	2
54	самом деле	4	2
55	могут быть	21	2
56	является в	2	2
57	не в	3	2
58	это было	3	2
59	для всех	1	2
60	и с	1	2
61	до сих	1	2
62	их и	1	2
63	же самое	1	2
64	думается что	1	2
65	одним из	2	2
66	как таковой	2	2
67	но не	8	2
68	по существу	13	2
69	тем что	4	2
70	более чем	1	2
71	в себе	1	2
72	в его	1	2
73	должна быть	2	2
74	мы не	8	2
75	мы получаем	2	2
76	ничего не	5	2
77	всех этих	1	2
78	материала и	1	2
79	между тем	5	2
80	приемов и	1	2
81	что она	2	2
82	не есть	1	2
83	что он	5	2
84	на эту	1	2
85	этом отношении	2	2
86	противном случае	1	2
87	о чем	1	2
88	как раз	1	2
89	в некоторых	4	2
90	тех или	1	2
91	не могут	7	2
92	что мы	2	2
93	в том	10	2
94	это уже	3	2
95	том что	7	2
96	надо было	1	2
97	или иных	1	2
98	но это	6	2
99	и для	4	2
100	в итоге	2	2
101	что и	10	2
102	не столько	1	2
103	из материала	1	2
104	с его	3	2
105	и у	3	2
106	превращается в	2	2
107	на первый	3	2
108	сих пор	1	2
109	только в	3	2
110	что все	1	2
111	не все	6	2
112	вопроса о	3	2
113	верно и	1	1
114	первый взгляд	3	1
115	раз обратное	1	1
116	в той	1	1
117	в г	1	1
118	и материал	1	1
119	так то	1	1
120	что в	10	1
121	в точных	1	1
122	то сколько	1	1
123	бы только	1	1
124	и даже	2	1
125	этого и	1	1
126	она все	1	1
127	более или	2	1
128	о необходимости	1	1
129	метод и	1	1
130	но он	1	1
131	этом случае	10	1
132	в свое	2	1
133	или просто	2	1
134	в которой	3	1
135	имеем в	8	1
136	можно сказать	2	1
137	этого не	2	1
138	наталкиваемся на	1	1
139	как таковыми	1	1
140	мы можем	5	1
141	что же	2	1
142	которой все	2	1
143	в данном	2	1
144	у кого	1	1
145	она строится	1	1
146	что под	1	1
147	что ему	1	1
148	как таковая	2	1
149	подобным образом	1	1
150	больше чем	1	1
151	а для	1	1
152	еще раз	1	1
153	наука о	2	1
154	как на	1	1
155	равно как	1	1
156	быть не	1	1
157	часто встречается	1	1
158	он в	1	1
159	и все	1	1
160	слова а	1	1
161	что этот	2	1
162	в точном	1	1
163	из самых	1	1
164	существенным для	1	1
165	принципа в	1	1
166	состоит из	3	1
167	как таковое	3	1
168	сказать что	4	1
169	к следующему	1	1
170	пока для	1	1
171	от вопроса	2	1
172	она должна	1	1
173	данном случае	2	1
174	самыми разнообразными	1	1
175	но для	3	1
176	думает о	1	1
177	один пример	1	1
178	свое место	1	1
179	этих функций	1	1
180	и др	12	1
181	затем он	1	1
182	не делает	1	1
183	и действительно	1	1
184	очень часто	6	1
185	методах изучения	1	1
186	того как	2	1
187	точном смысле	1	1
188	в таком	1	1
189	но прежде	1	1
190	и направлено	1	1
191	исходить из	1	1
192	для изучения	1	1
193	принципов и	1	1
194	оно по	1	1
195	ссылка на	1	1
196	она не	2	1
197	в течение	1	1
198	она в	2	1
199	относятся к	2	1
200	говорить не	1	1
201	с тем	2	1
202	входит в	4	1
203	только как	1	1
204	тем в	1	1
205	еще одно	1	1
206	специфическая форма	2	1
207	одной стороны	2	1
208	или по	2	1
209	мы имеем	19	1
210	в отдельности	1	1
211	и простое	1	1
212	их в	2	1
213	же в	3	1
214	он может	2	1
215	но по	1	1
216	что такой	1	1
217	где же	1	1
218	из первых	2	1
219	даже не	3	1
220	функция а	1	1
221	и независимо	1	1
222	это значит	1	1
223	он называет	1	1
224	оно является	1	1
225	в этот	1	1
226	связанные с	1	1
227	для тех	1	1
228	не вполне	1	1
229	на то	3	1
230	уже имеются	1	1
231	делает и	1	1
232	но если	10	1
233	не значит	3	1
234	только для	2	1
235	не входит	2	1
236	функции как	2	1
237	сюда же	5	1
238	в которых	2	1
239	к этому	4	1
240	так и	10	1
241	это то	1	1
242	о нем	1	1
243	что с	1	1
244	из которых	5	1
245	друг с	1	1
246	ее в	3	1
247	этого материала	1	1
248	в качестве	8	1
249	о котором	1	1
250	он не	5	1
251	из приемов	1	1
252	независимо от	4	1
253	материал и	1	1
254	все что	1	1
255	на его	5	1
256	и что	3	1
257	одно из	1	1
258	форма в	3	1
259	и это	1	1
260	в различных	2	1
261	с одной	2	1
262	которых она	1	1
263	основного принципа	1	1
264	с другом	1	1
265	он был	1	1
266	на своем	1	1
267	и делает	1	1
268	имеет свою	1	1
269	ходов и	1	1
270	вводится в	1	1
271	должно быть	1	1
272	случае он	2	1
273	что при	3	1
274	об этом	5	1
275	задачи и	1	1
276	точно и	1	1
277	является одним	1	1
278	в виду	1	1
279	к которой	1	1
280	или менее	2	1
281	к созданию	1	1
282	формы является	1	1
283	в пределах	3	1
284	тот же	1	1
285	уже не	4	1
286	и вне	3	1
287	о том	6	1
288	не то	1	1
289	по его	1	1
290	далеко не	5	1
291	того что	3	1
292	у него	2	1
293	друг другу	1	1
294	но такое	2	1
295	в котором	1	1
296	не существует	3	1
297	бы в	2	1
298	в виде	3	1
299	приводит к	3	1
