N	2gram	Bakhtin_Pr	UchenyiS
1	и в	38	14
2	формальный метод	3	11
3	не только	9	10
4	а не	5	10
5	и не	42	8
6	прежде всего	13	8
7	то что	8	7
8	в этом	15	7
9	не может	27	7
10	может быть	26	6
11	эстетического объекта	37	6
12	в искусстве	12	6
13	перестает быть	4	5
14	хотя бы	4	5
15	то же	5	5
16	художественного творчества	12	5
17	в художественном	20	5
18	и только	4	5
19	все это	3	5
20	художественное произведение	8	5
21	в конечном	4	4
22	с другой	7	4
23	в этой	1	4
24	в россии	2	4
25	конечном счете	4	4
26	конечно не	5	4
27	но и	9	4
28	в их	10	4
29	бы то	3	3
30	было бы	8	3
31	не о	1	3
32	и формы	1	3
33	или точнее	2	3
34	как такового	3	3
35	этой области	2	3
36	это не	5	3
37	как и	7	3
38	то ни	3	3
39	для него	1	3
40	формы в	1	3
41	в своей	7	3
42	все же	6	3
43	ни было	3	3
44	в области	11	3
45	в частности	2	3
46	в то	4	3
47	не как	1	3
48	у нас	2	3
49	другой стороны	4	3
50	не следует	2	3
51	но в	4	3
52	же время	3	3
53	все они	5	2
54	художественной формы	9	2
55	таким образом	10	2
56	в самом	7	2
57	материальной эстетики	11	2
58	не приходится	1	2
59	в противном	3	2
60	могли бы	1	2
61	его и	1	2
62	если бы	3	2
63	самом деле	6	2
64	могут быть	5	2
65	не в	7	2
66	ни от	1	2
67	это было	1	2
68	бы и	1	2
69	для всех	1	2
70	и с	17	2
71	в противовес	1	2
72	до сих	1	2
73	их и	2	2
74	же самое	2	2
75	материал как	2	2
76	художественном творчестве	10	2
77	поэтики на	1	2
78	как таковой	2	2
79	но не	12	2
80	по существу	2	2
81	форму и	2	2
82	тем что	2	2
83	в себе	4	2
84	в его	43	2
85	искусства как	2	2
86	даже и	1	2
87	быть обоснована	1	2
88	должна быть	4	2
89	для поэзии	4	2
90	именно как	1	2
91	ничего не	6	2
92	всех этих	1	2
93	материала и	2	2
94	словесного творчества	2	2
95	между тем	7	2
96	не есть	6	2
97	художественного произведения	11	2
98	что он	2	2
99	на эту	1	2
100	дело конечно	1	2
101	этом отношении	2	2
102	противном случае	3	2
103	о чем	1	2
104	художественном произведении	5	2
105	в некоторых	2	2
106	не могут	2	2
107	а как	3	2
108	что мы	1	2
109	в том	8	2
110	представляется нам	2	2
111	это уже	1	2
112	том что	3	2
113	художественного задания	1	2
114	художественных произведений	2	2
115	нас в	1	2
116	но это	3	2
117	этом смысле	3	2
118	работы по	1	2
119	материал не	1	2
120	а о	1	2
121	и для	11	2
122	и является	1	2
123	что и	2	2
124	меньшей степени	1	2
