N	4gram	Vinokur_St	slovoVRo
1	в то же время	5	18
2	в той или иной	1	13
3	и т п в	4	8
4	но в то же	2	7
5	и в то же	1	6
6	в этом случае она	1	4
7	одно и то же	1	3
8	и в этом случае	2	2
9	и в том и	1	2
10	языка не может быть	1	2
11	в то время как	1	2
12	бы они ни были	1	2
13	и т п но	1	2
14	до сих пор не	1	2
15	именно в том что	1	1
16	одни и те же	1	1
17	и не может не	1	1
18	в этом его основное	1	1
19	в том что она	1	1
20	во всяком случае не	2	1
21	дело в том что	7	1
22	так и в отношении	1	1
23	в том что в	3	1
24	что не может быть	2	1
25	заключается именно в том	1	1
26	только с точки зрения	1	1
27	том что он не	2	1
28	в том числе и	2	1
29	и т п на	1	1
30	как бы они ни	1	1
31	дело не только в	1	1
32	в том что он	3	1
33	но с другой стороны	2	1
34	бы то ни было	1	1
35	с другой стороны и	1	1
36	в целом ряде случаев	1	1
37	так же как и	1	1
38	нашло свое выражение в	2	1
39	которое нашло свое выражение	1	1
