N	2gram	Voloshinov	Psycholo
1	то что	9	193
2	и в	42	190
3	в том	3	163
4	что в	1	123
5	потому что	7	114
6	том что	3	113
7	и что	1	108
8	может быть	13	107
9	таким образом	8	102
10	в этом	10	100
11	то есть	5	97
12	все время	5	86
13	в самом	5	82
14	как бы	30	80
15	для того	9	78
16	того чтобы	7	78
17	что он	2	76
18	не только	28	75
19	на то	1	73
20	и не	14	73
21	самом деле	5	70
22	точки зрения	11	69
23	не может	13	68
24	если мы	4	66
25	так же	4	63
26	так как	8	63
27	было бы	7	56
28	если бы	4	55
29	то же	16	54
30	о том	4	54
31	при этом	9	52
32	как и	12	51
33	что и	3	50
34	а не	7	50
35	что это	4	49
36	сказать что	3	46
37	по себе	1	46
38	только в	7	46
39	в сущности	1	46
40	к тому	4	45
41	не в	6	45
42	ясно что	2	43
43	в этой	6	43
44	никогда не	7	42
45	и все	4	42
46	вместе с	5	41
47	как это	5	40
48	но и	16	40
49	как раз	1	39
50	при помощи	1	39
51	того что	4	39
52	же самое	5	38
53	и это	8	37
54	мы видим	4	37
55	и как	10	36
56	с тем	8	35
57	вовсе не	2	34
58	и если	1	34
59	и его	7	34
60	тому что	5	33
61	все же	9	33
62	когда он	1	33
63	же точно	1	32
64	в себе	10	32
65	все это	4	32
66	художественного произведения	1	32
67	он не	2	31
68	мы не	9	31
69	в его	6	31
70	для нас	3	31
71	в ней	8	31
72	сейчас же	1	30
73	мы увидим	5	30
74	как будто	1	30
75	никак не	1	30
76	как в	3	30
77	в нас	2	29
78	и для	3	29
79	с точки	5	29
80	в нем	6	29
81	искусства в	1	29
82	увидим что	2	28
83	и когда	2	28
84	мы можем	7	28
85	и то	5	28
86	что мы	11	28
87	в своих	2	27
88	в основе	3	27
89	и на	7	27
90	а в	5	27
91	с другой	1	27
92	все то	2	27
93	так что	1	26
94	совершенно не	3	26
95	и здесь	3	25
96	жизни и	3	25
97	до сих	1	24
98	до конца	2	24
99	тем что	2	24
100	художественное произведение	1	24
101	в целом	4	24
102	в своем	1	23
103	сих пор	2	23
104	один из	4	23
105	целый ряд	3	23
106	что оно	3	23
107	для этого	2	23
108	с этим	2	22
109	из них	3	22
110	что у	3	22
111	между тем	3	22
112	и даже	3	22
113	когда мы	6	22
114	в котором	3	21
115	в которых	2	21
116	той же	7	21
117	в своей	2	21
