N	2gram	Berdyaev_O	Sovremen
1	не может	4	17
2	может быть	11	12
3	мы не	1	9
4	в каждом	1	8
5	в этом	12	7
6	и в	19	7
7	как и	6	6
8	ничего не	2	6
9	и не	13	6
10	прежде всего	9	5
11	что же	2	5
12	все эти	4	5
13	а в	5	4
14	так как	2	4
15	вопрос о	10	4
16	это не	3	4
17	не только	11	4
18	как бы	3	4
19	жизни и	1	4
20	же это	2	4
21	в том	5	4
22	из них	1	4
23	и к	2	3
24	и потому	2	3
25	уже в	2	3
26	в органической	1	3
27	не в	11	3
28	а не	11	3
29	все это	6	3
30	в одном	1	3
31	у нас	1	3
32	в конце	1	3
33	ведь это	2	3
34	было бы	3	3
35	в этой	5	3
36	он в	2	3
37	и все	10	3
38	в себе	3	3
39	что она	1	3
40	одна из	1	3
41	состоит из	1	3
42	все же	2	3
43	отличается от	1	3
44	в нем	10	3
45	но в	2	3
46	еще не	3	3
47	что в	4	2
48	в самом	5	2
49	совершенно не	1	2
50	и что	1	2
51	друг с	1	2
52	и пр	1	2
53	это за	3	2
54	в его	7	2
55	во всяком	1	2
56	в которую	1	2
57	еще более	1	2
58	всего только	1	2
59	что это	1	2
60	только один	1	2
61	в науке	1	2
62	у него	22	2
63	для его	1	2
64	не могут	3	2
65	со всеми	1	2
66	одна возможность	1	2
67	и даже	1	2
68	самом деле	1	2
69	в которой	2	2
70	к чему	1	2
71	тем же	1	2
72	могут быть	3	2
73	уже не	1	2
74	и есть	3	2
75	что все	2	2
76	на этот	1	2
77	первый период	1	2
78	с другом	1	2
79	всяком случае	1	2
80	он должен	1	2
81	только одно	3	1
82	та самая	1	1
83	и гармонии	1	1
84	его и	1	1
85	в свое	1	1
86	но можно	1	1
87	том случае	1	1
88	а потому	1	1
89	то он	1	1
90	и все-таки	2	1
91	человека в	11	1
92	но вопрос	1	1
93	не допускает	1	1
94	это конечно	1	1
95	все его	1	1
96	этот свой	1	1
97	и более	1	1
98	та же	1	1
99	которых в	1	1
100	в процессе	1	1
101	не имеют	1	1
102	указать на	1	1
103	должно быть	2	1
104	человек и	4	1
105	в первый	1	1
106	вот где	1	1
107	его с	1	1
108	она не	1	1
109	но еще	1	1
110	и ни	2	1
111	ничто не	2	1
112	в другом	2	1
113	совсем не	2	1
114	с тою	1	1
115	том как	1	1
116	не быть	1	1
117	в ней	1	1
118	из всех	1	1
119	человека как	1	1
120	хотя и	2	1
121	вражда к	1	1
122	и тогда	1	1
123	а это	1	1
124	в этот	2	1
125	с ним	3	1
126	он не	7	1
127	и из	2	1
128	за собой	1	1
129	но тем	1	1
130	между двумя	1	1
131	красоты в	1	1
132	как у	1	1
133	все что	3	1
134	силы в	1	1
135	на самом	1	1
136	можно было	1	1
137	же методом	1	1
138	и от	3	1
139	в совершенно	1	1
140	не случайно	1	1
141	чего же	1	1
142	его в	2	1
143	отметить что	1	1
144	свободы и	2	1
145	природы но	3	1
146	должен был	2	1
147	чем в	2	1
148	в своих	3	1
149	не было	9	1
150	как например	1	1
151	с его	4	1
152	один из	1	1
153	всегда и	1	1
154	природы нет	1	1
155	если бы	1	1
156	заключает в	1	1
157	к одному	1	1
158	может ли	1	1
159	вообще и	1	1
160	дело в	1	1
161	природы и	2	1
162	сказать что	2	1
163	и эта	1	1
164	жизни как	1	1
165	и действительно	1	1
166	и до	1	1
167	но никогда	2	1
168	в своем	2	1
169	в корне	1	1
170	она и	1	1
171	на поверхности	1	1
172	том что	2	1
173	в мире	1	1
174	и прежде	1	1
175	жизни в	2	1
176	но не	1	1
177	по себе	2	1
178	он сам	4	1
179	себе даже	2	1
180	не имеет	2	1
181	к этому	2	1
182	он ставит	1	1
183	за все	2	1
184	ли он	1	1
185	только и	4	1
186	но это	1	1
187	и для	2	1
188	природой и	1	1
189	и это	1	1
190	все время	1	1
191	и его	4	1
192	жизни не	1	1
193	вовсе не	1	1
194	же вопрос	1	1
195	о том	3	1
196	есть не	1	1
197	мысли в	1	1
198	и нет	2	1
199	к другому	1	1
200	человека и	10	1
201	к нему	3	1
202	никогда не	9	1
