N	2gram	Kanaev_Sov	IolandNe
1	что в	2	2
2	он не	1	2
3	должен быть	1	2
4	ничего не	6	2
5	и не	6	2
6	в этом	7	2
7	говорить о	2	1
8	все эти	5	1
9	а в	4	1
10	же это	4	1
11	утверждает что	1	1
12	у всех	3	1
13	и та	1	1
14	не случайно	1	1
15	того же	1	1
16	о жизни	2	1
17	жизни и	4	1
18	с другой	1	1
19	в целом	4	1
20	он с	1	1
21	в эту	1	1
22	то и	2	1
23	и еще	1	1
24	что при	2	1
25	если бы	1	1
26	отношению к	1	1
27	бы все	1	1
28	следующим образом	3	1
29	по существу	1	1
30	цель и	1	1
31	и тот	1	1
32	другое дело	1	1
33	с жизнью	1	1
34	и ничего	1	1
35	не дает	2	1
36	и в	7	1
37	никогда не	1	1
38	все это	3	1
39	по отношению	1	1
40	со всеми	2	1
41	на котором	2	1
42	то она	1	1
43	во многом	1	1
