N	4gram	Losev_Prob	Formalny
1	бы то ни было	4	7
2	и в то же	2	6
3	с одной стороны и	1	5
4	в связи с этим	1	5
5	все более и более	1	4
6	не может быть и	1	4
7	бы она ни была	2	4
8	на самом же деле	7	3
9	во что бы то	1	3
10	с точки зрения их	1	3
11	один и тот же	1	3
12	что бы то ни	1	3
13	в том числе и	1	3
14	и то и другое	1	3
15	бы то ни стало	1	3
16	может быть и речи	1	3
17	вовсе не потому что	1	2
18	с этой точки зрения	1	2
19	художественного произведения и его	1	2
20	в том смысле что	4	2
21	том смысле что он	1	2
22	может быть и не	1	2
23	не выходит за пределы	1	2
24	одним и тем же	1	2
25	в зависимости от его	1	2
26	только в связи с	2	2
27	мы имеем в виду	1	2
28	у нас не было	1	2
29	и с точки зрения	2	2
30	какой бы то ни	1	2
31	в том или ином	2	2
32	в связи с теми	1	1
33	и в этом понятии	1	1
34	том и заключается что	1	1
35	он перестал бы быть	1	1
36	и в этом случае	3	1
37	выдвинуть на первый план	1	1
38	взятые сами по себе	5	1
39	не что иное как	6	1
40	является не чем иным	1	1
41	о художественном произведении как	1	1
42	с той или иной	1	1
43	одно и то же	3	1
44	каких бы то ни	1	1
45	вовсе не являются только	2	1
46	не имеет никакого отношения	1	1
47	сами по себе в	1	1
48	дело в том что	3	1
49	именно потому что он	1	1
50	же в таком случае	2	1
51	дело здесь не в	2	1
52	отраженной в ней действительности	2	1
53	ни в чем не	2	1
54	может быть даже и	2	1
55	одной и той же	1	1
56	как бы она ни	2	1
57	в том и заключается	1	1
58	в том что они	1	1
59	в области гуманитарных наук	1	1
60	в собственном смысле слова	1	1
61	тем не менее в	3	1
62	чего бы то ни	2	1
63	произведении как о предмете	1	1
64	и в других областях	1	1
65	не чем иным как	2	1
66	в этом смысле и	1	1
67	но в этих случаях	1	1
68	которая не была бы	1	1
69	одного и того же	1	1
70	и как бы ни	1	1
71	не может быть никакого	1	1
72	художественном произведении как о	1	1
73	если же мы возьмем	1	1
74	с другой стороны и	1	1
75	заключается в том чтобы	1	1
76	и тем не менее	6	1
77	языка из всего этого	1	1
78	то же и в	1	1
79	есть не что иное	6	1
