N	3gram	Vygotskiy_	TeoriaLi
1	в том что	30	10
2	по отношению к	2	10
3	в то же	1	8
4	то же время	1	8
5	в отличие от	3	7
6	того или иного	1	6
7	в конечном счете	2	6
8	с другой стороны	8	6
9	более или менее	1	6
10	состоит в том	2	6
11	не может быть	4	5
12	для того чтобы	41	5
13	в данном случае	3	5
14	одного и того	2	4
15	и того же	2	4
16	в свою очередь	1	3
17	той или иной	2	3
18	с точки зрения	5	3
19	в этом смысле	3	3
20	можно сказать что	3	3
21	читателя зрителя слушателя	1	3
22	подобно тому как	1	3
23	мы имеем в	1	3
24	несет в себе	1	3
25	с одной стороны	15	3
26	но он не	2	2
27	но во всех	1	2
28	до известной степени	1	2
29	в русской литературе	1	2
30	в эстетический объект	1	2
31	этой точки зрения	3	2
32	и в самом	3	2
33	с этой точки	3	2
34	в самом деле	8	2
35	во внешнем мире	1	2
36	не могло быть	1	2
37	и то же	4	2
38	одно и то	3	2
39	и в то	1	2
40	а с другой	5	2
41	том что он	4	2
42	не только не	4	2
43	что в основе	1	2
44	мы имеем дело	1	2
45	то ни было	1	2
46	не могут быть	1	2
47	сама по себе	3	2
48	к тому что	8	2
49	бы то ни	1	2
50	приводит к тому	1	2
51	в основе своей	1	2
52	может быть и	2	2
53	что он не	3	1
54	это имеет место	1	1
55	в художественном произведении	2	1
56	может быть это	2	1
57	по этой причине	1	1
58	в евгении онегине	1	1
59	искусства и в	1	1
60	в том и	3	1
61	а не все	1	1
62	не что иное	2	1
63	принадлежат к числу	1	1
64	раз в том	1	1
65	все то что	6	1
66	и др в	1	1
67	те и другие	1	1
68	этом так как	1	1
69	а не ее	1	1
70	области искусства в	1	1
71	иметь в виду	3	1
72	и тем же	3	1
73	и прежде всего	1	1
74	художественного произведения мы	1	1
75	никак не может	3	1
76	вбирает в себя	1	1
77	на задний план	1	1
78	между собой в	1	1
79	я вдоль улиц	1	1
80	и поэтому не	1	1
81	в противоречие с	1	1
82	мы видим в	2	1
83	брожу ли я	1	1
84	по крайней мере	1	1
85	искусства если бы	1	1
86	но дело в	1	1
87	заключается в том	9	1
88	ту же самую	3	1
89	в себя и	1	1
90	он мог бы	1	1
91	не в состоянии	3	1
92	о том что	15	1
93	то или иное	1	1
94	есть как бы	2	1
95	живопись графика скульптура	1	1
96	заключает в себе	6	1
97	искусства может быть	1	1
98	в себе и	1	1
99	произведения искусства как	1	1
100	что речь в	1	1
101	толстым в его	1	1
102	как бы в	3	1
103	в целом ряде	2	1
104	какой бы то	1	1
105	ни к каким	1	1
106	как один из	1	1
107	это и есть	1	1
108	и тем более	1	1
109	же точно и	2	1
110	же разница в	1	1
111	конечном счете к	1	1
112	друг от друга	2	1
113	что он должен	1	1
114	всякое произведение искусства	1	1
115	и как бы	4	1
116	в основе его	1	1
117	одной стороны и	1	1
118	к жизни как	1	1
119	в одной из	1	1
120	том что она	1	1
121	к самому герою	1	1
122	во времени и	1	1
123	по поводу этой	1	1
124	находятся между собой	1	1
125	с первых же	1	1
126	в том случае	1	1
127	дело в том	2	1
128	в особенности в	1	1
129	у нее нет	1	1
130	именно потому что	3	1
131	так что она	1	1
132	речевого материала и	2	1
133	и в частности	2	1
134	а между тем	1	1
135	и здесь мы	1	1
136	одним и тем	3	1
137	именно в этом	2	1
138	незаметно для читателя	1	1
139	ли я вдоль	1	1
140	в то время	4	1
141	говорит что он	1	1
142	таким образом что	6	1
143	первой части романа	1	1
144	речь идет о	1	1
145	в лучшем случае	3	1
146	как раз в	2	1
147	в зависимости от	7	1
148	того что составляет	1	1
149	только в воображении	1	1
150	искусства в жизни	1	1
151	из того что	3	1
152	так же как	3	1
153	в том или	1	1
154	и вся она	1	1
155	в этом случае	2	1
156	а в том	1	1
157	то же разница	1	1
158	к тому же	1	1
159	произведение искусства не	1	1
160	так же точно	8	1
161	том что в	2	1
162	но не в	1	1
163	не в одном	1	1
164	в воображении читателя	1	1
165	в русском языке	1	1
166	минуту до этого	1	1
167	в произведении искусства	1	1
168	то же самое	8	1
169	и в сущности	1	1
170	но только не	1	1
171	входят в состав	1	1
172	и что искусство	1	1
173	за минуту до	1	1
174	том или ином	1	1
175	что иное как	2	1
176	только то что	1	1
177	едва ли не	1	1
178	как это делает	3	1
179	и не дает	1	1
180	точки зрения и	1	1
181	а не только	1	1
182	строго говоря и	1	1
183	в первой главе	1	1
184	вдоль улиц шумных	1	1
185	в стихе как	1	1
186	в истории литературы	1	1
187	имеем дело с	1	1
188	что в искусстве	1	1
189	и в этой	4	1
190	в полной мере	1	1
191	при таком понимании	2	1
192	это было бы	1	1
193	что такое искусство	1	1
