N	3gram	Propp_Isto	Vvedenie
1	и т д	35	39
2	для того чтобы	1	22
3	в том что	6	15
4	о том что	5	13
5	не может быть	8	10
6	в этом смысле	1	10
7	тем не менее	7	9
8	до сих пор	11	7
9	с течением времени	1	7
10	в этом случае	3	6
11	и т п	1	5
12	в том чтобы	1	5
13	на этот вопрос	2	5
14	не что иное	3	5
15	что иное как	3	5
16	с другой стороны	7	5
17	т д но	2	5
18	вопрос о том	2	5
19	по отношению к	6	4
20	и в особенности	1	4
21	в прямом смысле	1	4
22	на вопрос о	1	4
23	так или иначе	1	4
24	само по себе	2	4
25	можно было бы	5	4
26	не только в	5	4
27	в отличие от	3	4
28	т е в	1	4
29	но все же	7	4
30	с одной стороны	7	4
31	в этом отношении	1	4
32	и в этом	1	4
33	может быть названо	1	4
34	в конечном итоге	2	3
35	одной стороны и	1	3
36	и тем не	2	3
37	большей или меньшей	2	3
38	вместе с тем	7	3
39	том отношении что	1	3
40	дело в том	3	3
41	но в то	1	3
42	в зависимости от	3	3
43	тех или иных	1	3
44	можно говорить о	1	3
45	есть не что	2	3
46	с тем что	3	3
47	то же самое	3	3
48	по этому поводу	2	3
49	в том отношении	1	3
50	в этих случаях	10	2
51	как будто бы	2	2
52	не в том	1	2
53	т д а	1	2
54	мы уже знаем	3	2
55	но вместе с	1	2
56	дело не с	1	2
57	только после того	1	2
58	до наших дней	2	2
59	на котором он	1	2
60	именно на этом	1	2
61	и то же	1	2
62	не говоря уже	1	2
63	сам по себе	1	2
64	но дело не	1	2
65	быта и т	1	2
66	т д все	3	2
67	о котором здесь	1	2
68	смысле этого слова	1	2
69	в первом случае	1	2
70	потому что он	2	2
71	ответ на этот	1	2
72	точно так же	8	2
73	в соответствии с	1	2
74	тем или иным	1	2
75	что в этом	1	2
76	и не могут	1	2
77	подобно тому как	3	2
78	не могут быть	1	2
79	же самое что	2	2
80	в связи с	5	2
81	а так как	1	2
82	влечет за собой	2	2
83	в другом месте	2	2
84	уже не только	1	2
85	после того как	2	2
86	вовсе не в	1	2
87	о том какие	1	1
88	не просто как	1	1
89	не только по	1	1
90	внимание на то	1	1
91	должен был быть	1	1
92	таким образом мы	3	1
93	соответствии с этим	2	1
94	то это может	1	1
95	может быть назван	2	1
96	не входят в	1	1
97	это может быть	2	1
98	так как если	1	1
99	в одном месте	2	1
100	т е при	1	1
101	с этим в	2	1
102	никак не может	1	1
103	тем что в	1	1
104	дело не только	1	1
105	времени все более	1	1
106	в том как	1	1
107	но и в	4	1
108	это ясно еще	1	1
109	исследования но в	1	1
110	в подобных случаях	1	1
111	это только одна	1	1
112	на самом деле	2	1
113	мы можем только	1	1
114	наряду с этим	1	1
115	только одна сторона	2	1
116	так чтобы не	1	1
117	дело не в	2	1
118	а именно в	1	1
119	представляют собой не	1	1
120	какой бы то	1	1
121	в реальной действительности	1	1
122	как один из	2	1
123	только в их	1	1
124	и что это	1	1
125	т д мы	1	1
126	т д и	2	1
127	бы составить предмет	2	1
128	нами не как	1	1
129	здесь идет речь	2	1
130	не значит что	1	1
131	но если мы	1	1
132	течением времени все	1	1
133	в средние века	1	1
134	этот вопрос мы	2	1
135	только в этом	1	1
136	представляет собой одно	1	1
137	более или менее	5	1
138	до тех пор	1	1
139	как раз наоборот	1	1
140	того или иного	1	1
141	т е с	2	1
142	и есть то	1	1
143	в большей или	1	1
144	но это только	1	1
145	не только с	1	1
146	в одном случае	1	1
147	может быть вполне	1	1
148	говоря уже о	1	1
149	т д для	1	1
150	может быть только	1	1
151	при помощи которого	1	1
152	уже потому что	1	1
153	хотя бы на	1	1
154	на этом пути	1	1
155	только на том	1	1
156	может вызвать сомнения	1	1
157	и в конце	1	1
158	в исторической действительности	6	1
159	именно потому что	1	1
160	но уже в	1	1
161	нужно было бы	1	1
162	а есть только	1	1
163	пример показывает что	1	1
164	один из крупнейших	1	1
165	так же как	6	1
166	для нас нет	1	1
167	во многих случаях	1	1
168	и прежде всего	1	1
169	д все это	1	1
170	как одна из	1	1
171	мы имеем в	4	1
172	том что в	1	1
173	д все эти	1	1
174	по себе не	1	1
175	не сам по	1	1
176	очевидно для всякого	1	1
177	что наряду с	2	1
178	и что такое	1	1
179	только в начале	1	1
180	с самого начала	4	1
181	другой стороны как	1	1
182	или меньшей степенью	1	1
183	том что он	1	1
184	нечто целое и	1	1
185	раньше чем продолжать	1	1
186	то ни было	2	1
187	или объяснить свой	1	1
188	котором здесь идет	1	1
189	она может быть	1	1
190	к тому что	1	1
191	не представляют собой	1	1
192	ни к какому	1	1
193	вопрос о связи	1	1
194	только то что	1	1
195	все это не	1	1
196	в таких случаях	4	1
197	бы то ни	2	1
198	т е то	1	1
199	а не только	1	1
200	только тогда когда	1	1
201	в значительной степени	1	1
202	прежде всего в	1	1
203	то что в	2	1
204	и чрезвычайно важный	1	1
205	только в одном	2	1
206	так как в	2	1
207	в чистом виде	2	1
208	уже о том	1	1
209	потому что они	1	1
210	мы имеем дело	1	1
211	о природе и	1	1
212	стоять на позиции	1	1
