N	3gram	Losev_Vesc	Tvorches
1	в то же	5	25
2	то же время	4	24
3	и т д	36	17
4	в том что	9	11
5	о том что	4	8
6	и в то	3	7
7	не может быть	22	6
8	но в то	1	6
9	в самом деле	7	5
10	в xix веке	1	4
11	до сих пор	1	4
12	по крайней мере	10	4
13	с точки зрения	6	4
14	дело в том	4	4
15	дело не в	1	3
16	что все это	1	3
17	сами по себе	3	3
18	это значит что	25	3
19	во всяком случае	2	3
20	с другой стороны	3	3
21	в этой связи	1	3
22	и все же	1	3
23	и не может	1	3
24	является одним из	1	3
25	что он не	1	2
26	это не значит	1	2
27	в данном случае	2	2
28	в другом смысле	2	2
29	от ее носителя	1	2
30	для того чтобы	2	2
31	тем не менее	11	2
32	не значит что	1	2
33	что у него	1	2
34	и в конце	1	2
35	не потому что	5	2
36	в конце концов	2	2
37	потому что он	1	2
38	и в самом	1	2
39	а потому что	1	2
40	несмотря на все	1	2
41	таким образом и	1	2
42	не то что	1	2
43	в связи с	1	2
44	в свою очередь	5	2
45	вместе с тем	3	2
46	заключается в том	3	2
47	только то что	3	2
48	можно сказать что	3	2
49	все же не	3	2
50	а не то	2	2
51	содержит в себе	11	2
52	так же как	2	2
53	это уже не	1	2
54	не только в	5	2
55	как бы ни	2	2
56	что у нас	1	1
57	потому что я	2	1
58	и как раз	1	1
59	таким образом чтобы	1	1
60	я не буду	2	1
61	и как бы	1	1
62	как будто бы	1	1
63	себя с ним	1	1
64	том что это	1	1
65	же самое время	1	1
66	но тот же	1	1
67	и даже не	3	1
68	по себе а	1	1
69	и когда она	2	1
70	о том как	4	1
71	в применении к	2	1
72	том смысле что	1	1
73	было в этом	1	1
74	отождествляется с ним	1	1
75	в дальнейшем но	1	1
76	ли что я	1	1
77	потому что это	1	1
78	это одна из	1	1
79	не содержит в	1	1
80	лишь одна из	1	1
81	нет не только	1	1
82	ту же самую	1	1
83	то что не	2	1
84	ничего не говорит	1	1
85	что оно не	1	1
86	то или иное	1	1
87	я и не	2	1
88	д и т	10	1
89	хотя бы и	2	1
90	в настоящий момент	1	1
91	как личность как	2	1
92	из-за того что	1	1
93	себя самого в	1	1
94	мы но и	1	1
95	одна из многих	1	1
96	и еще одно	1	1
97	т д в	1	1
98	именно потому что	1	1
99	у него и	1	1
100	а если мы	1	1
101	и потому что	1	1
102	и прежде всего	1	1
103	том что я	1	1
104	а затем и	2	1
105	в самом последнем	1	1
106	что как бы	1	1
107	то ни было	12	1
108	и того же	1	1
109	не предмет а	1	1
110	нужно сказать что	2	1
111	по себе и	1	1
112	на то чтобы	1	1
113	то же самое	1	1
114	к самому себе	1	1
115	со всем что	1	1
116	к тому что	2	1
117	что с точки	1	1
118	не может не	3	1
119	на самом же	1	1
120	в нем нет	2	1
121	бы то ни	12	1
122	который сам себя	1	1
123	д все это	1	1
124	у меня на	2	1
125	не мог бы	2	1
126	и в этом	2	1
127	мы видим как	1	1
128	прежде всего самого	1	1
129	т д и	11	1
130	и тем не	5	1
131	т д все	1	1
132	превращая его в	2	1
133	равно как и	4	1
134	это я делаю	1	1
135	мы как бы	1	1
136	самом же деле	1	1
137	прежде всего на	1	1
138	и только в	1	1
139	но и в	1	1
140	в том смысле	1	1
141	может быть ни	3	1
142	том или другом	2	1
143	в чем же	5	1
144	в чем он	1	1
145	ясно что это	1	1
146	не может и	2	1
147	этот вопрос не	1	1
148	свое внимание на	1	1
149	ту или иную	3	1
150	то что в	1	1
151	и не в	3	1
152	с одной стороны	3	1
153	и не было	1	1
154	этой связи очень	1	1
155	каких бы то	1	1
156	да и в	1	1
157	в то время	4	1
158	то и другое	6	1
159	то что является	4	1
160	и того что	1	1
161	я не могу	1	1
162	не что иное	12	1
163	далеко не все	1	1
164	души и т	1	1
165	в отношении к	2	1
166	в отрыве от	3	1
167	можно было бы	3	1
168	только потому что	1	1
169	не только потому	1	1
170	в этом случае	1	1
171	уже было сказано	1	1
172	есть прежде всего	4	1
173	по смыслу а	1	1
174	но замечательнее всего	1	1
175	все же это	1	1
176	один из самых	1	1
177	одного и того	1	1
178	он говорит об	1	1
179	не только я	2	1
180	что может быть	1	1
181	что иное как	12	1
182	с большим трудом	1	1
183	он говорит о	1	1
184	вопрос о том	2	1
185	можно только в	1	1
186	и не только	6	1
187	это и есть	4	1
188	на эту тему	1	1
189	мы не можем	3	1
190	еще ничего не	1	1
191	потому что они	4	1
