N	2gram	Bakhtin_Pr	Sotsiolo
1	все это	12	7
2	в том	17	5
3	в этом	40	5
4	не только	26	3
5	как же	5	3
6	не в	10	3
7	и в	59	3
8	и только	2	3
9	но ведь	4	3
10	в его	44	3
11	для нас	3	3
12	что в	14	2
13	ведь это	3	2
14	то что	21	2
15	таким образом	22	2
16	том что	15	2
17	или даже	2	2
18	как бы	40	2
19	в результате	6	2
20	было бы	10	2
21	как будто	4	2
22	в смысле	4	2
23	в частности	2	2
24	по природе	4	2
25	но и	22	2
26	конце концов	7	2
27	может быть	38	2
28	идей и	1	2
29	по существу	5	2
30	она может	1	2
31	и что	2	2
32	это и	10	2
33	им не	1	2
34	за пределы	10	2
35	по отношению	17	2
36	и заключается	1	2
37	в конце	9	2
38	как только	2	2
39	отношению к	17	2
40	должна быть	4	2
41	далеко не	3	2
42	тем более	2	2
43	только в	15	2
44	к которому	1	2
45	только как	1	2
46	то же	15	2
47	еще не	11	2
48	а в	9	1
49	что он	16	1
50	образом в	2	1
51	даже в	7	1
52	быть не	1	1
53	в целом	8	1
54	на этот	2	1
55	все эти	12	1
56	не было	5	1
57	остается в	2	1
58	связи с	1	1
59	положения в	1	1
60	точке зрения	5	1
61	только то	3	1
62	и куда	1	1
63	нет а	1	1
64	в своей	17	1
65	где же	1	1
66	что без	1	1
67	во всяком	5	1
68	и ценное	1	1
69	в мире	10	1
70	и потому	9	1
71	переходим к	2	1
72	все же	9	1
73	что это	1	1
74	или не	2	1
75	от друга	2	1
76	героя который	1	1
77	на ней	1	1
78	поставить и	1	1
79	по крайней	3	1
80	иначе и	1	1
81	единство не	1	1
82	с другой	3	1
83	ни на	2	1
84	мы понимаем	1	1
85	мы должны	6	1
86	это как	2	1
87	с ним	13	1
88	противном случае	1	1
89	между тем	5	1
90	как совокупность	1	1
91	именно и	2	1
92	и более	2	1
93	но как	4	1
94	в этой	5	1
95	и разрешить	2	1
96	в свои	2	1
97	и его	21	1
98	не должна	1	1
99	перейти к	1	1
100	они ни	2	1
101	именно такого	1	1
102	нашей работы	1	1
103	никак не	3	1
104	в данном	3	1
105	исторической поэтики	1	1
106	только для	2	1
107	в области	3	1
108	и по	4	1
109	их на	1	1
110	первый план	1	1
111	с помощью	1	1
112	же самое	1	1
113	его собственная	1	1
114	этом не	1	1
115	один из	4	1
116	так и	13	1
117	в противном	1	1
118	в то	15	1
119	бы они	1	1
120	слишком много	1	1
121	слова но	2	1
122	ни одно	1	1
123	в котором	6	1
124	те же	3	1
125	именно на	2	1
126	коренная ошибка	1	1
127	него и	1	1
128	же это	2	1
129	и не	66	1
130	со своими	6	1
131	стр и	1	1
132	выходит за	2	1
133	всяком случае	3	1
134	же по	3	1
135	и страдает	1	1
136	он ни	2	1
137	по самому	1	1
138	говорит за	2	1
139	или нет	1	1
140	и о	5	1
141	это вовсе	2	1
142	вступает в	5	1
143	почти сплошь	1	1
144	но не	13	1
145	может служить	1	1
146	они не	5	1
147	лучшем случае	3	1
148	благодаря этому	2	1
149	для этого	4	1
150	прежде всего	17	1
151	построение не	1	1
152	тем что	5	1
153	что она	6	1
154	тем же	1	1
155	литературе о	3	1
156	все построение	1	1
157	в каждом	11	1
158	он по	1	1
159	на тех	1	1
160	сплошь из	1	1
161	и благодаря	2	1
162	существу своему	1	1
163	друг от	2	1
164	в чем	2	1
165	не из	3	1
166	а с	4	1
167	происходит не	1	1
168	ними в	1	1
169	это происходит	1	1
170	новые и	1	1
171	же не	1	1
172	но только	3	1
173	не дает	4	1
174	тех кто	1	1
175	в лучшем	3	1
176	мы думаем	1	1
177	в сущности	11	1
178	психологии и	1	1
179	он говорит	3	1
180	его в	6	1
181	не от	2	1
182	зависит от	1	1
183	представляется нам	2	1
184	писателя не	1	1
185	крайней мере	3	1
186	тотчас же	3	1
187	в процессе	4	1
188	между собою	1	1
189	автор не	5	1
190	ни были	2	1
191	я и	2	1
192	вовсе не	13	1
193	даже не	1	1
194	его построения	1	1
195	с одной	1	1
196	и наконец	5	1
197	конечно не	7	1
198	о том	5	1
199	мы не	3	1
200	и понимает	3	1
201	тому что	3	1
202	но именно	5	1
203	мысли в	2	1
204	том и	2	1
205	и затем	1	1
206	наше время	1	1
207	они или	1	1
208	в этих	5	1
209	сама по	3	1
210	у него	9	1
211	своих мыслей	1	1
212	по себе	13	1
213	как художественный	1	1
214	на первый	1	1
215	перед нами	8	1
216	из тех	3	1
217	бы он	3	1
218	стр далее	2	1
219	вот в	1	1
220	литературе и	1	1
221	все то	5	1
222	хотя бы	5	1
223	же время	10	1
224	наконец в	2	1
225	что на	1	1
226	это не	13	1
227	бы в	7	1
228	и должно	1	1
229	стало быть	2	1
230	конечно только	1	1
231	в виде	1	1
232	именно в	8	1
233	никогда не	19	1
234	и есть	6	1
235	не может	31	1
236	между ними	4	1
237	и как	10	1
238	что все	5	1
239	место в	2	1
240	как и	21	1
241	придется не	1	1
242	ничего не	8	1
243	в них	5	1
