N	3gram	Berdyaev_O	Problemy
1	не может быть	2	14
2	в романах достоевского	3	10
3	в самом деле	1	9
4	во всяком случае	1	9
5	в том что	1	8
6	и не может	1	8
7	друг с другом	1	8
8	как бы в	1	7
9	и в этом	2	7
10	как и все	2	6
11	бы он ни	1	5
12	он ни был	1	5
13	сам по себе	1	5
14	записок из подполья	5	5
15	и не в	1	4
16	из подполья и	3	4
17	само по себе	1	4
18	смысле этого слова	1	4
19	и прежде всего	1	4
20	о том что	1	4
21	как и в	1	4
22	в этом отношении	1	4
23	хотя и не	1	4
24	он и не	1	4
25	а вовсе не	1	4
26	друг к другу	1	4
27	в братьях карамазовых	1	3
28	и все это	1	3
29	героя из подполья	1	3
30	на то что	1	3
31	в обычном смысле	1	3
32	у достоевского нет	1	3
33	и в самом	1	3
34	да ведь это	1	3
35	все это было	1	3
36	как будто бы	1	2
37	в противоречии с	1	2
38	что же это	2	2
39	достоевский прежде всего	2	2
40	вы скажете что	1	2
41	этого мира в	1	2
42	он не только	1	2
43	из подполья но	1	2
44	для того чтобы	3	2
45	у него в	5	2
46	между этими двумя	1	2
47	записках из подполья	3	2
48	в записках из	3	2
49	а не в	2	2
50	не в силах	1	2
51	для своих целей	1	2
52	я уверен что	1	2
53	и в самой	2	2
54	то что в	1	2
55	и в том	1	2
56	потому что у	1	2
57	почему же не	1	2
58	кто бы он	1	2
59	прежде всего в	1	2
60	он никогда не	1	1
61	и есть та	1	1
62	всех героев достоевского	1	1
63	в своих романах	1	1
64	действующих лиц в	1	1
65	у достоевского всегда	1	1
66	может быть назван	1	1
67	все герои достоевского	4	1
68	записки из подполья	1	1
69	в одном месте	1	1
70	достоевского не было	1	1
71	о том как	1	1
72	же это за	2	1
73	в каждом из	1	1
74	у достоевского нельзя	1	1
75	по сравнению с	1	1
76	заключает в себе	1	1
77	знает может быть	1	1
78	и мыслей в	1	1
79	в своем художественном	2	1
80	человека он не	1	1
81	она и не	1	1
82	месте и в	1	1
83	не в том	1	1
84	потому что в	1	1
85	одно из самых	1	1
86	в строгом смысле	1	1
87	к чему бы	1	1
88	самим собой в	1	1
89	в публицистических статьях	1	1
90	что говорит достоевский	1	1
91	и все что	1	1
92	в других романах	1	1
93	к творчеству достоевского	1	1
94	достоевского нельзя найти	1	1
95	с его собственным	1	1
96	себе что он	1	1
97	вместо того чтобы	1	1
98	и все эти	1	1
99	в нем нет	3	1
100	в этом мире	2	1
101	дмитрия и ивана	1	1
102	мышкиным и рогожиным	1	1
103	и никогда не	2	1
104	в этом он	2	1
105	не приходит в	1	1
106	и к чему	1	1
107	у него не	2	1
108	а не только	1	1
109	творчестве он прежде	1	1
110	может быть что	1	1
111	от него и	4	1
112	им для своих	1	1
113	строгом смысле этого	1	1
114	но и в	2	1
115	и человеческих отношений	1	1
116	своем художественном творчестве	2	1
117	он говорит в	1	1
118	что в центре	1	1
119	не было и	1	1
120	так и не	1	1
121	в другом месте	1	1
122	нему как к	1	1
123	человека к человеку	1	1
124	достоевский как художник	1	1
125	ивана карамазова в	1	1
126	из романов достоевского	1	1
127	одном месте и	1	1
128	но к этому	1	1
129	в самой жизни	1	1
130	самое главное и	1	1
131	что и это	1	1
132	к нему как	1	1
133	у достоевского он	1	1
134	легенда о великом	2	1
135	он прежде всего	2	1
136	нет объективного изображения	1	1
137	обычном смысле слова	1	1
138	у достоевского есть	1	1
139	и к нему	1	1
140	да и то	1	1
141	или лучше сказать	1	1
142	жизни не есть	1	1
143	смирись гордый человек	1	1
144	и больше всего	1	1
145	в одно время	1	1
146	и то что	1	1
147	самой жизни а	1	1
148	жизни а не	1	1
149	не могут быть	2	1
150	униженным и оскорбленным	1	1
151	о великом инквизиторе	6	1
152	у самого достоевского	1	1
153	своего творчества достоевский	1	1
154	он сам и	1	1
155	достоевского и в	1	1
156	это потому что	1	1
157	всех произведений достоевского	1	1
158	после того как	1	1
159	и в одно	1	1
160	и он был	1	1
