N	2gram	Tiupa_Teor	KulturaY
1	и в	24	84
2	в том	20	74
3	потому что	3	68
4	не только	24	60
5	точки зрения	11	59
6	в этом	12	57
7	было бы	1	53
8	и не	17	52
9	может быть	22	47
10	что в	10	44
11	том что	11	44
12	того чтобы	5	44
13	в самом	7	41
14	для того	5	41
15	у нас	2	38
16	самом деле	2	37
17	так как	1	36
18	с точки	3	36
19	в области	7	34
20	таким образом	3	33
21	а не	14	33
22	если бы	3	32
23	можно было	1	32
24	не в	9	30
25	и пр	1	30
26	в его	12	30
27	прежде всего	3	30
28	все же	1	29
29	не менее	6	28
30	того что	5	28
31	все эти	3	28
32	уже не	6	26
33	в силу	4	26
34	то что	6	25
35	русского языка	1	25
36	вовсе не	3	25
37	не может	8	25
38	вопрос о	1	24
39	с другой	9	24
40	еще не	6	24
41	то же	12	23
42	с помощью	1	23
43	только в	9	23
44	так и	14	23
45	языка в	4	22
46	иными словами	1	22
47	тем не	3	21
48	по себе	2	20
49	и что	4	20
50	но и	14	20
51	тем что	1	19
52	о том	2	19
53	что он	4	19
54	зависимости от	1	19
55	языка и	1	19
56	но в	12	19
57	с тем	1	18
58	к тому	4	18
59	в сущности	1	18
60	в качестве	33	18
61	связи с	3	18
62	между тем	5	18
63	вместе с	2	18
64	как бы	8	18
65	русском языке	1	18
66	все это	2	18
67	в той	2	17
68	можно говорить	1	17
69	другой стороны	6	17
70	как это	10	17
71	что это	1	17
72	слова и	1	17
73	как раз	3	17
74	это не	4	17
75	в виду	5	16
76	в зависимости	1	16
77	что и	2	16
78	что не	1	16
79	тот же	1	16
80	в русском	1	16
81	но не	13	16
82	при этом	20	15
83	именно в	3	15
84	в данном	9	15
85	в нашем	4	15
86	не было	1	15
87	и тем	5	15
88	один из	2	15
89	по отношению	10	15
90	ни к	3	15
91	целый ряд	1	15
92	а в	15	15
93	лишь в	10	15
94	должно быть	1	15
95	в них	2	14
96	и на	2	14
97	сказать что	4	14
98	хотя и	4	14
99	что такое	2	14
100	в связи	3	14
101	я не	2	14
102	если мы	2	14
103	как мы	1	14
104	мы имеем	7	14
105	также и	1	14
106	отношению к	10	14
107	что она	2	13
108	к языку	1	13
109	крайней мере	1	13
110	между прочим	1	13
111	в этой	3	13
112	не случайно	5	13
113	не могут	2	13
114	по крайней	1	13
115	той же	1	13
116	для нас	1	13
117	это и	2	13
118	по существу	1	13
119	в пределах	5	13
120	и его	11	13
121	с этой	3	12
122	говорить о	4	12
123	в результате	1	12
124	того же	4	12
125	а только	4	12
126	могут быть	5	12
127	как в	5	12
128	речь в	1	12
129	этого слова	4	12
130	в рамках	13	12
131	для этого	1	12
132	те же	1	11
133	должен быть	2	11
134	в своем	7	11
135	на себе	1	11
136	речи и	4	11
137	он не	5	11
138	в нем	7	11
139	и здесь	2	11
140	и то	3	11
141	еще и	2	11
142	совершенно не	1	11
143	из этих	3	11
144	слова в	4	11
145	в их	4	11
146	в таких	1	11
147	в какой	2	11
148	или иной	7	11
149	в особенности	1	10
150	в первом	2	10
151	как и	6	10
152	речь идет	2	10
153	так же	2	10
154	несмотря на	2	10
155	бы в	1	10
156	ту же	1	10
157	этом смысле	3	10
158	не просто	2	10
159	в то	9	10
160	после того	1	10
161	со стороны	6	10
162	в каком	2	10
163	с этим	1	10
164	они не	1	10
165	на фоне	2	10
166	тем более	2	10
167	того или	6	10
168	тех же	1	10
169	тем самым	6	10
170	в своей	8	9
171	можно сказать	5	9
172	что все	1	9
173	xix века	2	9
174	в которой	3	9
175	рядом с	1	9
176	здесь не	2	9
177	мы говорим	1	9
178	и есть	1	9
179	слова как	3	9
180	или иного	6	9
181	ни в	5	9
182	не имеет	1	9
183	и для	3	9
184	и вот	3	9
185	а также	7	9
186	ли не	1	9
187	на то	1	9
188	в целом	4	9
189	своего рода	11	8
190	в этих	4	8
191	в первую	1	8
192	может служить	2	8
193	в структуре	2	8
194	что они	2	8
195	по преимуществу	5	8
196	с одной	3	8
197	тому же	1	8
198	в таком	3	8
199	тому что	2	8
200	не есть	1	8
201	в чем	2	8
202	в своих	1	8
203	отнюдь не	3	8
204	в статье	1	8
205	заключается в	2	8
206	да и	1	8
207	то и	1	8
208	состоит в	22	8
209	с его	6	8
210	этом случае	1	8
211	независимо от	1	8
212	и как	3	8
