N	4gram	Medvedev_U	Problema
1	или по крайней мере	1	11
2	бы то ни было	3	6
3	и в то же	1	3
4	но в то же	1	3
5	в конце концов не	1	2
6	является одним из самых	1	2
7	мы имеем в виду	1	2
8	в этом случае он	1	2
9	только в этом случае	1	1
10	все элементы из которых	1	1
11	кого бы то ни	1	1
12	в то же время	3	1
13	сам по себе еще	1	1
14	элементы из которых она	1	1
15	содержания и формы в	1	1
16	и в конце концов	1	1
17	что он и делает	1	1
18	конце концов не может	1	1
19	несомненно и то что	1	1
20	не только возможно но	1	1
