N	4gram	Vygotskiy_	EvropaiC
1	в том случае если	2	4
2	заключается в том что	16	3
3	совершенно так же как	1	3
4	бы то ни было	1	3
5	одного и того же	5	3
6	указывают на то что	1	2
7	о которой мы говорили	1	2
8	на свои составные части	1	1
9	состоит в том что	4	1
10	мы говорили в начале	1	1
11	том случае если бы	1	1
12	сохраняет свою силу не	1	1
13	с этой точки зрения	4	1
14	в то время как	5	1
15	то же самое что	1	1
16	истинном смысле этого слова	1	1
17	которой мы говорили в	1	1
18	выше мы видели что	1	1
19	в том что он	1	1
20	в своем развитии и	1	1
21	и более или менее	1	1
22	и ко всем вообще	1	1
23	одно и то же	6	1
24	представление о том что	1	1
25	на более высокой ступени	1	1
26	с самого начала в	1	1
27	вместе с тем и	4	1
28	принять во внимание что	2	1
29	более высокой ступени развития	1	1
30	и с точки зрения	1	1
31	в основе их лежит	2	1
32	в правильности этого положения	1	1
33	в истинном смысле этого	1	1
34	в том что при	1	1
35	в том числе и	3	1
36	приводит к тому что	1	1
37	мы уже говорили что	2	1
38	одному и тому же	5	1
39	в том виде в	1	1
40	связанных друг с другом	1	1
41	свою силу не только	1	1
42	одной и той же	5	1
43	на той ступени развития	1	1
44	как мы видели выше	1	1
45	в том что они	2	1
46	таким же образом как	1	1
47	в самом раннем детстве	1	1
48	в том виде как	3	1
49	то время как другие	1	1
50	в самом деле если	1	1
