N	3gram	Medvedev_U	Analitik
1	в том что	2	25
2	не может быть	4	19
3	в то же	3	16
4	в данном случае	1	14
5	то же время	3	14
6	в конечном счете	4	11
7	с другой стороны	3	9
8	по крайней мере	2	9
9	с одной стороны	1	9
10	не только в	1	8
11	в этом отношении	2	8
12	так или иначе	1	6
13	в этом случае	1	5
14	в самом деле	2	4
15	не в том	1	4
16	тех или иных	2	4
17	большей или меньшей	1	4
18	в этом смысле	2	4
19	быть не может	1	3
20	и то что	2	3
21	хотя бы и	2	3
22	сам по себе	1	3
23	бы то ни	3	3
24	то ни было	3	3
25	то же самое	2	3
26	как нам представляется	1	3
27	можно сказать что	1	3
28	в противном случае	2	3
29	и т.д в	1	3
30	не могут быть	2	3
31	между тем в	1	3
32	не только к	1	2
33	более или менее	1	2
34	друг с другом	1	2
35	в широком смысле	1	2
36	до сих пор	2	2
37	и прежде всего	1	2
38	а не только	1	2
39	на то что	1	2
40	а между тем	2	2
41	но в то	1	2
42	на первый взгляд	1	2
43	в художественном произведении	2	1
44	в той же	1	1
45	и в итоге	1	1
46	в искусстве от	1	1
47	в конце концов	2	1
48	по себе еще	1	1
49	бы это было	1	1
50	они относятся к	1	1
51	само по себе	1	1
52	в отдельности и	1	1
53	о нем но	1	1
54	все же не	1	1
55	не случайно и	1	1
56	же самое что	1	1
57	в частности с	1	1
58	и в этой	2	1
59	но прежде всего	1	1
60	имеем в виду	1	1
61	в эстетический объект	1	1
62	наука о литературе	1	1
63	эстетического объекта и	1	1
64	конечном счете только	1	1
65	в художественном творчестве	2	1
66	в большей или	1	1
67	истории литературы как	1	1
68	он может быть	1	1
69	по его собственному	1	1
70	равно как и	1	1
71	и в частности	2	1
72	нам представляется что	1	1
73	по меньшей мере	1	1
74	или меньшей степени	1	1
75	мы имеем в	1	1
76	в первую очередь	1	1
77	эстетического объекта в	1	1
78	то что все	1	1
79	которые могли бы	1	1
80	еще ничего не	2	1
