N	2gram	Medvedev_F	Otkroven
1	у него	1	22
2	и в	54	19
3	и не	34	13
4	но и	18	13
5	в этом	39	12
6	а не	11	11
7	не только	14	11
8	не в	16	11
9	может быть	30	11
10	вопрос о	3	10
11	и все	9	10
12	в нем	25	10
13	потому что	2	9
14	прежде всего	34	9
15	не было	7	9
16	в самой	2	9
17	никогда не	6	9
18	он был	1	8
19	от него	2	7
20	в его	30	7
21	он не	8	7
22	но он	2	7
23	лишь в	15	7
24	до конца	9	7
25	человек не	3	7
26	все это	11	6
27	как и	18	6
28	в самом	17	5
29	в том	17	5
30	для него	9	5
31	в этой	10	5
32	а в	11	5
33	отношение к	4	5
34	в россии	4	5
35	о его	1	5
36	то что	14	5
37	все в	3	4
38	что в	10	4
39	только и	7	4
40	того чтобы	4	4
41	т е	50	4
42	есть лишь	3	4
43	не может	26	4
44	что не	4	4
45	в самую	2	4
46	все эти	12	4
47	и его	27	4
48	с его	12	4
49	только одно	1	3
50	в русской	1	3
51	и от	9	3
52	как художник	2	3
53	чем на	1	3
54	и вот	2	3
55	хотя бы	10	3
56	это за	1	3
57	это не	4	3
58	для того	3	3
59	с ним	3	3
60	когда он	3	3
61	он лишь	1	3
62	в этих	3	3
63	не могут	8	3
64	в своих	3	3
65	как бы	10	3
66	было бы	10	3
67	могут быть	7	3
68	в себе	4	3
69	и есть	1	3
70	что он	8	3
71	никто не	2	3
72	это было	3	3
73	и ее	15	3
74	о том	1	3
75	того что	7	3
76	к нему	3	3
77	еще не	6	3
78	всего в	5	2
79	и к	7	2
80	как к	5	2
81	и потому	9	2
82	так и	24	2
83	что они	4	2
84	и то	1	2
85	и все-таки	1	2
86	и против	1	2
87	в душе	2	2
88	всего и	1	2
89	все же	8	2
90	что у	1	2
91	не могли	2	2
92	так как	4	2
93	и очень	1	2
94	на западе	4	2
95	должно быть	13	2
96	к этой	4	2
97	даже и	5	2
98	к ней	3	2
99	его не	2	2
100	для всякого	2	2
101	и ни	2	2
102	уже в	1	2
103	любовь к	1	2
104	в другом	2	2
105	совсем не	2	2
106	так что	2	2
107	в своем	12	2
108	в этот	2	2
109	с тем	11	2
110	и из	1	2
111	в которой	5	2
112	ее в	3	2
113	возможностей и	1	2
114	и этим	2	2
115	что и	10	2
116	для человека	1	2
117	которую он	1	2
118	разных сторон	1	2
119	в истории	10	2
120	в единстве	8	2
121	его в	5	2
122	должен был	3	2
123	чем в	1	2
124	ведь это	1	2
125	ко всем	2	2
126	вместо того	1	2
127	художественном творчестве	1	2
128	и с	17	2
129	что же	6	2
130	самой последней	1	2
131	и там	1	2
132	он в	3	2
133	и о	3	2
134	сказать что	3	2
135	что для	3	2
136	тем что	6	2
137	из всего	2	2
138	и на	10	2
139	в других	5	2
140	учение о	4	2
141	ничего не	5	2
142	хотя и	3	2
143	не есть	4	2
144	в своей	16	2
145	момент в	1	2
146	жизни в	2	2
147	по себе	10	2
148	не имеет	2	2
149	к этому	3	2
150	же это	2	2
151	том что	3	2
152	и для	5	2
153	в ее	10	2
154	подойти к	3	2
155	но в	9	2
156	с разных	1	2
157	и нет	1	2
158	собственно в	1	1
159	уже с	1	1
160	существенное содержание	1	1
161	чтобы сделать	1	1
162	что было	2	1
163	науки о	4	1
164	во всем	3	1
165	к одному	2	1
166	в каждом	3	1
167	во всяком	6	1
168	связан с	1	1
169	не так	4	1
170	и гармонии	1	1
171	ни к	1	1
172	его и	2	1
173	одном месте	1	1
174	рассказ ведется	1	1
175	всегда является	1	1
176	что связано	1	1
177	во внешнем	2	1
178	совершенно не	5	1
179	том случае	2	1
180	а белого	2	1
181	то он	1	1
182	ее и	3	1
183	лишь к	1	1
184	но оно	1	1
185	еще одну	1	1
186	а с	1	1
187	и самое	1	1
188	это конечно	1	1
189	не существует	1	1
190	самой жизни	1	1
191	и других	4	1
192	и всякий	2	1
193	стремиться к	1	1
194	один из	4	1
195	для нашего	2	1
196	в котором	2	1
197	и здесь	8	1
198	та же	3	1
199	по природе	1	1
200	а вовсе	2	1
201	разрушения и	1	1
202	самой природе	1	1
203	и состоит	1	1
204	качества и	1	1
205	мир в	1	1
206	они и	2	1
207	же и	2	1
208	ней не	1	1
209	и лишь	4	1
210	именно от	2	1
211	она должна	3	1
212	знаменательно что	1	1
213	в заслугу	1	1
214	вносит свои	1	1
215	случае если	1	1
216	можно и	2	1
217	эта не	1	1
218	одну особенность	1	1
219	к одной	1	1
220	жизни а	2	1
221	и пр	30	1
222	этого она	1	1
223	и заключается	2	1
224	в первый	5	1
