N	2gram	Medvedev_I	Poddanst
1	и в	1	14
2	и не	2	12
3	в этом	2	10
4	с другой	1	5
5	и о	1	5
6	что в	2	4
7	а в	1	4
8	если бы	1	4
9	а также	1	4
10	для того	1	3
11	и без	1	3
12	более чем	1	2
13	в значительной	1	2
14	и дети	1	2
15	того что	1	2
16	все это	1	2
17	говорить о	1	2
18	и и	1	2
19	в них	1	2
20	и с	3	2
21	значительной мере	1	2
22	в эту	1	2
23	от нее	1	1
24	а с	1	1
25	и очень	1	1
26	только что	1	1
27	того чтобы	1	1
28	что при	1	1
29	другой стороны	1	1
30	бы что	2	1
31	должен быть	2	1
32	и еще	1	1
33	себя в	1	1
34	нисколько не	1	1
35	никогда не	1	1
