N	2gram	Losev_Dial	Vladivir
1	и в	34	116
2	то что	25	71
3	и не	50	67
4	у него	2	65
5	не только	35	65
6	в этом	14	53
7	в том	17	52
8	том что	18	51
9	что в	12	48
10	но и	14	47
11	в конце	2	41
12	в его	6	40
13	и с	10	39
14	то есть	1	37
15	и даже	21	36
16	сказать что	7	36
17	также и	6	36
18	учение о	11	35
19	так что	11	35
20	потому что	21	33
21	что он	18	32
22	еще и	2	32
23	не может	29	31
24	о том	11	30
25	только в	10	30
26	как мы	4	29
27	никогда не	9	29
28	для него	4	29
29	вовсе не	18	27
30	а в	3	27
31	не было	6	26
32	в себе	8	25
33	но в	3	25
34	в то	9	25
35	и то	7	25
36	и его	8	25
37	даже и	9	24
38	философии и	1	23
39	точки зрения	43	23
40	он не	8	23
41	может быть	30	23
42	что же	12	23
43	кроме того	8	22
44	он был	1	22
45	ни в	20	22
46	так как	12	22
47	в виде	11	22
48	об этом	8	22
49	в своей	4	21
50	вместе с	3	21
51	а именно	7	20
52	и что	21	20
53	в своем	7	20
54	для нас	2	20
55	прежде всего	20	20
56	не менее	11	19
57	и вообще	7	19
58	как раз	11	19
59	тем не	10	19
60	таким образом	14	19
61	в течение	4	19
62	так и	11	19
63	и потому	6	19
64	как и	14	18
65	не мог	3	18
66	не в	11	18
67	хотя и	9	18
68	как это	8	18
69	с его	7	18
70	то это	9	17
71	что и	8	17
72	в этой	3	17
73	едва ли	2	17
74	и если	5	17
75	а не	39	17
76	у нас	7	17
77	все же	4	16
78	уже не	9	16
79	к тому	4	16
80	не есть	95	16
81	совсем не	1	16
82	для себя	2	16
83	и все	17	16
84	было бы	13	16
85	того что	22	16
86	в котором	2	16
87	и к	5	15
88	то же	9	15
89	в своих	3	15
90	к этому	3	15
91	в эти	1	15
92	несмотря на	2	15
93	в связи	3	15
94	иной раз	3	15
95	разного рода	2	15
96	но это	10	15
97	это было	5	15
98	все эти	4	14
99	раз и	3	14
100	тут же	3	14
101	его жизни	1	14
102	мы уже	6	14
103	в москве	1	14
104	и на	6	14
105	и как	13	14
106	во всем	5	13
107	в результате	7	13
108	с тем	4	13
109	можно сказать	5	13
110	так же	7	13
111	не просто	20	13
112	на этот	1	13
113	и от	4	13
114	что это	20	13
115	то время	6	13
116	да и	4	13
117	жизни и	8	13
118	по себе	31	12
119	только на	8	12
120	и это	12	12
121	и у	3	12
122	и по	2	12
123	в нем	7	12
124	то в	5	12
125	содержит в	2	12
126	если не	3	12
127	всяком случае	3	12
128	ничего не	29	12
129	во всяком	5	12
130	есть только	13	12
131	связи с	3	12
132	учения о	2	12
133	при этом	7	11
134	но что	11	11
135	более или	1	11
136	всякого рода	1	11
137	в данном	6	11
138	хотя бы	9	11
139	тому же	2	11
140	в которой	1	11
141	я не	11	11
142	на то	5	11
143	и здесь	3	11
144	никак не	3	11
145	в отношении	1	11
146	это есть	19	11
147	все это	13	11
148	то он	1	11
149	или менее	1	11
150	мы должны	1	11
151	и о	9	11
152	конце концов	1	11
153	в самом	9	10
154	даже в	1	10
155	вот что	1	10
156	что все	16	10
157	с точки	25	10
158	в качестве	1	10
159	что его	5	10
160	что для	5	10
161	отнюдь не	16	10
162	к нему	4	10
163	с ним	3	10
164	еще не	7	10
165	собственно говоря	5	10
166	в истории	7	10
167	здесь не	2	10
168	он и	3	10
169	о нем	6	10
170	в ней	4	10
171	но не	3	10
172	о чем	2	9
173	и сам	1	9
174	именно в	5	9
175	с этим	4	9
176	смысле слова	1	9
177	с другой	5	9
178	мы знаем	3	9
179	и притом	10	9
180	но он	3	9
181	и можно	5	9
182	а только	2	9
183	но как	3	9
184	не будет	5	9
185	этом смысле	1	9
186	мы будем	1	9
187	из этого	3	9
188	оно есть	4	9
189	это время	1	9
190	отношения к	4	9
191	своей жизни	1	9
192	что мы	10	9
193	что если	5	9
194	для меня	2	9
195	это не	13	9
196	же время	5	9
197	ни с	4	9
198	по существу	2	9
199	с этой	7	8
200	это значит	29	8
201	это учение	3	8
202	в этих	3	8
203	тем что	5	8
204	в это	4	8
205	которой он	1	8
206	в этот	3	8
207	конечно не	6	8
208	себя в	3	8
209	и он	3	8
210	это мы	1	8
211	в смысле	4	8
212	в чем	11	8
213	никакого отношения	5	8
214	значит что	29	8
215	как в	2	8
216	со стороны	5	8
217	свое время	1	8
218	должно быть	7	8
219	как бы	19	8
220	и для	5	8
221	тот же	1	8
222	тоже не	2	8
223	и я	3	8
224	только и	3	8
225	когда он	3	8
226	из этих	5	8
227	отношение к	1	8
228	мы и	4	7
229	к этой	2	7
230	в одном	3	7
231	в них	6	7
232	но все	1	7
233	к ней	1	7
234	на первый	4	7
235	что этот	3	7
236	но даже	4	7
237	на первом	1	7
238	точно так	3	7
239	в нашем	1	7
240	и мы	6	7
241	выше мы	1	7
242	себе и	1	7
243	за пределы	3	7
244	даже не	8	7
245	и есть	24	7
246	никак нельзя	1	7
247	если бы	10	7
248	но вот	3	7
249	судить по	1	7
250	не имеет	18	7
251	в каком	9	7
252	философии но	1	7
253	ничего общего	2	7
254	бы и	2	7
255	и вот	13	7
256	того чтобы	1	7
257	при помощи	6	7
258	но если	11	7
259	в свое	1	7
260	не без	1	7
261	нисколько не	4	7
