N	2gram	Nazirov_Tr	Stilisti
1	и в	18	42
2	как бы	7	30
3	не только	8	28
4	прежде всего	4	22
5	и т.д	1	21
6	хотя бы	1	18
7	то же	5	16
8	но и	4	16
9	и не	7	14
10	может быть	7	13
11	не может	5	13
12	как и	5	12
13	ситуации и	1	10
14	в этом	9	10
15	в себе	4	10
16	и как	3	10
17	как мы	1	10
18	отнюдь не	3	10
19	при этом	3	9
20	все же	5	9
21	эти слова	1	9
22	то что	4	9
23	в то	5	9
24	таким образом	1	8
25	с тем	2	8
26	и это	2	8
27	в ней	1	8
28	тем самым	3	8
29	с его	2	8
30	ничего не	2	8
31	и на	7	7
32	так и	5	7
33	только в	1	7
34	в которой	1	7
35	и его	6	7
36	потому что	2	7
37	того чтобы	1	7
38	же время	6	7
39	той же	1	7
40	и от	1	7
41	а не	1	7
42	никогда не	2	7
43	во всех	1	6
44	в его	3	6
45	не в	2	6
46	в нем	4	6
47	в конце	3	6
48	бы в	1	6
49	с помощью	1	6
50	если б	2	6
51	в форме	1	6
52	или как	1	6
53	в этой	4	6
54	слова в	1	6
55	в области	1	6
56	в той	1	5
57	в самом	2	5
58	то есть	3	5
59	уже в	3	5
60	и их	1	5
61	не является	1	5
62	все время	1	5
63	самом деле	1	5
64	но все	2	5
65	и с	7	5
66	но в	6	5
67	тому что	1	5
68	вместе с	1	5
69	как это	3	5
70	у которого	1	5
71	и то	2	5
72	и наконец	1	5
73	мы видим	1	4
74	один из	3	4
75	что это	5	4
76	все это	4	4
77	в одном	2	4
78	его в	2	4
79	и все	4	4
80	с самого	1	4
81	так сказать	1	4
82	уже не	2	4
83	к тому	2	4
84	о том	2	4
85	самого начала	1	4
86	было в	2	4
87	можно было	1	4
88	в обществе	1	4
89	так же	4	4
90	лишь в	1	4
91	в целом	4	4
92	что именно	1	4
93	не просто	2	4
94	того что	1	4
95	не к	1	4
96	не так	2	3
97	этом случае	1	3
98	социальной жизни	1	3
99	что оно	1	3
100	и здесь	2	3
101	что эти	2	3
102	совершенно не	1	3
103	если он	1	3
104	для нас	1	3
105	и вот	1	3
106	в том	2	3
107	несмотря на	5	3
108	для него	3	3
109	в ее	2	3
110	что и	2	3
111	в виду	1	3
112	быть может	1	3
113	только он	1	3
114	связи с	1	3
115	и даже	4	3
116	здесь мы	1	3
117	вряд ли	2	3
118	все эти	3	3
119	как в	3	3
120	том что	4	3
121	роль в	1	3
122	об этом	4	3
123	конце концов	1	3
124	перед нами	2	3
125	еще не	4	3
126	но при	2	3
127	нуждается в	1	3
128	а к	1	3
129	в котором	1	3
130	связь и	1	3
131	этом мы	1	3
132	между тем	1	3
133	в частности	2	3
134	только на	1	3
135	связь между	1	3
136	перед ним	1	3
137	иван петрович	3	3
138	в голову	1	3
139	этого слова	1	3
140	и эта	1	3
141	не мог	2	3
142	это не	5	3
143	выражение лица	1	2
144	в душе	2	2
145	и он	3	2
146	ничем не	2	2
147	от самых	1	2
148	где и	1	2
149	и эту	1	2
150	должно быть	3	2
151	и при	1	2
152	и потому	1	2
153	с ним	3	2
154	о чем	3	2
155	но как	1	2
156	даже на	2	2
157	иными словами	1	2
158	смысле этого	1	2
159	как нечто	1	2
160	с собой	1	2
161	но это	4	2
162	а на	1	2
163	не было	1	2
164	на этот	1	2
165	но эта	2	2
166	жизни своей	1	2
167	но не	1	2
168	тем что	2	2
169	это выражение	1	2
170	я и	1	2
171	в связи	1	2
172	что он	6	2
173	не есть	1	2
174	в своей	1	2
175	в мире	3	2
176	это же	1	2
177	и сам	3	2
178	и жизнь	1	2
179	по своей	1	2
180	чего же	1	2
181	но мы	1	2
182	в дальнейшем	5	2
183	такие слова	1	2
184	бы не	1	2
185	бы и	2	2
186	между собой	1	2
187	вопрос о	2	2
188	ведь еще	2	2
189	представляет собой	1	2
190	его речь	1	2
191	он не	2	2
192	значение и	1	2
193	этими словами	1	2
194	тем и	1	2
195	человека с	1	2
196	ту же	1	2
197	человека и	1	2
198	такие как	1	2
199	должны были	1	2
200	развития в	1	2
201	отношение к	2	2
202	у себя	1	2
203	он сказал	1	2
204	до конца	2	2
205	роль играет	1	2
206	из трех	1	2
207	человек не	1	2
208	в разговоре	1	2
209	друг друга	2	2
210	не из	1	2
211	в какой-то	1	2
212	к нему	3	2
213	от силы	1	1
214	в особенности	1	1
215	к сожалению	1	1
216	что в	4	1
217	и которое	1	1
218	то в	1	1
219	вместе со	2	1
220	утверждать что	1	1
221	только не	1	1
222	взгляд на	1	1
223	они сами	1	1
224	еще раз	2	1
225	ему в	1	1
226	сама собой	1	1
227	является ее	1	1
228	статье мы	1	1
229	от самой	1	1
230	хлеб и	1	1
231	на вопрос	1	1
232	его самого	1	1
233	также что	1	1
234	в романе	10	1
235	свидетельствует о	1	1
236	желание в	1	1
237	того как	1	1
238	в основном	3	1
239	которой не	1	1
240	и отношения	1	1
241	его с	1	1
242	ненависть к	2	1
243	но еще	1	1
244	что я	4	1
245	бросается в	2	1
246	дело с	1	1
247	это часто	1	1
248	но от	1	1
249	содержит в	1	1
250	в ресторане	2	1
251	это уже	2	1
252	и теперь	1	1
253	как говорит	2	1
254	роман и	1	1
255	сильнее и	1	1
256	тем не	1	1
257	от всего	2	1
258	в литературе	1	1
259	о нем	1	1
260	не как	1	1
261	а затем	1	1
262	этот тон	1	1
263	и всегда	1	1
264	одному из	1	1
265	одно из	1	1
266	на общество	1	1
267	ни в	2	1
268	х годов	1	1
269	в результате	1	1
270	но этого	2	1
271	между этими	2	1
272	превратиться в	1	1
273	из ее	1	1
274	этими двумя	2	1
275	это значит?	1	1
276	и женщины	1	1
277	у него	6	1
278	не могут	2	1
279	россии но	1	1
280	первым словом	1	1
281	в виде	2	1
282	значение выходящее	1	1
283	говорит он	1	1
284	как же	2	1
285	имеет для	1	1
286	наших дней	1	1
287	или от	1	1
288	сказал что	1	1
289	одним из	1	1
290	мысль о	1	1
291	мы начинаем	1	1
292	частью его	1	1
293	на себя	1	1
294	именно в	1	1
295	повиновения и	1	1
296	при которой	1	1
297	в таком	2	1
298	вообще не	1	1
299	например в	1	1
300	из тех	1	1
301	я не	4	1
302	разговоре с	1	1
303	с ними	1	1
304	это чувство	1	1
305	есть в	1	1
306	никакого значения	1	1
307	за свое	1	1
308	слов как	1	1
309	одном из	2	1
310	жизни ее	1	1
311	и общий	1	1
312	всю эту	1	1
313	создает и	1	1
314	это происходит	1	1
315	нет это	1	1
316	по себе	1	1
317	ввел в	1	1
318	на все	1	1
319	со своей	1	1
320	незадолго до	1	1
321	к личности	1	1
322	в иной	1	1
323	эти мысли	1	1
324	именно эта	1	1
325	по самой	1	1
326	но уже	1	1
327	выходящее за	1	1
328	знает что	2	1
329	у достоевского	5	1
330	в чем	1	1
331	нет в	2	1
332	жив и	1	1
333	могло бы	1	1
334	в сцене	1	1
335	не смог	1	1
336	дома и	2	1
337	что хочет	1	1
338	превратилось в	2	1
339	к одному	1	1
340	с сознанием	1	1
341	перестает быть	1	1
342	не менее	1	1
343	понятно что	1	1
344	все сильнее	1	1
345	в стиле	1	1
346	это и	1	1
347	необходимое условие	1	1
348	материалом для	1	1
349	одна из	2	1
350	более чем	1	1
351	нем ничего	1	1
352	в тему	1	1
353	что этот	2	1
354	сливается с	1	1
355	на этом	1	1
356	даже отчасти	1	1
357	и личность	2	1
358	она должна	2	1
359	я тебе	2	1
360	в поле	3	1
361	которой он	1	1
362	раз и	2	1
363	это как	1	1
364	которое уже	1	1
365	она не	1	1
366	чтобы он	1	1
367	и если	1	1
368	в другом	1	1
369	изображаемых в	1	1
370	в каких	1	1
371	способен на	1	1
372	сравнению с	1	1
373	ивана петровича	6	1
374	речью которая	1	1
375	так что	2	1
376	характеры и	1	1
377	когда в	1	1
378	к своей	1	1
379	в развитии	1	1
380	отвращение к	1	1
381	только один	1	1
382	звезды и	1	1
383	значение для	1	1
384	но они	2	1
385	с этой	1	1
386	что эта	1	1
387	на нечто	1	1
388	и что	4	1
389	как он	1	1
390	его речи	1	1
391	не могла	1	1
392	за пределы	1	1
393	вот что	1	1
394	конечно в	1	1
395	факт что	1	1
396	он в	1	1
397	и до	2	1
398	даже не	1	1
399	в журнале	1	1
400	слова были	1	1
401	друга и	1	1
402	в истории	1	1
403	к людям	3	1
404	борьбе за	1	1
405	говорили что	1	1
406	отметить что	1	1
407	какой-нибудь бывший	1	1
408	страха и	1	1
409	чем он	2	1
410	а из	1	1
411	всегда будет	1	1
412	в глаза	2	1
413	говорит о	2	1
414	и сильнее	1	1
415	дистанция между	1	1
416	к ним	1	1
417	ту сторону	1	1
418	и вне	1	1
419	самой своей	1	1
420	на две	1	1
421	и о	1	1
422	состоит из	2	1
423	как некое	1	1
424	ее не	1	1
425	в голове	1	1
426	ко всей	1	1
427	его как	1	1
428	мог бы	3	1
429	наряду с	1	1
430	ответа на	1	1
431	первостепенное значение	1	1
432	этот своеобразный	1	1
433	по сравнению	1	1
434	это мы	1	1
435	именно так	1	1
436	быть в	1	1
437	и политических	1	1
438	в высшей	1	1
439	в своем	3	1
440	в ход	1	1
441	не значит	1	1
442	даже если	2	1
443	на улице	1	1
444	из романа	1	1
445	человека мы	1	1
446	и есть	1	1
447	же слова	1	1
448	ведь уже	1	1
449	входят в	1	1
450	то для	1	1
451	столь же	2	1
452	в общем	1	1
453	его поза	1	1
454	всегда оказывается	1	1
455	любовь в	1	1
456	первую фразу	1	1
457	что без	1	1
458	и темы	1	1
459	своей и	1	1
460	как будто	3	1
461	что говорит	2	1
462	в газетах	1	1
463	но если	1	1
464	и по	1	1
465	является ли	1	1
466	не протекал	1	1
467	глаза в	1	1
468	еще в	2	1
469	произносит слово	1	1
470	речи в	1	1
471	со своими	1	1
472	что сам	1	1
473	превратился в	1	1
474	чтобы не	1	1
475	в самой	1	1
476	не был	2	1
477	что при	1	1
478	только о	2	1
479	эту тему	1	1
480	на ту	1	1
481	он непрерывно	1	1
482	намек на	1	1
483	высшей степени	1	1
