N	2gram	Losev_Vesc	IolandNe
1	и с	11	3
2	что в	11	2
3	оба они	1	2
4	самого себя	2	2
5	он не	4	2
6	должен быть	5	2
7	бы что	3	2
8	ничего не	12	2
9	и не	57	2
10	в этом	17	2
11	говорить о	9	1
12	все эти	5	1
13	для того	3	1
14	и очень	1	1
15	а в	6	1
16	и о	4	1
17	же это	5	1
18	понятий и	2	1
19	это было	2	1
20	у всех	3	1
21	и со	2	1
22	и та	2	1
23	что для	5	1
24	для него	8	1
25	не остается	1	1
26	тем что	7	1
27	не случайно	2	1
28	только что	2	1
29	бы его	2	1
30	от нее	2	1
31	а если	6	1
32	того же	5	1
33	с а	4	1
34	не так	2	1
35	введение в	1	1
36	гипотеза и	1	1
37	жизни и	6	1
38	с другой	8	1
39	но когда	3	1
40	в целом	3	1
41	не смерть	1	1
42	было не	1	1
43	он с	1	1
44	точно и	1	1
45	очевидно что	2	1
46	другой стороны	3	1
47	я не	7	1
48	себя в	11	1
49	нечто и	2	1
50	с любым	1	1
51	могло бы	1	1
52	то и	7	1
53	и еще	4	1
54	и смыслы	1	1
55	как только	6	1
56	если бы	8	1
57	имя отца	1	1
58	в руки	2	1
59	по существу	3	1
60	данной личности	2	1
61	и сам	3	1
62	того что	16	1
63	а с	3	1
64	стало быть	3	1
65	по поводу	1	1
66	так то	4	1
67	и тот	1	1
68	а также	1	1
69	так и	4	1
70	в основе	4	1
71	ничего в	1	1
72	без этого	3	1
73	следовательно в	2	1
74	о ней	5	1
75	от этого	3	1
76	та и	1	1
77	того чтобы	4	1
78	и без	4	1
79	другое дело	2	1
80	бы в	9	1
81	этим и	1	1
82	и ничего	2	1
83	не дает	1	1
84	есть только	18	1
85	факты и	2	1
86	и в	44	1
87	видит в	1	1
88	никогда не	5	1
89	и и	1	1
90	все это	7	1
91	со всеми	1	1
92	на котором	1	1
93	нисколько не	7	1
94	как о	5	1
95	то она	2	1
96	в них	1	1
97	во многом	1	1
