N	2gram	Voloshinov	VelikijI
1	и не	8	20
2	и в	13	16
3	так как	3	9
4	то что	6	9
5	в истории	1	8
6	еще не	1	8
7	что они	2	7
8	а не	2	7
9	человека и	1	6
10	все это	4	5
11	как бы	6	5
12	на себя	1	5
13	в мире	1	5
14	но и	3	5
15	в этом	2	4
16	что мы	1	4
17	потому что	1	4
18	в его	7	4
19	в ней	2	4
20	так и	3	4
21	говорить о	3	4
22	и есть	1	4
23	и все	3	4
24	в образе	1	4
25	как и	3	4
26	что он	1	4
27	в нем	2	4
28	что в	3	3
29	нет ничего	2	3
30	к счастью	1	3
31	то это	1	3
32	в конце	1	3
33	должно быть	1	3
34	если не	1	3
35	хотя бы	5	3
36	в том	2	3
37	тому что	1	3
38	не в	3	3
39	и что	1	3
40	превращается в	3	3
41	в них	2	3
42	не было	1	3
43	лишь в	4	3
44	их в	1	3
45	в своей	4	3
46	с его	1	3
47	от этого	2	3
48	не имеет	2	3
49	но это	1	3
50	и для	3	3
51	в чем	2	3
52	все эти	2	3
53	тот же	2	3
54	но в	4	3
55	к тому	2	3
56	никогда не	3	3
57	всего в	1	2
58	от него	1	2
59	его и	1	2
60	материалом для	2	2
61	уже на	1	2
62	ее и	1	2
63	один из	1	2
64	превращаются в	1	2
65	в последнем	1	2
66	которым можно	1	2
67	которые не	1	2
68	на том	1	2
69	не создает	1	2
70	когда я	1	2
71	того чтобы	1	2
72	это все	1	2
73	между тем	2	2
74	не только	6	2
75	и над	1	2
76	для него	2	2
77	и тогда	1	2
78	ее в	2	2
79	и то	3	2
80	своей истории	1	2
81	прежде всего	9	2
82	для них	1	2
83	можно было	1	2
84	людей и	1	2
85	вслед за	2	2
86	и это	1	2
87	мы не	4	2
88	конечно не	1	2
89	только в	6	2
90	все равно	1	2
91	а в	2	2
92	до того	1	2
93	истории и	1	2
94	духа но	1	2
95	нет и	1	2
96	раз навсегда	1	2
97	но не	1	2
98	и никогда	1	2
99	тем что	2	2
100	по которым	1	2
101	могут быть	2	2
102	мы это	1	2
103	уж конечно	1	2
104	одна из	1	2
105	мы слышим	1	2
106	его к	1	2
107	да и	3	2
108	и последнее	1	2
109	том что	2	2
110	когда в	1	2
111	для человека	1	2
112	но мы	4	2
113	в себя	1	2
114	застывшее в	1	1
115	в самом	2	1
116	во всем	2	1
117	связь с	1	1
118	мы видим	2	1
119	вообще в	1	1
120	и столь	1	1
121	он говорит	1	1
122	она и	1	1
123	вопрос о	1	1
124	на этом	1	1
125	может быть	8	1
126	они не	1	1
127	между собою	2	1
128	не имеют	1	1
129	ее на	1	1
130	указать на	1	1
131	того как	1	1
132	и уж	1	1
133	и который	1	1
134	и вот	1	1
135	уже в	2	1
136	которое может	2	1
137	есть прежде	3	1
138	для себя	2	1
139	с этой	2	1
140	то же	4	1
141	и если	1	1
142	для того	1	1
143	и должна	1	1
144	что всякий	1	1
145	нам могут	1	1
146	истину что	1	1
147	не всегда	1	1
148	в разных	1	1
149	в нашу	1	1
150	нужна для	1	1
151	в ее	3	1
152	и тем	2	1
153	и уже	3	1
154	сознании и	1	1
155	как это	1	1
156	но может	1	1
157	мы в	1	1
158	мы все	1	1
159	в которую	2	1
160	в одном	3	1
161	в этой	1	1
162	это слово	1	1
163	в виду	1	1
164	другой стороны	2	1
165	нет никакого	1	1
166	и чем	1	1
167	но что	1	1
168	в новых	1	1
169	не существует	1	1
170	так же	2	1
171	в виде	1	1
172	в своих	2	1
173	о возможности	1	1
174	с другой	2	1
175	конечно в	2	1
176	в которой	3	1
177	как мог	1	1
178	существует как	1	1
179	сознания не	1	1
180	отношение к	1	1
181	он всегда	1	1
182	ко всем	1	1
183	жизнь как	1	1
184	выбора все	1	1
185	или даже	1	1
186	в понимании	1	1
187	него не	1	1
188	лишь как	1	1
189	и другое	1	1
190	найти в	1	1
191	мира если	2	1
192	и до	1	1
193	в процессе	5	1
194	в своем	1	1
195	есть духовное	1	1
196	его на	2	1
197	еще и	4	1
198	за которым	1	1
199	быть может	1	1
200	места ему	1	1
201	существует лишь	1	1
202	равно не	1	1
203	с ними	2	1
204	им и	1	1
205	и именно	1	1
206	в сознании	4	1
207	властью и	1	1
208	природы и	1	1
209	вместе с	1	1
210	все же	5	1
211	и вместе	1	1
212	как в	2	1
213	этого слова	1	1
214	в которых	1	1
215	роль в	2	1
216	себя и	1	1
217	менее всего	1	1
218	и эта	5	1
219	к этому	1	1
220	в их	3	1
221	не сумеет	1	1
222	не будут	1	1
223	в двух	4	1
224	может и	1	1
225	зависимости от	2	1
226	в едином	1	1
227	сложность и	1	1
228	в целом	2	1
229	и ее	2	1
230	вовсе не	2	1
231	и закономерности	1	1
232	есть не	2	1
233	в искусстве	3	1
234	бы в	2	1
235	к нему	1	1
