N	2gram	Berdyaev_V	VeschiIm
1	не есть	6	79
2	и не	20	57
3	не только	2	48
4	то что	9	48
5	и в	16	45
6	и есть	4	40
7	и т	2	39
8	может быть	1	39
9	т д	2	38
10	а не	7	37
11	это значит	1	30
12	что я	3	26
13	потому что	4	25
14	не просто	1	24
15	только в	2	23
16	и что	3	22
17	как бы	5	20
18	что это	1	19
19	но и	5	19
20	и ее	1	19
21	в этом	4	18
22	все же	1	18
23	так как	9	17
24	что мы	4	17
25	прежде всего	2	17
26	и это	2	17
27	есть не	1	17
28	того что	5	16
29	как и	4	15
30	уже не	2	15
31	в том	3	15
32	в ней	4	15
33	но это	3	14
34	и то	2	14
35	сущности и	1	14
36	не в	3	14
37	в самом	1	13
38	не будет	2	13
39	том что	2	13
40	есть и	1	13
41	и для	3	13
42	в себя	2	13
43	то ни	1	13
44	что в	3	12
45	и с	1	12
46	бы то	1	12
47	то же	1	12
48	есть то	1	12
49	еще не	8	12
50	ничего не	1	12
51	что они	7	12
52	что и	3	12
53	между собою	1	12
54	д и	1	11
55	еще и	1	11
56	ни в	3	11
57	что не	4	11
58	вовсе не	1	11
59	по крайней	1	10
60	в чем	3	10
61	крайней мере	1	10
62	что оно	1	10
63	с ним	2	9
64	в результате	1	9
65	бы и	3	9
66	то и	1	9
67	хотя бы	3	9
68	говорить о	4	9
69	в своем	1	9
70	должно быть	3	9
71	это не	2	9
72	у нас	1	9
73	но что	1	9
74	бы в	1	9
75	если оно	1	9
76	она не	1	9
77	но не	2	9
78	должна быть	3	8
79	с тем	2	8
80	что он	4	8
81	себя и	1	8
82	по сравнению	1	8
83	но в	3	8
84	тут не	1	8
85	мы не	2	8
86	для него	2	8
87	в ее	1	8
88	все это	5	8
89	и потому	7	8
90	не с	2	8
91	с другой	1	8
92	что есть	5	8
93	с этой	1	7
94	оно не	3	7
95	все эти	3	7
96	тем что	2	7
97	сравнению с	1	7
98	и тогда	2	7
99	можно ли	1	7
100	и тут	1	7
101	я не	1	7
102	с именем	1	7
103	и тем	1	7
104	а в	2	7
105	для себя	1	6
106	в разных	1	6
107	их в	3	6
108	в своей	3	6
109	в одном	1	6
110	и до	1	6
111	одна из	2	6
112	вопрос о	1	6
113	для всякого	1	6
114	все равно	2	6
115	и другое	1	6
116	в нем	4	6
117	и вообще	1	6
118	можно было	2	6
119	как мы	1	6
120	бытия и	1	6
121	жизни и	3	6
122	и все	4	6
123	никогда не	3	6
124	все что	4	5
125	как это	1	5
126	один из	2	5
127	а есть	2	5
128	себя с	1	5
129	в жизни	3	5
130	ничем не	1	5
131	вместе с	1	5
132	да и	2	5
133	и если	1	5
134	думают что	1	5
135	нет и	2	5
136	о смысле	4	5
137	во всех	3	5
138	мы видим	1	5
139	и мы	3	5
140	в его	4	5
141	хотя и	5	5
142	как можно	1	5
143	в которой	1	5
144	на себя	5	5
145	то это	3	5
146	как она	1	5
147	по смыслу	1	5
148	когда я	2	5
149	и от	1	4
150	говорит о	1	4
151	о которой	1	4
152	его на	1	4
153	с ними	1	4
154	во всяком	2	4
155	его и	2	4
156	не существует	1	4
157	в котором	4	4
158	того чтобы	2	4
159	не быть	1	4
160	есть прежде	1	4
161	так же	1	4
162	только это	1	4
163	на него	1	4
164	находится в	1	4
165	что все	4	4
166	тот же	3	4
167	и вот	1	4
168	так и	4	4
169	в их	1	4
170	есть уже	2	4
171	и эта	1	4
172	в конце	3	4
173	смысле и	1	4
174	во имя	32	4
175	на этом	1	4
176	не было	3	4
177	и сам	2	4
178	в этой	1	4
179	отношение к	1	4
180	и чем	1	4
181	и самое	1	3
182	на нас	2	3
183	именем и	1	3
184	другой стороны	1	3
185	быть может	1	3
186	нет никакого	1	3
187	в своих	1	3
188	если не	3	3
189	но все	1	3
190	как в	1	3
191	жизни в	1	3
192	не имеет	3	3
193	к тому	3	3
194	к бытию	3	3
195	от этого	3	3
196	и нет	1	3
197	перестает быть	1	3
198	это все	2	3
199	вот почему	2	3
200	не понимает	1	3
201	говорит что	1	3
202	превращается в	3	3
203	в истории	8	3
204	тогда как	1	3
205	будет уже	2	3
206	и во	2	3
207	же они	1	3
208	к нему	1	3
209	образ и	1	3
210	у него	1	3
211	в виде	1	3
212	есть еще	1	3
213	раз навсегда	2	3
214	к личности	4	3
215	а потом	1	3
216	но как	1	3
217	а с	2	3
218	является и	1	3
219	но она	1	3
220	для человека	2	3
221	к ее	1	3
222	человека и	6	3
223	для того	1	3
224	я в	1	3
225	мы будем	1	3
226	бы ни	1	3
227	может и	1	3
228	да будет	1	3
229	в целом	1	3
230	не к	2	3
231	во всем	1	2
232	не так	2	2
233	и другие	1	2
234	является в	2	2
235	а потому	1	2
236	и уже	1	2
237	религии и	1	2
238	и на	1	2
239	же и	1	2
240	то есть	1	2
241	бытие не	1	2
242	самого себя	2	2
243	и который	1	2
244	позитивизма и	1	2
245	тому что	3	2
246	о чем	1	2
247	бытия на	1	2
248	существует и	1	2
249	говорите о	1	2
250	и они	3	2
251	как не	3	2
252	и так	1	2
253	в одно	1	2
254	же теперь	1	2
255	нем нет	2	2
256	себя от	1	2
257	нет ничего	3	2
258	объективную реальность	1	2
259	видим что	1	2
260	который я	1	2
261	только мы	1	2
262	и уж	1	2
263	это только	1	2
264	и должна	1	2
265	себя не	1	2
266	и внешнее	1	2
267	себе и	1	2
268	конечно не	2	2
269	в абсолютном	3	2
270	может ли	1	2
271	тоже ведь	1	2
272	от смысла	1	2
273	с его	3	2
274	к этому	1	2
275	нет что	1	2
276	у них	1	2
277	ее но	1	2
278	образ в	1	2
279	зачем же	2	2
280	ее и	2	2
281	в смысл	2	2
282	она и	1	2
283	ее на	1	2
284	уже в	1	2
285	другое и	1	2
286	в состоянии	1	2
287	религиозного сознания	5	2
288	и новой	1	2
289	для нас	2	2
290	я вижу	1	2
291	них и	1	2
292	ее к	1	2
293	к чему	3	2
294	и можно	1	2
295	в виду	1	2
296	на нее	1	2
297	в бытии	1	2
298	бытия в	1	2
299	от слова	1	2
300	но я	1	2
301	чего бы	1	2
302	раз и	1	2
303	но к	1	2
304	ли что	1	2
305	проявляется и	1	2
306	не был	1	2
307	человека в	1	2
308	и быть	1	2
309	но с	1	2
310	он говорит	1	2
311	в руки	1	2
312	лишь как	1	2
313	личность как	2	2
314	истории и	2	2
315	и позитивизм	1	2
316	сделать это	1	2
317	если они	1	2
318	по законам	1	2
319	конце концов	1	2
320	не случайно	1	2
321	что на	1	2
322	что было	2	1
323	государства и	2	1
324	и стало	1	1
325	это одна	1	1
326	превратится в	1	1
327	не верят	3	1
328	человеческой жизни	1	1
329	мы и	2	1
330	от необходимости	1	1
331	они и	2	1
332	и очень	1	1
333	и свою	1	1
334	если в	1	1
335	которая в	1	1
336	превратились в	2	1
337	конечно о	1	1
338	его с	1	1
339	тогда опять	1	1
340	человек на	1	1
341	теперь в	1	1
342	и менее	1	1
343	эта новая	1	1
344	их жизни	1	1
345	они только	1	1
346	есть один	1	1
347	мы в	1	1
348	что человек	1	1
349	для самоутверждения	1	1
350	и вечном	1	1
351	нет еще	2	1
352	под этим	2	1
353	в стихии	2	1
354	в них	3	1
355	связь с	1	1
356	и хотел	1	1
357	было сказать	1	1
358	в духе	2	1
359	вместо того	2	1
360	вслед за	2	1
361	всегда в	1	1
362	их и	1	1
363	и опять	1	1
364	людей а	1	1
365	и полное	1	1
366	только несколько	1	1
367	уже на	2	1
368	из всего	1	1
369	и будет	3	1
370	и пусть	1	1
371	как объективную	1	1
372	стороны в	1	1
373	духа в	1	1
374	же ведь	1	1
375	в которых	1	1
376	в словах	1	1
377	только себя	1	1
378	человека есть	1	1
379	личность хотя	1	1
380	если исключить	1	1
381	ли он	1	1
382	теперь только	2	1
383	ними как	1	1
384	зависимости от	1	1
385	мир и	2	1
386	речь идет	1	1
387	слово от	1	1
388	но мы	2	1
389	и окончательное	2	1
390	как возможно	1	1
391	я говорю	2	1
392	понимает и	2	1
393	было не	1	1
394	которые не	2	1
395	их во	1	1
396	и всех	1	1
397	не могли	2	1
398	на части	1	1
399	очень важное	1	1
400	не имеют	1	1
401	одно целое	1	1
402	нас и	3	1
403	в противоположность	1	1
404	конечно ни	1	1
405	не всегда	1	1
406	революция духа	1	1
407	когда в	2	1
408	этот третий	1	1
409	лишь в	3	1
410	но может	1	1
411	мы все	1	1
412	если нет	1	1
413	и идеи	1	1
414	говорят что	1	1
415	мы хотим	4	1
416	уже и	1	1
417	выше всякого	2	1
418	до того	2	1
419	им в	1	1
420	и остается	1	1
421	мира есть	1	1
422	бога и	5	1
423	имя его	1	1
424	него не	1	1
425	духа и	2	1
426	в мировом	1	1
427	жизнь как	1	1
428	в тюрьму	1	1
429	будем говорить	1	1
430	мы взяли	2	1
431	все новые	1	1
432	в сознании	1	1
433	жизнь без	1	1
434	нас а	1	1
435	в понимании	1	1
436	и внешней	1	1
437	какие бы	1	1
438	отпадением от	1	1
439	на котором	1	1
440	на этих	2	1
441	бы это	1	1
442	к полному	1	1
443	верят в	3	1
444	в едином	1	1
445	жизни не	1	1
446	мы скажем	1	1
447	значение в	1	1
448	во вселенском	1	1
449	личности а	2	1
450	они не	1	1
451	к человеку	1	1
452	указать на	1	1
453	от природы	1	1
454	на том	2	1
455	его именем	1	1
456	что уже	1	1
457	ничего кроме	1	1
458	имя этого	1	1
459	души и	1	1
460	тогда уже	2	1
461	основанную на	2	1
462	в утверждении	1	1
463	его нужно	1	1
464	ее в	2	1
465	и всегда	1	1
466	они в	3	1
467	с богом	4	1
468	без нас	1	1
469	нам и	1	1
470	в третьем	1	1
471	по этому	3	1
472	происхождении и	2	1
473	из метафизической	1	1
474	человеческой природы	1	1
475	отказаться от	1	1
476	сознания не	1	1
477	тот кто	2	1
478	это мы	2	1
479	и последний	2	1
480	было для	1	1
481	это еще	4	1
482	опять-таки не	1	1
483	что их	2	1
484	это слово	1	1
485	за которым	1	1
486	лишь на	1	1
487	своей и	1	1
488	и вместе	1	1
489	в этих	3	1
490	этого слова	1	1
491	эту истину	1	1
492	то уж	1	1
493	не могут	2	1
494	в новом	1	1
495	средство для	1	1
496	в двух	1	1
497	даже что	1	1
498	ничего нельзя	1	1
499	думаю что	1	1
500	и дал	1	1
501	история человечества	1	1
502	воплотится не	1	1
503	и по	1	1
504	основанной на	1	1
505	и мир	1	1
506	есть что-то	1	1
507	конечно это	1	1
508	могли бы	1	1
509	третье и	2	1
510	имя отца	1	1
511	должно иметь	1	1
512	вообще в	1	1
513	в вопросе	3	1
514	с голыми	1	1
515	будто бы	1	1
516	он дал	1	1
517	мы увидим	1	1
518	а его	1	1
519	истории когда	1	1
520	смысла можно	1	1
521	от этих	2	1
522	и утверждения	1	1
523	смысл все	1	1
524	личности и	3	1
525	есть что-нибудь	1	1
526	для их	2	1
527	в личности	2	1
528	кто же	1	1
529	конечно в	1	1
530	и я	4	1
531	что бы	1	1
532	смысле жизни	2	1
533	хочу сделать	1	1
534	значит быть	1	1
535	жизнь в	1	1
536	позитивизм и	1	1
537	в бытие	1	1
538	есть такое	1	1
539	для последнего	1	1
540	них ничего	1	1
541	природы и	1	1
542	их к	1	1
543	могут быть	2	1
544	но нет	1	1
545	источник силы	1	1
546	это ни	1	1
547	теперь когда	1	1
548	с бытием	1	1
549	с которым	1	1
550	у людей	2	1
551	который был	1	1
552	и новые	2	1
553	это в	1	1
554	таким же	1	1
555	от них	1	1
556	им не	1	1
557	было что	1	1
558	не надо	1	1
559	него то	1	1
560	упорно и	1	1
561	нас это	1	1
562	себя но	1	1
