N	2gram	Berdyaev_V	SlovoVZh
1	может быть	1	14
2	как бы	5	13
3	и в	16	12
4	и не	20	10
5	так как	9	9
6	прежде всего	2	8
7	для нас	2	7
8	в ней	4	6
9	в том	3	6
10	в процессе	1	6
11	только в	2	6
12	в нем	4	6
13	что мы	4	5
14	хотя бы	3	5
15	должна быть	3	5
16	то же	1	5
17	а не	7	5
18	в виду	1	5
19	то что	9	5
20	в жизни	3	5
21	как и	4	5
22	как в	1	5
23	том что	2	5
24	но в	3	5
25	никогда не	3	5
26	в самом	1	4
27	и на	1	4
28	не только	2	4
29	мы все	1	4
30	с другой	1	4
31	не в	3	4
32	отношение к	1	4
33	что не	4	4
34	так и	4	4
35	уже не	2	4
36	жизни и	3	4
37	в этом	4	4
38	все же	1	4
39	зависимости от	1	4
40	к нему	1	4
41	бы то	1	3
42	и с	1	3
43	ее и	2	3
44	это как	1	3
45	в котором	4	3
46	и по	1	3
47	мы не	2	3
48	то ни	1	3
49	между тем	2	3
50	для него	2	3
51	с ним	2	3
52	того что	5	3
53	и уже	1	3
54	все это	5	3
55	ни в	3	3
56	конечно не	2	3
57	так же	1	3
58	в них	3	3
59	все эти	3	3
60	в своей	3	3
61	да и	2	3
62	но и	5	3
63	и для	3	3
64	и ее	1	3
65	и вообще	1	3
66	не к	2	3
67	еще не	8	3
68	что в	3	2
69	нет ничего	3	2
70	перестает быть	1	2
71	но это	3	2
72	не так	2	2
73	и потому	7	2
74	и другие	1	2
75	и то	2	2
76	и самое	1	2
77	слово это	1	2
78	нас и	3	2
79	уже в	1	2
80	в его	4	2
81	с этой	1	2
82	она не	1	2
83	это не	2	2
84	на него	1	2
85	в себя	2	2
86	как это	1	2
87	любит и	1	2
88	но все	1	2
89	от этой	1	2
90	мы в	1	2
91	и что	3	2
92	что и	3	2
93	в форме	2	2
94	конечно в	1	2
95	другой стороны	1	2
96	но что	1	2
97	как не	3	2
98	в этих	3	2
99	есть уже	2	2
100	связь с	1	2
101	оно не	3	2
102	а к	2	2
103	ко всем	1	2
104	к ним	1	2
105	человеческого общества	1	2
106	и все	4	2
107	но не	2	2
108	не есть	6	2
109	могут быть	2	2
110	значения и	2	2
111	в своем	1	2
112	вместе с	1	2
113	несравненно более	1	2
114	в атмосфере	1	2
115	и так	1	2
116	с его	3	2
117	себя и	1	2
118	его к	2	2
119	к этому	1	2
120	в чем	3	2
121	но мы	2	2
122	им не	1	2
123	ничего не	1	2
124	все в	1	1
125	мы указывали	1	1
126	и мир	1	1
127	во всяком	2	1
128	от него	2	1
129	что они	7	1
130	его и	2	1
131	является в	2	1
132	в искусстве	1	1
133	во всех	3	1
134	в окончательном	1	1
135	а с	2	1
136	если оно	1	1
137	что оно	1	1
138	уже сказано	1	1
139	на этом	1	1
140	является и	1	1
141	не имеют	1	1
142	и было	1	1
143	то есть	1	1
144	должно быть	3	1
145	ли он	1	1
146	так для	2	1
147	и уж	1	1
148	мы увидим	1	1
149	и который	1	1
150	и вот	1	1
151	конечно ни	1	1
152	ненависть к	1	1
153	что уже	1	1
154	того чтобы	2	1
155	и менее	1	1
156	это только	1	1
157	и должна	1	1
158	что всякий	1	1
159	что это	1	1
160	хотя и	5	1
161	и тогда	2	1
162	этот третий	1	1
163	о чем	1	1
164	в ее	1	1
165	и тем	1	1
166	говорит о	1	1
167	нашего времени	1	1
168	пути в	1	1
169	в одном	1	1
170	у нас	1	1
171	кто же	1	1
172	можно было	2	1
173	для их	2	1
174	а между	2	1
175	ценности и	2	1
176	в результате	1	1
177	и это	2	1
178	для них	2	1
179	слова не	1	1
180	и которые	1	1
181	уже и	1	1
182	у него	1	1
183	так не	2	1
184	в истории	8	1
185	не могут	2	1
186	миру и	1	1
187	все равно	2	1
188	не существует	1	1
189	в виде	1	1
190	со словами	1	1
191	не было	3	1
192	и третье	1	1
193	им в	1	1
194	и остается	1	1
195	словах и	1	1
196	оно ни	1	1
197	к тому	3	1
198	люди не	2	1
199	важная задача	1	1
200	и можно	1	1
201	сознания не	1	1
202	и мы	3	1
203	как мы	1	1
204	это мы	2	1
205	бытия и	1	1
206	слова с	1	1
207	в высшую	1	1
208	менее всего	1	1
209	него не	1	1
210	и эта	1	1
211	найти в	1	1
212	нем но	1	1
213	и во	2	1
214	уже на	2	1
215	тем кто	2	1
216	мы это	2	1
217	но прежде	1	1
218	что я	3	1
219	тот же	3	1
220	этого бытия	1	1
221	человек и	1	1
222	это ни	1	1
223	теперь когда	1	1
224	что все	4	1
225	уж конечно	2	1
226	или даже	1	1
227	места в	1	1
228	жизни в	1	1
229	они не	1	1
230	в словах	1	1
231	них и	1	1
232	на себя	5	1
233	и внешней	1	1
234	нас за	2	1
235	на этих	2	1
236	в двух	1	1
237	может и	1	1
238	важный для	1	1
239	себе и	1	1
240	не всегда	1	1
241	в целом	1	1
242	в лице	1	1
243	крайней мере	1	1
244	вовсе не	1	1
245	бытия если	1	1
246	по крайней	1	1
247	хором с	1	1
248	бы это	1	1
