N	3gram	Nazirov_Tr	SlovoVZh
1	не может быть	1	7
2	в том что	2	4
3	это как бы	1	3
4	имеет в виду	1	3
5	тем не менее	1	3
6	и не может	1	3
7	в данном случае	2	2
8	все же не	1	1
9	сам по себе	1	1
10	о том что	2	1
11	но несмотря на	1	1
12	в самом деле	1	1
13	в высшей степени	1	1
14	и должна быть	1	1
15	и в частности	2	1
16	а между тем	1	1
17	как и в	1	1
18	сводится только к	1	1
19	во всяком случае	1	1
20	но в то	2	1
21	и в истории	1	1
22	первого же взгляда	1	1
23	с самого начала	1	1
24	то же время	5	1
25	с первого же	2	1
26	в то же	5	1
27	и в этом	1	1
28	она как бы	1	1
29	в виду не	1	1
30	но все же	2	1
31	отнюдь не является	1	1
