N	3gram	Bakhtin_sl	Poddanst
1	то же время	15	7
2	в то же	15	7
3	в отношении к	9	5
4	в том что	4	4
5	не только в	3	4
6	сами по себе	1	3
7	с точки зрения	11	3
8	с одной стороны	7	3
9	но и в	2	2
10	и в то	6	2
11	в том числе	1	2
12	одной стороны и	2	2
13	мы все же	1	1
14	и т д	7	1
15	разных точек зрения	1	1
16	друг с другом	2	1
17	именно потому что	1	1
18	и в частности	1	1
19	не входят в	1	1
20	далеко не все	1	1
21	но в то	6	1
22	в применении к	1	1
23	том числе и	1	1
24	если бы мы	1	1
25	не может быть	11	1
26	только в условиях	1	1
27	в большинстве случаев	11	1
28	том что в	1	1
29	в отличие от	12	1
30	можно рассматривать с	1	1
31	для них и	1	1
32	как бы она	1	1
33	в собственном смысле	2	1
34	гоголя и достоевского	1	1
35	но в этом	2	1
36	хотя бы и	5	1
37	в нем в	6	1
38	должна быть именно	1	1
39	же время в	1	1
40	во всяком случае	7	1
41	для того чтобы	1	1
42	может не только	1	1
43	различных формах и	1	1
44	и не столько	1	1
45	с другой стороны	5	1
46	тем и другим	2	1
47	бы она ни	1	1
48	в известном смысле	2	1
49	и не может	2	1
50	бы оно ни	1	1
51	более или менее	5	1
52	не только как	1	1
53	в частности в	1	1
54	почти исключительно на	1	1
55	потому что по	1	1
56	и в этом	2	1
