N	2gram	Medvedev_I	Stilisti
1	и в	1	42
2	и не	2	14
3	в этом	2	10
4	для того	1	9
5	ничего не	2	8
6	так и	1	7
7	того чтобы	1	7
8	никогда не	1	7
9	бы в	1	6
10	и с	3	5
11	а с	1	5
12	а в	1	5
13	художественного творчества	1	5
14	все это	1	4
15	если бы	1	4
16	как только	1	4
17	и без	1	4
18	в целом	1	4
19	себя в	1	4
20	того что	1	4
21	какую роль	1	3
22	не так	1	3
23	для него	1	3
24	нам в	1	3
25	в основе	1	3
26	все эти	1	3
27	жизни и	1	3
28	очевидно что	1	2
29	в материале	1	2
30	тем что	1	2
31	и сам	1	2
32	должен быть	2	2
33	в значительной	1	2
34	он не	2	2
35	по отношению	1	2
36	отношению к	1	2
37	что в	2	1
38	автор и	1	1
39	ненависть к	1	1
40	допустил бы	1	1
41	другой стороны	1	1
42	бы что	2	1
43	достоевского тем	1	1
44	по существу	1	1
45	не остается	1	1
46	я не	1	1
47	в художественном	1	1
48	от этого	1	1
49	могло бы	1	1
50	не здесь	1	1
51	и та	1	1
52	более чем	1	1
53	тех же	1	1
54	в руки	1	1
55	доказать что	1	1
56	другое дело	1	1
57	говорить о	1	1
58	с другой	1	1
59	и о	1	1
60	что для	1	1
61	произведения и	1	1
62	того же	1	1
63	что при	1	1
64	нее и	1	1
