N	2gram	Tiupa_Narr	Psycholo
1	то что	14	193
2	и в	22	190
3	в том	20	163
4	что в	6	123
5	потому что	7	114
6	том что	15	113
7	и что	1	108
8	может быть	24	107
9	таким образом	5	102
10	в этом	23	100
11	то есть	15	97
12	все время	2	86
13	в самом	8	82
14	как бы	11	80
15	для того	4	78
16	того чтобы	7	78
17	что он	7	76
18	не только	50	75
19	на то	4	73
20	и не	34	73
21	что она	3	71
22	самом деле	4	70
23	точки зрения	8	69
24	и т	3	69
25	не может	16	68
26	так же	2	63
27	так как	1	63
28	было бы	2	56
29	если бы	9	55
30	то же	12	54
31	о том	5	54
32	и мы	1	54
33	при этом	31	52
34	как и	15	51
35	что и	3	50
36	а не	27	50
37	что это	4	49
38	сказать что	5	46
39	по себе	4	46
40	только в	23	46
41	в сущности	2	46
42	к тому	13	45
43	в искусстве	1	45
44	не в	12	45
45	ясно что	2	43
46	в этой	8	43
47	никогда не	8	42
48	и все	7	42
49	вместе с	3	41
50	как это	7	40
51	но и	39	40
52	с и	1	40
53	как раз	9	39
54	того что	7	39
55	же самое	3	38
56	т п	2	38
57	что искусство	1	37
58	и как	4	36
59	с тем	1	35
60	вовсе не	2	34
61	как на	2	34
62	и его	12	34
63	тому что	4	33
64	все же	10	33
65	что все	1	33
66	когда он	1	33
67	в себе	14	32
68	все это	1	32
69	он не	8	31
70	мы не	5	31
71	в его	12	31
72	для нас	2	31
73	в ней	5	31
74	мы увидим	1	30
75	как будто	4	30
76	никак не	5	30
77	как в	9	30
78	с одной	5	29
79	и для	4	29
80	одной стороны	5	29
81	с точки	2	29
82	в нем	9	29
83	что они	1	28
84	и когда	3	28
85	мы можем	2	28
86	и то	3	28
87	что мы	2	28
88	в своих	2	27
89	в основе	1	27
90	и на	5	27
91	а в	19	27
92	с другой	6	27
93	так что	1	26
94	совершенно не	1	26
95	только что	4	25
96	и здесь	3	25
97	жизни и	7	25
98	до сих	3	24
99	с таким	1	24
100	до конца	2	24
101	тем что	1	24
102	художественное произведение	1	24
103	сущности говоря	1	24
104	указывает на	1	24
105	и совершенно	1	24
106	в целом	5	24
107	в своем	7	23
108	сих пор	3	23
109	один из	8	23
110	целый ряд	1	23
111	для этого	1	23
112	могут быть	1	23
113	казалось бы	2	22
114	с этим	1	22
115	из них	4	22
116	что у	6	22
117	между тем	5	22
118	и даже	4	22
119	всякий раз	2	22
120	т д	1	22
121	как она	2	22
122	в котором	3	21
123	в двух	2	21
124	в которых	1	21
125	той же	2	21
126	в своей	8	21
127	ни в	1	21
128	в конце	4	21
129	что эта	1	21
130	как мы	3	21
131	и вот	2	21
132	и только	2	21
133	другой стороны	2	20
134	в то	9	20
135	тот же	1	20
136	мы имеем	6	20
137	она не	2	20
138	дело с	4	20
139	несмотря на	1	20
140	на этом	1	20
141	там где	1	20
142	это не	6	20
143	все эти	3	20
144	в одном	5	19
145	что при	1	19
146	мы уже	1	19
147	в какой	2	19
148	мы должны	1	19
149	в ее	4	19
150	у него	13	19
151	он говорит	1	19
152	с этой	3	18
153	в которой	2	18
154	можно было	2	18
155	но в	10	18
156	зависимости от	3	18
157	в каком	1	18
158	вслед за	4	18
159	что с	2	18
160	на самом	1	18
161	но не	7	18
162	действующих лиц	8	18
163	и есть	1	18
164	перед нами	9	18
165	в виду	2	17
166	во всяком	2	17
167	полагает что	1	17
168	иначе говоря	14	17
169	время как	1	17
170	что для	1	17
171	из этих	6	17
172	но это	2	17
173	одна из	5	17
174	только не	2	17
175	у нас	4	17
176	и о	4	17
177	и к	7	16
178	из которых	1	16
179	к этому	2	16
180	в психологии	1	16
181	та же	2	16
182	сводится к	10	16
183	обратиться к	2	16
184	говорит о	3	16
185	в таком	4	16
186	же как	2	16
187	совершенно прав	1	16
188	и тем	9	16
189	не имеет	3	16
190	так и	12	16
191	тому как	4	16
192	в результате	4	15
193	этого рассказа	1	15
194	только на	4	15
195	что именно	2	15
196	во всех	2	15
197	как говорит	1	15
198	могли бы	1	15
199	не могут	1	15
200	и так	1	15
201	о котором	4	15
202	и потому	2	15
203	в зависимости	3	15
204	не просто	2	15
205	которых мы	1	15
206	утверждает что	2	15
207	далеко не	6	15
208	еще не	6	15
209	для него	8	15
210	в частности	23	15
211	не можем	2	15
212	хотя бы	4	14
213	но он	2	14
214	очевидно что	1	14
215	главным образом	1	14
