N	3gram	Tiupa_Teor	StatiiOP
1	в том что	10	47
2	о том что	1	29
3	для того чтобы	5	19
4	с точки зрения	3	14
5	с другой стороны	6	13
6	не может быть	5	11
7	в самом деле	2	9
8	то же время	8	9
9	в то же	8	9
10	дело в том	1	9
11	тем не менее	3	8
12	к тому что	2	8
13	в данном случае	5	7
14	в данном отношении	1	7
15	заключается в том	1	7
16	в то время	1	7
17	том что он	2	7
18	так же как	1	6
19	по отношению к	10	6
20	в этом смысле	3	6
21	том что в	1	6
22	не только не	2	6
23	я думаю что	1	6
24	речь идет о	1	6
25	по крайней мере	1	6
26	что он не	1	5
27	как раз в	1	5
28	в одной из	1	5
29	в свое время	1	5
30	мере в какой	1	4
31	в статье о	1	4
32	дело не в	1	4
33	обращает на себя	1	4
34	так или иначе	5	4
35	с одной стороны	3	4
36	тем или иным	2	4
37	в связи с	3	4
38	того или иного	6	4
39	и в самом	2	4
40	иметь в виду	1	4
41	на вопрос о	1	4
42	говорит что он	1	4
43	на себя внимание	1	3
44	может быть это	1	3
45	в той мере	1	3
46	из этих двух	1	3
47	себе отчет в	1	3
48	можно сказать что	3	3
49	то или иное	1	3
50	в том числе	3	3
51	той мере в	1	3
52	более или менее	6	3
53	а с другой	2	3
54	к тому же	1	3
55	бы то ни	2	3
56	и тем же	1	3
57	в известном смысле	2	3
58	состоит в том	6	3
59	одним и тем	1	3
60	в лучшем случае	1	3
61	в значительной степени	2	3
62	в этом случае	1	3
63	в первую очередь	1	3
64	в русской литературе	2	3
65	может быть назван	1	2
66	в сочетании с	2	2
67	в русской поэзии	2	2
68	в той или	1	2
69	в том-то и	1	2
70	в иных случаях	1	2
71	а между тем	1	2
72	а а а	1	2
73	в первой строфе	4	2
74	в зависимости от	1	2
75	том числе и	2	2
76	точно так же	1	2
77	и в то	2	2
78	в отличие от	7	2
79	то ни было	2	2
80	том что она	1	2
81	то же самое	1	2
82	века и в	1	2
83	в евгении онегине	1	2
84	в свою очередь	3	2
85	но он не	2	2
86	и др в	1	2
87	той или иной	3	2
88	вследствие того что	1	2
89	и который в	1	2
90	не могли быть	1	2
91	он не только	1	2
92	по большей части	2	2
93	в целом ряде	1	2
94	в настоящее время	1	2
95	с которыми он	1	2
96	но в то	2	2
97	по тем или	1	2
98	мы имеем в	3	2
99	имеем дело с	1	2
100	как и в	2	2
101	может быть и	2	2
102	а а и	1	1
103	и со всеми	1	1
104	в этой системе	2	1
105	принадлежат к числу	1	1
106	в безударном положении	1	1
107	не дай мне	1	1
108	к одному из	1	1
109	в известной степени	1	1
110	в большинстве случаев	1	1
111	вопрос что такое	1	1
112	в самом начале	2	1
113	чтобы именно в	1	1
114	мне бог сойти	1	1
115	значении этого термина	1	1
116	мы говорим о	1	1
117	одной из своих	1	1
118	или иной мере	1	1
119	в том и	1	1
120	с этой точки	2	1
121	отдает себе отчет	1	1
122	сойти с ума	1	1
123	а в том	1	1
124	бог сойти с	1	1
125	на котором он	1	1
126	друг от друга	1	1
127	и то же	2	1
128	но у нас	1	1
129	так что она	1	1
130	при этом и	1	1
131	в том случае	1	1
132	и не могла	1	1
133	следует подчеркнуть что	1	1
134	в отношении к	2	1
135	в соответствии с	2	1
136	по ту сторону	1	1
137	не было и	1	1
138	как в драме	1	1
139	не могло быть	2	1
140	можно сказать не	1	1
141	каждой из них	1	1
142	и по отношению	1	1
143	остаться самим собой	1	1
144	к особенностям его	1	1
145	текста как и	1	1
146	является одним из	1	1
147	все же оно	1	1
148	своем отношении к	1	1
149	только то что	1	1
150	на этом пути	1	1
151	имея в виду	1	1
152	искусства и что	1	1
153	ведь это не	1	1
154	второй половины xviii	1	1
155	а иной раз	1	1
156	мы имеем дело	2	1
157	на вопрос что	1	1
158	если читатель не	1	1
159	между тем в	1	1
160	и потому что	1	1
161	каждая из этих	1	1
162	даже сказать что	1	1
163	а а в	1	1
164	форма в которой	1	1
165	в жизненном поведении	1	1
166	они ни были	1	1
167	к вопросу о	1	1
168	в последние десятилетия	1	1
169	в литературных произведениях	1	1
170	этой точки зрения	2	1
171	ту или иную	2	1
172	отчет в том	1	1
173	но дело в	1	1
174	не все что	1	1
175	в стилистическом отношении	2	1
176	связи с этим	1	1
177	с легкой руки	2	1
178	речь идет не	1	1
179	дай мне бог	1	1
180	относится не только	1	1
181	не только к	1	1
182	для него не	1	1
183	и в частности	1	1
184	приводит к тому	2	1
185	именно в этом	1	1
186	одно и то	2	1
187	содержит в себе	1	1
188	прежде всего к	1	1
189	языка не может	1	1
190	однако и в	1	1
191	это уже не	1	1
192	можно даже сказать	1	1
193	бы они ни	1	1
194	в поле зрения	1	1
195	же время оно	1	1
196	не могут быть	2	1
197	не может сомневаться	1	1
198	с предельной ясностью	1	1
199	что несмотря на	1	1
200	думаю что в	1	1
201	как это делает	1	1
202	я никогда не	1	1
203	в таких случаях	1	1
204	имеем перед собой	1	1
205	в виду что	1	1
206	тот или иной	3	1
