N	2gram	Trubetskoy	Analitik
1	не только	9	71
2	тогда как	2	67
3	и в	14	66
4	в качестве	3	61
5	но и	10	57
6	в том	17	52
7	может быть	9	52
8	в этом	17	51
9	в частности	2	51
10	как и	4	50
11	и не	19	48
12	а не	2	42
13	при этом	5	40
14	том что	9	40
15	то есть	1	35
16	так и	1	35
17	в мире	4	31
18	состоит в	2	30
19	отнюдь не	7	29
20	как бы	4	29
21	не может	22	29
22	а в	5	28
23	в его	4	27
24	не в	4	26
25	но не	4	26
26	в себе	9	24
27	иначе говоря	1	23
28	что в	4	22
29	и даже	2	22
30	к тому	7	22
31	в этой	4	22
32	лишь в	3	21
33	о том	7	20
34	в самом	3	19
35	то же	11	19
36	в своей	5	19
37	по отношению	2	19
38	но в	2	19
39	в данном	7	18
40	в то	10	18
41	отношению к	1	18
42	тем самым	2	17
43	с другой	1	17
44	только в	5	17
45	со стороны	4	17
46	или иной	5	17
47	что и	3	16
48	могут быть	1	16
49	то что	13	16
50	и на	5	15
51	не есть	3	15
52	между тем	5	15
53	уже не	2	15
54	прежде всего	8	15
55	в сущности	1	15
56	в их	4	15
57	в принципе	1	14
58	не менее	1	14
59	того же	1	14
60	себя в	4	14
61	в себя	1	14
62	той или	3	14
63	же время	10	14
64	данном случае	3	14
65	столь же	1	14
66	по себе	2	13
67	точки зрения	11	13
68	тому же	1	13
69	он не	5	13
70	этого слова	1	13
71	для него	6	13
72	в начале	2	13
73	и к	6	12
74	никогда не	5	12
75	как это	1	12
76	сводится к	3	12
77	еще не	3	12
78	есть не	1	12
79	даже в	1	11
80	по своей	1	11
81	в свою	1	11
82	это не	1	11
83	можно сказать	1	11
84	и как	3	11
85	не следует	1	11
86	именно в	3	10
87	все же	4	10
88	в конце	3	10
89	было бы	5	10
90	отношения к	2	10
91	со своей	1	10
92	того или	2	10
93	один из	1	10
94	на себя	2	10
95	говорить о	3	9
96	не столько	1	9
97	в результате	2	9
98	и того	1	9
99	свою очередь	1	9
100	том чтобы	3	9
101	в своем	6	9
102	крайней мере	1	9
103	таким образом	11	9
104	во всех	5	9
105	или иного	2	9
106	только не	1	9
107	вместе с	4	9
108	по крайней	1	9
109	того что	3	9
110	что касается	1	9
111	роль в	1	8
112	не всегда	1	8
113	одной из	3	8
114	в сторону	1	8
115	с ним	2	8
116	если бы	6	8
117	и все	1	8
118	что он	6	8
119	перед нами	1	8
120	не является	1	8
121	в основе	1	8
122	с точки	9	8
123	этом отношении	1	8
124	одного из	1	8
125	во всяком	9	7
126	в другом	3	7
127	как мы	1	7
128	одна из	3	7
129	несмотря на	3	7
130	в ее	1	7
131	у него	2	7
132	в таком	2	7
133	личности и	1	7
134	и тем	2	7
135	и является	2	7
136	приводит к	4	7
137	в глазах	2	7
138	всяком случае	6	7
139	и для	6	7
140	жизни но	1	7
141	все это	6	7
142	на его	1	7
143	и т.д	4	7
144	себя и	5	7
145	место в	2	7
146	как будто	2	7
147	иное как	1	7
148	во всем	4	6
149	для всех	6	6
150	с самим	2	6
151	те же	1	6
152	или в	3	6
153	казалось бы	1	6
154	одного и	1	6
155	хотя бы	5	6
156	превращается в	1	6
157	вовсе не	1	6
158	из них	3	6
159	то в	3	6
160	тем не	1	6
161	что не	1	6
162	однако при	1	6
163	вопроса о	1	6
164	о себе	1	6
165	не будет	7	6
166	могла бы	1	6
167	в силу	2	6
168	в нем	5	6
169	он был	1	6
170	если в	6	6
171	из которых	5	6
172	самим собой	12	6
173	от своего	1	6
174	вследствие этого	1	6
175	и более	2	6
176	и состоит	2	6
177	из этих	3	6
178	в сознании	3	6
179	и то	4	6
180	должен быть	1	6
181	его в	4	6
182	тем более	1	6
183	полной мере	1	6
184	в полной	1	6
185	что на	1	6
186	все что	4	5
187	которая в	1	5
188	не так	2	5
189	в состав	1	5
190	в этих	2	5
191	по пути	1	5
192	мысль о	1	5
193	тем что	3	5
194	в один	1	5
195	речь идет	2	5
196	в котором	2	5
197	входит в	1	5
198	для того	6	5
199	для себя	2	5
200	к этому	1	5
201	проявляется в	2	5
202	с другими	1	5
203	ни в	2	5
204	не о	2	5
205	того и	1	5
206	но как	1	5
207	а с	2	5
208	так что	2	5
209	и по	3	5
210	и потому	3	5
211	с ее	1	5
212	не могут	4	5
213	самом деле	7	5
214	с таким	1	5
215	к его	1	5
216	жизни в	5	5
217	да и	3	5
218	еще и	1	5
219	совершенно не	2	5
220	этом случае	3	5
221	мы не	1	5
222	в общем	1	5
223	все эти	2	5
224	путь к	4	5
225	человека к	1	5
226	и их	1	5
227	такой же	1	5
228	таким же	3	5
229	однако и	1	4
230	связь с	1	4
231	в своих	6	4
232	в борьбе	2	4
233	к самому	1	4
234	в собственном	1	4
235	что по	1	4
236	отличается от	2	4
237	с этим	2	4
238	не должен	2	4
239	только на	2	4
240	для данного	1	4
241	значительной степени	1	4
242	что же	4	4
243	известной степени	1	4
244	на него	1	4
245	лишь при	5	4
246	к нему	2	4
247	ни было	1	4
248	не было	3	4
