N	2gram	Nazirov_Vr	formyVre
1	и в	8	148
2	в этом	8	73
3	в романе	6	58
4	в нем	6	51
5	прежде всего	1	46
6	и не	5	37
7	в его	3	36
8	и его	3	36
9	но и	7	33
10	то же	5	32
11	не только	9	32
12	в литературе	1	32
13	но в	6	31
14	жизни и	1	31
15	так и	1	29
16	может быть	4	27
17	как и	6	25
18	как бы	4	25
19	точки зрения	2	24
20	в то	5	23
21	человека в	3	23
22	в том	3	22
23	то что	7	22
24	связи с	3	21
25	во всех	1	21
26	же время	5	21
27	в своем	3	19
28	в основном	1	19
29	таким образом	2	18
30	у него	5	18
31	и все	7	18
32	еще не	2	18
33	при этом	4	17
34	с этим	1	17
35	в особенности	1	17
36	человека и	1	17
37	все же	6	16
38	в условиях	1	16
39	в связи	3	16
40	того же	1	16
41	и во	3	16
42	и их	1	16
43	не может	2	16
44	в одном	1	15
45	в них	2	15
46	никогда не	2	15
47	с точки	2	15
48	с его	3	15
49	вместе с	2	15
50	и как	3	14
51	и с	6	14
52	так же	4	14
53	в конце	3	14
54	его жизни	1	14
55	всех этих	1	14
56	как раз	2	14
57	все это	4	14
58	в самом	1	13
59	в котором	6	13
60	во время	2	13
61	с ним	4	13
62	как в	1	13
63	роль в	1	13
64	в их	1	13
65	в частности	1	13
66	а в	2	13
67	же в	2	13
68	не было	5	12
69	он не	3	12
70	отнюдь не	2	12
71	что в	7	12
72	это время	1	12
73	потому что	1	12
74	в истории	4	12
75	ничего не	1	12
76	но не	1	12
77	и наконец	1	12
78	из них	2	11
79	хотя и	1	11
80	его в	3	11
81	и у	3	11
82	романа в	1	11
83	уже в	4	11
84	в ней	4	11
85	уже не	2	10
86	в ее	1	10
87	сих пор	1	10
88	также и	1	10
89	до сих	1	10
90	на основе	2	10
91	и даже	6	9
92	их в	2	9
93	с другой	1	9
94	наряду с	3	9
95	к себе	2	9
96	и это	2	9
97	могут быть	1	9
98	отношения к	2	9
99	том что	3	9
100	для него	2	9
101	жизнь и	1	9
102	одного и	1	9
103	в виду	4	8
104	в этих	1	8
105	в этот	3	8
106	и т.п	2	8
107	рядом с	2	8
108	в мире	2	8
109	в роман	2	8
110	один из	1	8
111	в жизни	1	8
112	до конца	1	8
113	и то	2	8
114	во всяком	1	8
115	это не	4	8
116	а также	2	8
117	отношение к	2	8
118	в целом	1	8
119	в той	2	7
120	для всех	1	7
121	еще более	1	7
122	этого типа	1	7
123	к ним	2	7
124	к этому	3	7
125	в себе	2	7
126	но он	3	7
127	в форме	1	7
128	с ее	1	7
129	героев и	1	7
130	в процессе	1	7
131	и он	2	7
132	то время	1	7
133	нет ничего	1	7
134	было бы	1	7
135	не могло	1	7
136	в эпизоде	1	7
137	том же	2	7
138	того что	1	7
139	этот процесс	1	7
140	этом отношении	1	7
141	этого романа	1	7
142	место в	2	7
143	все что	1	6
