N	2gram	Trubetskoy	BTomashe
1	у нас	3	3
2	лучше и	3	2
3	все это	13	2
4	в ней	3	2
5	можно было	1	2
6	не то	3	2
7	больше чем	1	2
8	и не	9	2
9	вопрос о	3	1
10	говорить о	2	1
11	о них	2	1
12	не только	10	1
13	всего в	1	1
14	таким образом	34	1
15	не было	2	1
16	прежде всего	3	1
17	и в	24	1
18	на самом	7	1
19	так и	10	1
20	на которой	1	1
21	в своей	1	1
22	во всяком	2	1
23	и потому	3	1
24	же не	3	1
25	по крайней	1	1
26	с другой	6	1
27	как будто	5	1
28	точке зрения	1	1
29	совершенно не	4	1
30	другой стороны	5	1
31	крайней мере	1	1
32	всяком случае	2	1
33	кроме того	1	1
34	было бы	3	1
35	стоит на	1	1
36	не следует	2	1
37	точно и	1	1
38	и ее	2	1
39	в значительной	1	1
40	в данном	3	1
41	более что	1	1
42	должна быть	6	1
43	в области	4	1
44	является только	1	1
45	далеко не	5	1
46	тем более	3	1
47	не вполне	3	1
48	и более	2	1
49	что все	5	1
50	нельзя не	1	1
51	никак не	1	1
52	будто бы	1	1
53	а не	1	1
54	отнюдь не	2	1
55	до конца	1	1
56	сейчас в	1	1
57	и на	6	1
58	между ними	2	1
59	свою книгу	1	1
60	еще не	6	1
61	нет но	1	1
62	лучшим из	1	1
63	к ней	1	1
64	все же	15	1
65	работу по	1	1
66	что в	9	1
67	меньше чем	2	1
