N	3gram	Losev_Prob	DiskursI
1	в том что	17	28
2	в отличие от	2	26
3	с одной стороны	2	14
4	не может быть	5	12
5	в данном случае	12	12
6	той или иной	16	10
7	о том что	8	9
8	в то же	10	8
9	как и в	2	7
10	и все же	1	7
11	так и в	2	6
12	к тому же	1	6
13	по крайней мере	9	6
14	с точки зрения	9	6
15	в основе своей	1	6
16	одной стороны и	1	5
17	и как бы	2	5
18	но при этом	1	5
19	то же самое	17	5
20	с другой стороны	11	5
21	в первую очередь	3	5
22	и может быть	2	5
23	что же касается	5	5
24	дело в том	4	5
25	не только в	2	5
26	подобно тому как	2	5
27	тем не менее	23	4
28	можно сказать что	2	4
29	сказать и о	2	4
30	одного и того	1	4
31	и прежде всего	3	4
32	же самое можно	2	4
33	по сути дела	1	4
34	и того же	1	4
35	и не может	1	4
36	в свое время	1	4
37	в этом случае	8	4
38	тот или иной	4	4
39	самое можно сказать	1	4
40	как будто бы	7	3
41	в том числе	1	3
42	в своей основе	1	3
43	при этом в	1	3
44	более или менее	2	3
45	и то же	5	3
46	того или иного	5	3
47	том числе и	1	3
48	далеко еще не	1	3
49	которая может быть	1	3
50	на первый взгляд	3	3
51	а не в	1	3
52	мы имеем дело	2	3
53	то есть в	5	3
54	не говоря уже	1	3
55	и в частности	4	3
56	одно и то	4	3
57	содержит в себе	13	3
58	в себе не	1	3
59	во всяком случае	8	3
60	бы то ни	5	2
61	но здесь это	1	2
62	точка зрения на	1	2
63	я не знаю	1	2
64	о чем не	1	2
65	сами по себе	8	2
66	хотя и в	1	2
67	ни о чем	1	2
68	речь идет о	1	2
69	и в то	2	2
70	по себе не	1	2
71	а в том	1	2
72	то ни было	4	2
73	в целом и	1	2
74	значении этого слова	1	2
75	точки зрения на	1	2
76	в новое время	1	2
77	не то чтобы	1	2
78	в том и	1	2
79	и тем же	1	2
80	то что и	1	2
81	вольно или невольно	1	2
82	но и в	2	2
83	в том чтобы	1	2
84	я на дорогу	1	2
85	и в басне	1	2
86	только то что	4	2
87	здесь как и	1	2
88	все же не	1	2
89	времени и пространства	1	2
90	только в том	2	2
91	и той же	1	2
92	с той или	5	2
93	одним и тем	1	2
94	один я на	1	2
95	чего не было	1	2
96	как мы видели	2	2
97	одной и той	1	2
98	но отнюдь не	2	2
99	и то что	8	2
100	совмещает в себе	1	2
101	тех случаях когда	1	2
102	тем что он	1	2
103	у пушкина и	2	2
104	легко может быть	1	2
105	в тех случаях	1	2
106	и не только	1	2
107	обратить внимание на	2	2
108	выхожу один я	1	2
109	что он не	2	1
110	тем самым он	1	1
111	благодаря тому что	1	1
112	в той или	7	1
113	как и во	1	1
114	только при наличии	1	1
115	тем более не	2	1
116	имеет в виду	1	1
117	в себе в	2	1
118	и тем самым	3	1
119	в литературе и	1	1
120	о том как	4	1
121	модель художественного произведения	2	1
122	отнюдь не является	3	1
123	как и вообще	2	1
124	в чем не	2	1
125	в себе как	1	1
126	это не означает	1	1
127	в этом смысле	5	1
128	по сравнению с	3	1
129	здесь не только	2	1
130	то или иное	3	1
131	для указания на	1	1
132	крайней мере в	1	1
133	или иной мере	3	1
134	хотя бы и	2	1
135	дело не в	4	1
136	в самом деле	1	1
137	в котором он	1	1
138	но оно не	1	1
139	для того чтобы	4	1
140	это не есть	1	1
141	содержащий в себе	1	1
142	зрения на него	1	1
143	в виде вещей	1	1
144	но на этот	1	1
145	друг от друга	3	1
146	свидетельствует о том	1	1
147	этого термина он	1	1
148	обнаруживает себя в	1	1
149	самым он не	1	1
150	отступает на второй	1	1
151	как известного рода	1	1
152	не может существовать	1	1
153	то это не	2	1
154	но это только	1	1
155	в таком случае	7	1
156	себя в нем	1	1
157	во втором случае	1	1
158	так или иначе	2	1
159	сам по себе	10	1
160	до сих пор	4	1
161	тому как мы	1	1
162	зашла речь о	2	1
163	иметь в виду	2	1
164	своей отнюдь не	1	1
165	как и всякий	1	1
166	тех или иных	7	1
167	тому или иному	1	1
168	в том или	2	1
169	даже и в	3	1
170	но также и	2	1
171	что они не	1	1
172	в себе те	1	1
173	есть не что	6	1
174	другой стороны это	1	1
175	как раз и	5	1
176	в связи с	9	1
177	на этот раз	3	1
178	или по крайней	6	1
179	не имеют никакого	2	1
180	вовсе не является	4	1
181	как учение о	1	1
182	но все же	1	1
183	все дело в	1	1
184	но и к	1	1
185	в понятии же	1	1
186	то есть по	1	1
187	и не можем	1	1
188	себя не только	1	1
189	из того что	1	1
190	тут все дело	1	1
191	имея в виду	1	1
192	но это не	1	1
193	и в этом	6	1
194	то есть мы	1	1
195	мы все же	3	1
196	это то что	2	1
197	она еще не	1	1
198	и не к	1	1
199	в евгении онегине	1	1
200	в этих случаях	1	1
201	он не просто	2	1
202	друг друга и	1	1
203	за то что	1	1
204	стрекоза и муравей	1	1
205	и что эту	1	1
206	и потому что	1	1
207	и могут быть	1	1
208	в результате того	1	1
209	вместе с тем	1	1
210	к тому или	1	1
211	равно как и	2	1
212	даже сказать что	1	1
213	еще не есть	4	1
214	также и на	1	1
215	и только в	3	1
216	на то что	2	1
217	требует для себя	1	1
218	заключается в том	5	1
219	имеют дело с	1	1
220	на второй план	1	1
221	том или ином	3	1
222	ту или иную	3	1
223	в себе и	2	1
224	что не только	2	1
225	может быть в	1	1
226	том что вся	2	1
227	сказать что даже	1	1
228	с самим собою	2	1
229	в результате этого	1	1
230	чего бы то	2	1
231	быть и не	1	1
232	того и другого	1	1
233	не является ни	2	1
234	и тем более	4	1
235	но тут же	1	1
236	можно даже сказать	1	1
237	то есть с	2	1
238	актеров на сцене	1	1
239	или иной области	1	1
240	в свернутом виде	1	1
241	связанных между собой	1	1
242	в известном смысле	1	1
243	то есть то	1	1
244	перед нами не	1	1
245	хотя и не	2	1
246	на самом деле	5	1
247	не что иное	6	1
248	в войне и	1	1
249	далеко не все	1	1
250	не менее первый	1	1
251	том что и	1	1
252	не является в	1	1
253	выходящее за рамки	1	1
254	это и не	3	1
255	в этой самой	2	1
256	мы не знаем	2	1
257	можно было бы	6	1
258	но и о	1	1
259	только потому что	3	1
260	и это не	1	1
261	данном случае мы	1	1
262	есть то что	3	1
263	во всех этих	1	1
264	не менее в	3	1
265	прежде всего с	1	1
266	что на этом	1	1
267	том что он	2	1
268	том что всякое	1	1
269	и есть не	1	1
270	выходит за пределы	1	1
271	том что они	1	1
272	войне и мире	1	1
273	это не просто	1	1
274	та или иная	4	1
275	что иное как	6	1
276	не одно и	1	1
277	потому как бы	1	1
278	и читателя но	1	1
279	имеют никакого отношения	2	1
280	это и есть	3	1
281	его в качестве	1	1
282	и потому как	1	1
283	ни в чем	2	1
284	в чистом виде	3	1
285	для того и	1	1
286	в другом случае	2	1
