N	2gram	Vygotskiy_	Istorich
1	и в	33	181
2	может быть	15	115
3	не только	28	114
4	что он	40	111
5	мы имеем	4	102
6	что в	33	90
7	но и	14	85
8	в этом	43	81
9	так как	20	75
10	то что	48	73
11	таким образом	30	72
12	вместе с	9	71
13	и не	18	67
14	мы видим	6	65
15	все же	5	65
16	в этих	7	64
17	еще не	11	63
18	не может	31	61
19	этих случаях	1	60
20	так же	22	57
21	то же	12	56
22	никогда не	10	56
23	в том	44	53
24	том что	41	53
25	а в	5	52
26	с другой	11	52
27	потому что	40	52
28	и что	18	51
29	и здесь	2	51
30	что и	11	51
31	мы видели	10	49
32	а не	14	48
33	о том	13	48
34	связь с	1	47
35	его в	6	47
36	не в	10	47
37	другой стороны	9	46
38	мы должны	13	44
39	но в	9	44
40	это не	8	43
41	и его	6	43
42	мы знаем	5	42
43	в нем	10	42
44	только в	21	42
45	показывает что	9	42
46	как в	7	42
47	представление о	2	41
48	в царство	1	40
49	или в	1	39
50	тем что	12	38
51	и на	11	38
52	в его	15	38
53	для нас	1	38
54	как и	13	37
55	мы уже	4	37
56	он не	13	37
57	так и	8	37
58	знаем что	2	36
59	мы увидим	3	36
60	мы можем	15	36
61	что они	8	35
62	с тем	9	35
63	мы не	6	35
64	здесь мы	1	35
65	все эти	9	35
66	связи с	9	34
67	но не	13	34
68	у него	8	34
69	во время	1	34
70	что это	1	34
71	видим что	3	34
72	представления о	2	33
73	же как	9	33
74	там где	2	33
75	об этом	1	33
76	сих пор	3	32
77	в качестве	13	32
78	один из	4	31
79	прежде всего	5	31
80	то это	2	31
81	представляет собой	11	31
82	ничего не	6	31
83	с этим	9	30
84	с одной	10	30
85	до сих	3	30
86	к нему	4	30
87	при помощи	1	30
88	этом случае	5	29
89	но все	2	29
90	одной стороны	10	29
91	как мы	20	29
92	но это	4	29
93	и другие	13	28
94	что она	3	28
95	и с	7	28
96	например в	1	28
97	так что	8	27
98	могут быть	7	27
99	того что	34	27
100	в ином	3	27
101	как он	7	27
102	как это	11	26
103	и др	1	26
104	представляют собой	4	26
105	предположить что	3	26
106	в ней	2	26
107	вопрос о	15	25
108	и он	3	25
109	не менее	4	24
110	к этому	7	24
111	было бы	18	24
112	раньше чем	8	24
113	того как	6	24
114	в виде	3	24
115	если бы	13	24
116	что мы	11	24
117	их в	3	23
118	как бы	11	23
119	и это	3	23
120	показывают что	1	23
121	тем не	1	23
122	в этой	8	23
123	имеем в	1	23
124	все это	2	23
125	когда он	3	23
126	в частности	9	23
127	и по	5	22
128	с ним	6	22
129	при этом	9	22
130	в другом	7	21
131	в одном	3	21
132	сказать что	18	21
133	совершенно ясно	2	21
134	в связи	6	21
135	связан с	1	21
136	должны были	3	21
137	с появлением	1	21
138	к тому	14	21
139	они не	7	21
140	ее в	3	21
141	это представление	1	21
142	из них	6	20
143	из этих	2	20
144	она не	2	20
145	наряду с	3	20
146	в свете	4	20
147	в других	2	20
148	в силу	14	20
149	видели что	2	20
150	что у	4	19
151	на том	4	19
152	но он	8	19
153	в тех	2	19
154	в другой	1	19
155	не совсем	2	19
156	на то	6	19
157	и как	7	19
158	после того	2	19
159	после этого	1	18
160	в то	5	18
161	что этот	1	18
162	в данном	4	18
163	вовсе не	2	18
164	в них	3	17
165	нас к	6	17
166	и этим	1	17
167	выше мы	1	17
168	том как	3	17
169	то и	2	17
170	по существу	5	17
171	дело не	2	17
172	и только	4	17
173	во всех	3	16
174	этот вопрос	8	16
175	всех этих	1	16
176	и они	1	16
177	то мы	1	16
178	в котором	2	16
179	между двумя	4	16
180	и все	2	16
181	со стороны	3	16
182	перед нами	1	16
183	связана с	2	16
184	даже в	1	15
185	в пределах	6	15
186	увидим что	1	15
187	что при	4	15
188	и то	9	15
189	в своей	5	15
190	в которых	2	15
191	данном случае	3	15
192	его и	4	15
193	и там	1	15
194	трудные задачи	1	15
195	в одной	2	15
196	и эти	2	15
197	как будто	2	15
198	и даже	3	15
199	уже выше	1	15
200	на его	4	15
201	детей в	1	15
202	и тем	5	15
203	он в	3	15
204	друг друга	1	15
205	в целом	8	15
206	с этой	8	14
207	от него	3	14
208	на смену	1	14
209	но мы	7	14
210	по отношению	19	14
211	находится в	2	14
212	можно было	11	14
213	в него	1	14
214	и ее	2	14
215	одной из	5	14
216	на вопрос	7	14
217	у нас	4	14
218	образом мы	2	14
219	его на	2	14
220	должна быть	7	14
221	но они	2	14
222	и есть	8	14
223	из которых	3	14
224	с ней	3	14
225	более ранних	1	14
226	с того	3	14
227	такое же	2	14
228	должен был	3	14
229	отношение к	12	14
230	отношению к	19	14
231	и наконец	3	14
232	или на	2	13
233	в своем	11	13
234	на котором	3	13
235	время как	4	13
236	по себе	8	13
237	то время	4	13
238	тогда как	3	13
239	и для	3	13
240	эти представления	1	13
241	в себе	4	13
242	все что	2	13
243	своего рода	1	13
244	установить что	3	13
245	и у	1	13
246	на этом	8	13
247	в форме	1	13
248	и от	2	13
249	с ними	4	13
250	не имеет	7	13
251	как указано	1	13
252	его не	1	13
253	что иное	2	13
254	таким же	3	13
255	во всем	2	12
256	кроме того	2	12
257	хотя бы	5	12
258	а потом	1	12
259	утверждать что	1	12
260	в основном	2	12
261	ответ на	3	12
262	в их	4	12
263	на более	1	12
264	к ней	1	12
265	к этой	3	12
266	как только	4	12
267	не знает	6	12
268	одним из	4	12
269	что не	2	12
270	представление об	2	12
271	за ним	1	12
272	в более	2	12
273	случаях когда	1	12
274	это происходит	2	12
275	не знаю	1	12
276	и их	4	12
277	в этот	4	11
278	к которому	7	11
279	точки зрения	27	11
280	ясно что	2	11
281	я не	6	11
282	от этого	1	11
283	должны быть	2	11
284	главным образом	1	11
285	связанные с	6	11
286	никто не	2	11
287	иное как	2	11
288	в очень	1	11
289	только с	1	11
290	уже в	4	11
291	на нее	2	11
292	же в	2	11
293	происходит в	3	11
294	по мере	6	11
295	если он	4	11
296	но уже	2	11
297	не что	2	11
298	тех случаях	1	11
299	хотя и	1	11
300	же мы	2	11
301	относится к	3	11
302	дает нам	1	11
303	на которой	1	11
304	и более	8	11
305	этого не	1	11
306	такой же	4	11
307	и к	7	10
308	он видит	1	10
309	не как	3	10
310	к ним	2	10
311	но так	1	10
312	не было	1	10
313	в которой	8	10
314	за собой	4	10
315	а с	3	10
316	и тот	5	10
317	почти всегда	2	10
318	его к	2	10
319	на основе	6	10
320	вслед за	3	10
321	еще один	1	10
322	связанных с	1	10
323	что же	2	10
324	но если	7	10
325	он и	1	10
326	связаны с	1	10
327	и других	7	10
328	о чем	3	10
329	говорит о	4	10
330	их не	1	10
331	начинается с	2	10
332	не должен	1	10
333	в различных	3	10
334	приходит к	6	10
335	как правило	1	10
336	друг с	10	10
337	не мог	1	10
338	себя в	4	10
339	в состоянии	6	10
340	в ее	1	10
341	но как	6	10
342	известно что	2	10
343	ни в	1	10
344	если не	3	10
345	ли он	1	10
346	а если	2	10
347	в точности	1	10
348	он может	5	10
349	а на	1	10
350	указывает на	3	10
351	есть только	1	10
352	что эти	4	10
353	что эта	7	10
354	не можем	2	10
355	более или	1	9
356	и вместе	1	9
357	на первый	2	9
358	не представляет	1	9
359	но эти	1	9
360	только на	3	9
361	том чтобы	3	9
362	она в	1	9
363	но для	3	9
364	в чем	10	9
365	совершенно так	1	9
366	и хотя	2	9
367	тогда когда	10	9
368	в царстве	1	9
369	и так	1	9
370	зависимости от	3	9
371	это и	3	9
372	в течение	1	9
373	в свою	5	9
374	целый ряд	5	9
375	на этот	9	9
376	тот же	7	9
377	он должен	9	9
378	зависит от	4	9
379	из этого	3	9
380	а по	1	9
381	он имеет	6	9
382	в первую	4	9
383	которой он	1	9
384	вот почему	3	9
385	следующим образом	1	9
386	мертвых и	1	9
387	что за	1	9
388	не могут	7	9
389	в себя	4	9
390	а как	1	9
391	означает что	1	9
392	в основе	12	9
393	в истории	3	9
394	с его	3	9
395	из него	3	9
396	ему в	2	9
397	ее за	1	9
398	но по	1	9
399	с другом	10	9
400	или менее	1	9
401	это так	1	9
402	стороны и	3	9
403	стоит в	5	9
404	приводит к	10	9
405	что на	2	9
406	по этому	1	9
407	жизни и	2	9
408	только что	6	8
409	это значит	5	8
410	и сам	1	8
411	именно в	8	8
412	во всяком	4	8
413	он был	1	8
414	они должны	1	8
415	чем это	2	8
416	на другой	1	8
417	приводят к	4	8
418	мы будем	4	8
419	доказывает что	1	8
420	не так	1	8
421	на нем	2	8
422	подобно тому	6	8
423	с целью	1	8
424	из его	2	8
425	только тогда	5	8
426	именно на	1	8
427	у них	1	8
428	независимо от	3	8
429	смысле этого	2	8
430	приводит нас	3	8
431	ту же	5	8
432	и другое	5	8
433	или даже	2	8
434	и потому	3	8
435	значит что	6	8
436	но она	1	8
437	не с	2	8
438	оказывается что	1	8
439	тем самым	13	8
440	но вместе	3	8
441	могло быть	1	8
442	же самое	7	8
443	частный случай	4	8
444	которые в	4	8
445	попадают в	1	8
446	для этого	3	8
447	или по	1	8
448	можно сказать	7	8
449	входит в	1	8
450	а он	1	8
451	в зависимости	2	8
452	можем предположить	1	8
453	что его	2	8
454	в целях	2	8
455	не дает	2	8
456	надо сказать	1	8
457	в современной	3	8
458	это положение	2	8
459	образом и	1	8
460	и из	2	8
461	может оказаться	2	8
462	что такое	6	8
463	предположение что	1	8
464	здесь в	1	8
465	но с	2	8
466	вообще не	5	8
467	не имеют	4	8
468	должен быть	1	8
469	он говорит	3	8
470	тому как	6	8
471	в жизни	2	8
472	от того	8	8
473	не столько	3	7
474	приходит в	2	7
475	и когда	1	7
476	уже и	1	7
477	еще нет	1	7
478	ключ к	1	7
479	этот момент	2	7
480	для объяснения	6	7
481	тому что	14	7
482	не есть	4	7
483	между собой	17	7
484	о которых	2	7
485	здесь и	1	7
486	под влиянием	4	7
487	между тем	5	7
488	над ним	1	7
489	если в	4	7
490	и при	4	7
491	самом деле	9	7
492	к которым	2	7
493	становится ясным	1	7
494	то здесь	1	7
495	состоит в	11	7
496	что оно	9	7
497	он делает	3	7
498	где он	1	7
499	на самом	3	7
500	что ни	1	7
501	образом в	2	7
502	но эта	1	7
503	не по	1	7
504	в начале	2	7
505	еще в	3	7
506	это означает	1	7
507	в области	19	7
508	случае мы	2	7
509	те же	6	7
510	поставить вопрос	1	7
511	как на	4	7
512	это мы	3	7
513	в конце	3	7
514	себе и	1	7
515	а только	8	7
516	того же	13	7
517	когда мы	4	7
518	однако в	1	7
519	не то	5	7
520	можно только	2	7
521	тогда он	1	7
522	совершенно не	5	7
523	то он	1	7
524	тех же	1	7
525	такой случай	1	7
526	того чтобы	26	7
527	если мы	9	7
528	что я	4	7
529	этого слова	3	7
530	всяком случае	2	7
531	для него	9	7
532	а то	1	7
533	как она	3	7
534	свет на	1	7
535	с самого	8	7
536	по которому	1	7
537	в какой	8	7
538	эти формы	1	7
539	составные части	1	7
540	думать что	1	7
541	одного из	1	7
542	и о	1	7
543	эти два	1	7
544	есть не	3	7
545	между ними	5	6
546	но что	6	6
547	не потому	1	6
548	из всего	1	6
549	на эту	1	6
550	не удается	1	6
551	этой связи	1	6
552	дело с	2	6
553	той же	7	6
554	не происходит	1	6
555	все его	1	6
556	как можно	1	6
557	как говорит	2	6
558	если я	4	6
559	они же	2	6
560	чтобы он	1	6
561	доходит до	1	6
