N	4gram	Losev_Dial	Freidism
1	в то же время	7	6
2	мы можем сказать что	3	5
3	ни в чем не	1	4
4	одной и той же	1	3
5	но в то же	1	3
6	в том что она	1	2
7	в том что он	1	2
8	то что мы называем	1	2
9	и тем не менее	1	2
10	на самом же деле	2	2
11	говорить о том что	1	2
12	ни в каком случае	5	2
13	еще одно очень важное	1	1
14	оно не есть только	1	1
15	или по крайней мере	2	1
16	все больше и больше	1	1
17	ни в коем случае	1	1
18	и во многих отношениях	1	1
19	и в голову не	1	1
20	в жизни и в	1	1
21	– одна из основных	1	1
22	в этом отношении совершенно	1	1
23	одно и то же	8	1
24	мы уже знаем что	2	1
25	в коем случае не	1	1
26	и ни в какой	1	1
27	не нуждается ни в	1	1
28	дело в том что	1	1
29	в каком случае нельзя	1	1
30	до сих пор не	1	1
31	в каком случае не	3	1
32	не что иное как	4	1
33	и в то же	3	1
34	что же это за	1	1
35	есть не что иное	3	1
