N	3gram	Bakhtin_KF	Dialekti
1	с точки зрения	10	46
2	в том что	2	25
3	ни в каком	2	18
4	не может быть	11	18
5	тем не менее	2	16
6	само по себе	1	16
7	то же время	2	15
8	в то же	2	14
9	только тогда когда	1	13
10	ровно ничего не	1	12
11	на то что	1	11
12	той или другой	1	10
13	и в этом	3	9
14	вовсе не есть	2	9
15	то или иное	2	9
16	не есть просто	1	9
17	это и есть	1	9
18	не значит что	1	8
19	а не просто	1	8
20	и та же	2	8
21	одна и та	2	8
22	в этом смысле	3	8
23	не в том	1	7
24	той или иной	2	7
25	не потому что	1	7
26	для того чтобы	1	6
27	в зависимости от	1	6
28	и в то	1	6
29	во всяком случае	1	6
30	может быть и	1	6
31	на самом деле	3	5
32	это не есть	3	5
33	в нем нет	1	5
34	и тем не	1	5
35	к тому что	1	5
36	в том смысле	1	5
37	до сих пор	1	5
38	это не значит	1	4
39	по себе а	1	4
40	ни в чем	4	4
41	может быть только	7	4
42	не может не	1	4
43	то же самое	1	4
44	я не могу	1	4
45	но это не	1	4
46	равно как и	1	4
47	и может быть	2	4
48	может быть в	3	4
49	и ни в	2	4
50	самого по себе	1	4
51	ясно что это	1	4
52	как бы ни	1	4
53	пространства и времени	1	4
54	но только не	1	4
55	и как бы	1	3
56	ничего общего не	2	3
57	несмотря на то	1	3
58	он не может	1	3
59	когда мы говорим	1	3
60	мир как целое	1	3
61	совершенно не зависит	1	3
62	и говорить о	1	3
63	бы то ни	2	3
64	того или иного	3	3
65	ту или иную	1	3
66	в данный момент	3	3
67	то что я	2	3
68	не было бы	3	3
69	не было ни	1	3
70	но в то	1	3
71	и в нем	2	3
72	лежит в основе	1	3
73	но все эти	3	2
74	для меня это	1	2
75	бы и не	2	2
76	это значило бы	2	2
77	не содержит в	1	2
78	времени и пространства	1	2
79	хотя бы и	1	2
80	дело не в	1	2
81	ничем не отличаются	1	2
82	тогда когда оно	1	2
83	а с точки	1	2
84	в этом его	2	2
85	в нем не	1	2
86	и пр и	1	2
87	мы живем и	1	2
88	не отличаются от	1	2
89	мы никогда не	1	2
90	это нисколько не	1	2
91	отношении к нему	1	2
92	в чем не	4	2
93	не было и	1	2
94	при этом условии	1	2
95	хотя бы только	1	2
96	не менее в	1	2
97	это-то и есть	1	2
98	мы будем говорить	1	2
99	и не быть	2	2
100	и это нисколько	1	2
101	смысле не есть	1	2
102	а именно в	1	2
103	в свою очередь	1	2
104	к чему не	2	2
105	мы не имеем	1	2
106	это может быть	1	2
107	это не имеет	1	2
108	и не в	1	2
109	как это было	1	2
110	было ни в	1	2
111	мы не можем	1	2
112	свой смысл и	1	2
113	но все это	1	2
114	ли это что	1	2
115	дело в том	1	2
116	не должно быть	1	2
117	это и не	1	2
118	в лучшем случае	1	2
119	вопрос о том	2	2
120	значит ли это	1	2
121	и то что	1	2
122	не зависит от	1	2
123	на своем месте	2	2
124	значило бы что	1	2
125	никогда не может	1	2
126	ни к чему	2	2
127	в нем и	3	2
128	что и в	1	2
129	я могу быть	1	2
130	как одно из	1	1
131	для которой все	2	1
132	в этот момент	1	1
133	мы говорим о	2	1
134	чего не было	1	1
135	котором мы живем	1	1
136	в то или	1	1
137	это уже не	1	1
138	ясно что мир	1	1
139	сознание но и	1	1
140	и всех категорий	1	1
141	на задний план	1	1
142	и во всех	1	1
143	в искусстве в	1	1
144	уже не в	1	1
145	не в этом	1	1
146	не значит еще	1	1
147	что это можно	1	1
148	и его самого	1	1
149	отсюда следует что	1	1
150	чему не обязывает	1	1
151	и должен быть	1	1
152	он вступает в	1	1
153	в себе момент	1	1
154	ничего не знаю	1	1
155	с ним в	1	1
156	бы не было	1	1
157	потому что в	1	1
158	жизнь не может	1	1
159	отношения к ним	1	1
160	для себя и	1	1
161	в котором действительно	1	1
162	не нужен в	1	1
163	а скорее наоборот	1	1
164	если бы я	1	1
165	момент во всем	1	1
166	или бессознательно и	1	1
167	и пр все	1	1
168	все это суть	2	1
169	в нем нельзя	2	1
170	он не имеет	1	1
171	в том случае	1	1
172	с тем или	1	1
173	а все остальное	1	1
174	бы оно было	1	1
175	пространство и время	1	1
176	в первом случае	1	1
177	о том кто	1	1
178	но может быть	1	1
179	и прошлое и	1	1
180	не имеет определенного	1	1
181	утверждение себя в	1	1
182	не о том	1	1
183	в этом мире	1	1
184	независимо от того	1	1
185	но не потому	1	1
186	со всем его	1	1
187	этот акт в	1	1
188	совершенно иной чем	1	1
189	не имеет смысла	1	1
190	никогда не сможет	1	1
191	не станет утверждать	1	1
192	лежащий в основе	1	1
193	то ни было	2	1
194	в нем я	2	1
195	возможна только в	1	1
196	того что в	1	1
197	в виду и	1	1
198	и вопрос о	1	1
199	и всякий другой	1	1
200	в конечном счете	1	1
201	если он не	1	1
202	она и может	1	1
203	то прежде всего	1	1
204	его жизни в	1	1
205	рождение и смерть	1	1
206	нужно думать что	1	1
207	она не дана	1	1
208	из себя не	1	1
209	конечно это не	1	1
210	сих пор не	1	1
211	еще не значит	1	1
212	всякого другого и	1	1
213	не есть для	1	1
214	но прежде всего	1	1
215	вместе с тем	1	1
216	признать что в	1	1
217	а не в	2	1
218	тем самым уже	1	1
219	не выходит из	1	1
220	ни о каких	1	1
221	я заговорил о	1	1
222	в сознании в	1	1
223	во всем его	2	1
224	а не как	1	1
225	обе стороны в	1	1
226	на первом плане	2	1
227	нет и как	1	1
228	имеем в виду	2	1
229	из нее это	1	1
230	и именно в	1	1
231	и познания и	1	1
232	это можно сделать	1	1
233	вовсе не значит	2	1
234	что тем самым	1	1
235	друг против друга	1	1
236	а следовательно и	1	1
237	только в том	1	1
238	в корне искажает	1	1
239	оба эти момента	2	1
240	для нее и	1	1
241	бытия должно быть	1	1
242	и пространства и	1	1
243	в целом есть	1	1
244	во всех своих	3	1
245	в себя и	1	1
246	и не должен	1	1
247	зависит от того	1	1
248	можно сказать только	1	1
249	только так она	1	1
250	уже не может	2	1
251	со всех сторон	1	1
252	как и на	1	1
253	общего не имеет	1	1
254	там где есть	1	1
255	включает в себя	2	1
256	бы ни была	1	1
257	то все же	1	1
258	же с точки	1	1
259	такова же и	1	1
260	и этот момент	1	1
261	жизни и смерти	1	1
262	в самом своем	1	1
263	точки зрения той	1	1
264	отсюда ясно что	1	1
265	и в своей	3	1
266	отнюдь еще не	1	1
267	и в котором	1	1
268	во всех этих	2	1
269	в основе самого	1	1
270	мир в котором	7	1
271	во всей его	2	1
272	при всех своих	1	1
273	мы имеем не	1	1
274	не содержится в	1	1
275	с ним и	1	1
276	в каком плане	1	1
277	только к тому	1	1
278	к определенной цели	1	1
279	в котором мы	3	1
280	будет ли она	1	1
281	она может быть	1	1
282	было бы совершенно	1	1
283	отнюдь не вытекает	1	1
284	от себя и	1	1
285	зрения той или	1	1
286	не нужно думать	1	1
287	все эти бесконечные	1	1
288	в другом случае	1	1
289	в основе своей	1	1
