N	4gram	Bakhtin_Pr	Myslijsy
1	по мере того как	1	14
2	в то же время	8	13
3	но тем не менее	1	10
4	одной и той же	1	7
5	одно и то же	1	7
6	один и тот же	1	4
7	не что иное как	1	4
8	все более и более	1	4
9	дело в том что	2	4
10	одним и тем же	1	4
11	к одной и той	1	3
12	и до сих пор	2	2
13	состоит в том что	1	2
14	но дело в том	1	2
15	с точки зрения истории	1	1
16	до сих пор еще	2	1
17	говорим здесь не о	1	1
18	никогда не может стать	1	1
19	как мы уже сказали	2	1
20	в более или менее	1	1
21	нет и не может	3	1
22	а может быть и	1	1
23	можно сказать что в	1	1
24	большинстве случаев вовсе не	1	1
25	по самой своей природе	1	1
26	языка а не его	1	1
27	переходят друг в друга	1	1
28	с другой стороны и	1	1
29	по отношению ко всем	1	1
30	в том что все	1	1
31	чтобы убедиться в этом	1	1
32	не может обойтись без	1	1
33	не в его прямом	1	1
34	мы старались показать что	1	1
35	прежде чем перейти к	1	1
36	в большей или меньшей	5	1
37	и не может быть	5	1
38	здесь как и в	1	1
39	то есть если мы	1	1
40	тем не менее он	1	1
41	бы он ни был	1	1
42	как и во всех	1	1
43	по отношению к ним	1	1
44	в том числе и	13	1
45	как бы он ни	1	1
46	в большинстве случаев вовсе	1	1
47	с точки зрения этого	1	1
48	по отношению к нему	1	1
49	одну и ту же	1	1
50	мы имеем дело с	1	1
51	мы говорим здесь не	1	1
52	есть не что иное	1	1
