N	4gram	Bakhtin_Pr	KulturaY
1	той мере в какой	1	7
2	в той мере в	1	7
3	в то же время	10	6
4	можно было бы сказать	1	6
5	с этой точки зрения	1	5
6	в зависимости от того	1	4
7	одного и того же	1	4
8	можно было бы привести	1	4
9	до сих пор еще	1	4
10	заключается в том что	1	4
11	но для того чтобы	1	3
12	уже само по себе	1	3
13	в том что он	4	3
14	но с другой стороны	2	3
15	не в том что	1	3
16	лишь с точки зрения	1	2
17	в той или иной	2	2
18	а в том что	1	2
19	одной и той же	1	2
20	и в то же	3	2
21	в самом деле в	1	2
22	в том что на	1	2
23	и в том что	1	1
24	само по себе не	1	1
25	в том что так	1	1
26	до самого последнего времени	1	1
27	в зависимости от них	1	1
28	уже с самого начала	1	1
29	не потому что он	1	1
30	дело в том что	1	1
31	по себе еще не	2	1
32	в том что мы	1	1
33	и не может быть	1	1
34	в том отношении что	1	1
35	с другой стороны эта	1	1
36	с точки зрения их	1	1
37	что бы то ни	1	1
38	с точки зрения ее	1	1
39	позицию по отношению к	2	1
40	в то время как	2	1
41	по себе достаточно чтобы	1	1
42	во всяком случае была	1	1
43	можно сказать что для	1	1
44	таким образом несмотря на	1	1
45	в своей книге о	1	1
46	которая как раз и	1	1
47	слова можно говорить об	1	1
48	в нашем смысле в	1	1
49	и не могут быть	1	1
50	здесь уместно еще раз	1	1
51	той или иной степени	2	1
52	в одном из своих	1	1
53	не потому что она	1	1
54	мы имеем в виду	2	1
55	и в том и	1	1
56	еще раз подчеркнуть что	1	1
57	так в особенности и	1	1
58	бы то ни было	2	1
59	и не потому что	2	1
60	бы то ни стало	1	1
61	уместно еще раз подчеркнуть	1	1
62	какой бы то ни	1	1
63	было до сих пор	1	1
64	те же что и	1	1
65	и в этом отношении	2	1
66	только в той мере	1	1
67	во что бы то	1	1
68	ни на минуту не	1	1
69	зависимости от того в	1	1
70	что же это за	1	1
71	а прежде всего в	1	1
