N	3gram	Berdyaev_N	Dialekti
1	это значит что	1	47
2	в том что	1	25
3	не может быть	4	18
4	с другой стороны	2	12
5	о том что	1	12
6	подобно тому как	3	9
7	это и есть	1	9
8	не значит что	3	8
9	в то время	1	8
10	то время как	1	8
11	та или иная	1	8
12	в этом смысле	2	8
13	не в том	1	7
14	сами по себе	1	7
15	только потому что	1	6
16	в зависимости от	1	6
17	во всяком случае	1	6
18	с одной стороны	2	6
19	это не есть	1	5
20	в нем нет	2	5
21	в том смысле	1	5
22	до сих пор	1	5
23	есть прежде всего	1	5
24	что в нем	2	5
25	это не значит	2	4
26	ни в чем	1	4
27	так же как	2	4
28	может быть только	1	4
29	я не могу	1	4
30	я думаю что	1	4
31	но это значит	1	4
32	равно как и	2	4
33	значит что в	2	4
34	можно было бы	1	4
35	не могут быть	1	4
36	как будто бы	1	3
37	он не может	2	3
38	когда мы говорим	2	3
39	это конечно не	1	3
40	и не может	1	3
41	мы говорим что	1	3
42	как и в	1	3
43	не только в	1	3
44	и должно быть	2	3
45	же как и	1	3
46	не существует что	1	2
47	что она не	1	2
48	а не их	1	2
49	в нем не	1	2
50	бытия и небытия	1	2
51	она не может	2	2
52	но для этого	1	2
53	и вместе с	1	2
54	не было и	1	2
55	не в силах	1	2
56	и не в	1	2
57	как это было	1	2
58	религия не может	1	2
59	не должно быть	1	2
60	которые могут быть	1	2
61	вопрос о том	2	2
62	и пр в	1	2
63	мысли и жизни	1	2
64	лишь в том	1	1
65	как я уже	1	1
66	и из них	1	1
67	мы говорим о	1	1
68	в час ночи	1	1
69	в природе но	1	1
70	еще не знает	1	1
71	такой же мере	1	1
72	то что он	1	1
73	и во всех	1	1
74	не менее чем	1	1
75	от бога и	1	1
76	это время как	1	1
77	как ни в	1	1
78	нет у него	1	1
79	не может уже	2	1
80	но я не	1	1
81	час тоски невыразимой	1	1
82	жизнь не может	1	1
83	по природе своей	1	1
84	для себя и	1	1
85	он не имеет	2	1
86	в том случае	1	1
87	истории и не	1	1
88	в такой же	1	1
89	чтобы понять смысл	1	1
90	символы а не	1	1
91	в отличие от	1	1
92	из глубины и	1	1
93	личность в ее	1	1
94	я ни в	1	1
95	и мы не	1	1
96	а не с	1	1
97	оснований думать что	1	1
98	все в мире	1	1
99	имея в виду	1	1
100	и это есть	1	1
101	в том и	2	1
102	не имеет никакой	1	1
103	что все категории	1	1
104	эта символическая природа	1	1
105	вместе с тем	2	1
106	и к ней	1	1
107	а не в	1	1
108	по существу своему	1	1
109	мы приближаемся к	1	1
110	но и в	1	1
111	в том чтобы	1	1
112	но она не	1	1
113	и до сих	1	1
114	в каком-то новом	1	1
115	в основе их	1	1
116	есть такой же	1	1
117	я уже говорил	1	1
118	нет уже никакой	1	1
119	со всех сторон	3	1
120	ни одна из	2	1
121	к жизни и	1	1
122	не заинтересована в	1	1
123	она совсем не	1	1
124	не только потому	1	1
125	который можно назвать	1	1
126	дня и ночи	1	1
127	общества и культуры	1	1
128	но оно есть	1	1
129	в новое время	1	1
130	не та или	1	1
131	том случае если	1	1
132	история так как	1	1
133	что в этом	1	1
134	быть может еще	1	1
135	есть по существу	1	1
136	но это есть	1	1
