N	2gram	Medvedev_V	slovoVRo
1	и в	26	92
2	в романе	4	89
3	и т	25	82
4	т п	9	72
5	то есть	1	64
6	может быть	23	59
7	и его	6	59
8	в нем	7	59
9	и не	20	51
10	не только	26	44
11	не может	17	41
12	но и	10	39
13	в этом	29	36
14	а не	7	34
15	во всех	7	32
16	точки зрения	3	30
17	так и	6	30
18	могут быть	8	29
19	и др	10	29
20	в пределах	5	29
21	в его	15	27
22	слова в	1	26
23	все это	13	25
24	как бы	5	24
25	слова и	1	24
26	то же	10	23
27	как в	1	21
28	не в	6	21
29	вовсе не	3	21
30	в процессе	17	20
31	в то	6	20
32	прежде всего	13	19
33	как мы	1	19
34	с ним	1	18
35	как и	7	18
36	же время	5	18
37	или иной	2	18
38	таким образом	32	17
39	и даже	2	17
40	все же	6	17
41	в основе	1	17
42	в истории	1	17
43	все эти	8	17
44	в них	5	16
45	но в	2	16
46	в той	1	15
47	со своим	3	15
48	той или	1	15
49	романа и	1	14
50	только в	8	14
51	так сказать	2	14
52	в особенности	2	13
53	в слове	3	13
54	это не	7	13
55	с другой	11	13
56	с его	4	13
57	и для	2	13
58	и к	3	12
59	еще не	2	12
60	во всяком	2	12
61	никогда не	5	12
62	и потому	2	12
63	или в	3	12
64	а в	3	12
65	отношение к	1	12
66	и наконец	2	12
67	один из	6	11
68	в этих	1	11
69	с ними	4	11
70	для него	9	11
71	с одной	2	11
72	всех его	2	11
73	на его	1	11
74	в плане	5	11
75	одной стороны	2	11
76	зрения на	1	10
77	и их	3	10
78	и все	1	10
79	уже не	1	10
80	все они	2	10
81	лишь в	2	10
82	т д	16	10
83	в своем	8	10
84	может не	2	10
85	в том	15	10
86	с другими	2	10
87	она не	3	10
88	в себе	6	10
89	далеко не	3	10
90	в него	1	10
91	всех этих	3	10
92	в основном	7	9
93	романа в	1	9
94	более или	6	9
95	в своей	4	9
96	конечно не	1	9
97	сказать что	5	9
98	на почве	1	9
99	этом случае	1	9
100	его в	3	9
101	одна из	4	9
102	в их	5	9
103	или менее	6	9
104	героя и	1	9
105	и других	1	9
106	и мир	3	9
107	он не	2	9
108	быть и	1	9
109	одним из	5	9
110	и от	3	9
111	но не	2	9
112	с ее	1	9
113	в самом	4	8
114	для нас	1	8
115	не могут	10	8
116	зависимости от	5	8
117	в значительной	3	8
118	с этим	3	8
119	в зависимости	6	8
120	человека в	2	8
121	всяком случае	2	8
122	п в	3	8
123	входит в	1	8
124	человека и	3	8
125	они могут	1	8
126	в ней	2	8
127	от него	1	7
128	же и	3	7
129	еще более	1	7
130	кроме того	1	7
131	но все	1	7
132	смысла и	1	7
133	о нем	1	7
134	например в	3	7
135	том что	8	7
136	слова к	1	7
137	перед нами	5	7
138	на своем	1	7
139	здесь не	1	7
140	друг друга	1	7
141	мышления и	1	7
142	у него	6	7
143	не было	7	7
144	связи с	5	7
145	и непосредственно	2	7
146	в таком	1	7
147	у тургенева	3	7
148	его не	3	7
149	также и	2	7
150	ту же	2	7
151	за пределы	1	7
152	жизни и	3	7
153	в целом	5	7
154	что в	11	6
155	вне себя	1	6
156	дело с	1	6
157	даже в	5	6
158	в одном	5	6
159	ни в	1	6
160	другой стороны	8	6
161	по себе	2	6
162	именно в	3	6
163	единого и	2	6
164	одновременно и	1	6
165	роль в	4	6
166	себя и	1	6
167	большей или	3	6
168	автор не	1	6
169	можно сказать	4	6
170	в свою	1	6
171	наконец в	1	6
172	говорить о	2	6
173	в качестве	12	6
174	бы и	6	6
175	лежит в	1	6
176	а также	1	6
177	мира и	3	6
178	единство и	1	6
179	на этом	2	6
180	например у	2	6
181	хотя бы	20	6
182	между тем	6	6
183	и слова	2	6
184	стороны и	2	6
185	в новое	1	6
186	или меньшей	3	6
187	он в	2	6
188	которые в	2	6
189	должна быть	2	5
190	и при	5	5
191	не как	1	5
192	и чисто	1	5
193	а затем	2	5
194	в результате	5	5
195	в рамки	1	5
196	к его	2	5
197	они не	2	5
198	по отношению	7	5
199	вместе с	8	5
200	не менее	2	5
201	о том	10	5
202	социальных групп	1	5
203	его и	1	5
204	не является	5	5
205	в данном	1	5
206	слова все	1	5
207	вне его	2	5
208	мы не	1	5
209	для того	3	5
210	только на	1	5
211	связанных с	1	5
212	авантюрного романа	1	5
213	отношению к	7	5
214	но он	1	5
215	в дальнейшем	1	5
216	между этими	1	5
217	в поэзии	1	5
218	уже в	1	5
219	на протяжении	1	5
220	хотя и	2	5
221	этом отношении	14	5
222	слова не	2	5
223	или даже	1	5
224	должен быть	4	5
225	в каждом	2	5
226	а как	2	5
227	слова с	1	5
228	эти формы	1	5
229	и может	2	5
230	не с	2	5
231	и сам	2	5
232	меньшей степени	2	5
233	характерно что	1	5
234	оно может	1	5
235	и по	3	5
236	для этого	1	5
237	прямо и	1	4
238	до сих	2	4
239	по существу	4	4
240	оно и	1	4
241	точном смысле	2	4
242	или иные	1	4
243	в большей	2	4
244	не столько	2	4
245	в виду	4	4
246	если бы	3	4
247	в точном	2	4
248	что он	4	4
249	от его	2	4
250	так же	3	4
251	которая не	2	4
252	к тому	5	4
253	зрения и	1	4
254	художественный образ	5	4
255	поэзии и	1	4
256	дело не	1	4
257	даже и	3	4
258	того чтобы	3	4
259	лежат в	1	4
260	в другом	2	4
261	случае она	1	4
262	самого автора	1	4
263	тогда когда	2	4
264	те или	1	4
265	с этой	1	4
266	в различных	2	4
267	от других	1	4
268	в чем	2	4
269	свою очередь	1	4
270	и формы	2	4
271	данного автора	3	4
272	и во	1	4
273	в известной	2	4
274	новое время	1	4
275	громадное значение	1	4
276	материал в	1	4
277	он может	2	4
278	и речи	1	4
279	связано с	1	4
280	этой категории	1	4
281	но это	1	4
282	в системе	2	4
283	из них	11	4
284	того что	3	4
285	формы и	2	4
286	он должен	1	4
287	все его	2	4
288	что оно	3	4
289	одной из	2	4
290	том же	6	4
291	о романе	1	4
292	как раз	4	4
293	что и	3	4
294	они в	1	4
295	чем он	1	4
296	в виде	1	4
297	в которой	2	4
298	даже на	1	4
299	слова на	1	4
300	и как	3	4
301	же как	2	4
302	сих пор	2	4
303	может иметь	1	4
304	но как	3	4
305	в частности	12	4
306	одно и	1	4
307	из него	1	4
308	или как	1	4
309	при всем	3	4
310	ориентация слова	1	4
311	в понимании	1	4
312	всех сторон	1	4
313	в лучшем	1	4
314	образом в	3	4
315	не всегда	2	4
316	и дальше	2	4
317	и ее	4	4
318	мы видели	3	4
319	однако и	1	3
320	и другие	1	3
321	еще раз	1	3
322	переходит в	1	3
323	смысле слова	2	3
324	говорит и	8	3
325	не приходится	2	3
326	в форме	3	3
327	и то	1	3
328	и свой	1	3
329	в связи	4	3
330	и создает	1	3
331	исторического развития	1	3
332	в более	1	3
333	идеологического творчества	2	3
334	этого процесса	1	3
335	в духе	1	3
336	легко и	2	3
337	тем что	1	3
338	большого романа	1	3
339	этого типа	3	3
340	не его	1	3
341	этот процесс	3	3
342	отличается от	2	3
343	со всех	1	3
344	было бы	8	3
345	силы и	1	3
346	почти все	1	3
347	и социальной	2	3
348	связана с	2	3
349	как это	12	3
350	и стиль	1	3
351	сознания в	1	3
352	из себя	2	3
353	не могло	1	3
354	или иных	1	3
355	в этой	4	3
356	целый ряд	1	3
357	сил в	1	3
358	как оно	1	3
359	типы и	1	3
360	отметить что	2	3
361	и истолкования	1	3
362	произведения и	7	3
363	на него	2	3
364	в сознании	4	3
