N	3gram	Losev_Prob	Problemy
1	в то же	10	26
2	с точки зрения	9	25
3	в этом смысле	5	16
4	на самом деле	5	15
5	не может быть	5	14
6	с самим собою	2	14
7	в конце концов	4	11
8	до сих пор	4	10
9	в самом деле	1	9
10	с другой стороны	11	9
11	во всяком случае	8	9
12	в том что	17	8
13	и не может	1	8
14	сама по себе	11	7
15	и в то	2	7
16	как раз и	5	7
17	бы то ни	5	7
18	и т д	20	7
19	и в этом	6	7
20	в отличие от	2	6
21	то ни было	4	6
22	том что он	2	6
23	в той или	7	5
24	хотя бы и	2	5
25	сам по себе	10	5
26	в зависимости от	3	5
27	к тому же	1	5
28	той или иной	16	5
29	по крайней мере	9	5
30	но все же	1	5
31	подобно тому как	2	5
32	можно было бы	6	5
33	для себя самого	1	5
34	себе еще не	1	4
35	вполне понятно что	1	4
36	и не в	2	4
37	тем не менее	23	4
38	сами по себе	8	4
39	так и в	2	4
40	именно потому что	3	4
41	по себе еще	1	4
42	более или менее	2	4
43	само по себе	5	4
44	смысле этого слова	1	4
45	и прежде всего	3	4
46	как мы сказали	2	4
47	как нам кажется	1	4
48	может быть даже	4	4
49	о том что	8	4
50	как и в	2	4
51	хотя и не	2	4
52	что в нем	1	4
53	а вовсе не	3	4
54	может быть и	3	4
55	друг к другу	1	4
56	это не значит	1	3
57	никак не может	3	3
58	в той же	1	3
59	почти никогда не	1	3
60	можно сказать что	2	3
61	а может быть	2	3
62	потому что она	1	3
63	и то же	5	3
64	но при этом	1	3
65	в настоящее время	4	3
66	то же что	1	3
67	другой стороны и	1	3
68	в данном случае	12	3
69	и в других	2	3
70	не только не	5	3
71	выходит за пределы	1	3
72	это вовсе не	5	3
73	что он есть	2	3
74	в том и	1	3
75	на то что	2	3
76	именно тем что	1	3
77	того и другого	1	3
78	а в то	1	3
79	на этот вопрос	1	3
80	все же не	1	3
81	в узком смысле	1	3
82	как мы видели	2	3
83	одно и то	4	3
84	и это не	1	3
85	в этом случае	8	3
86	в то время	6	3
87	тем что он	1	3
88	то время как	6	3
89	нам кажется что	1	3
90	что он не	2	2
91	этого слова в	1	2
92	как будто бы	7	2
93	точка зрения на	1	2
94	для этого необходимо	2	2
95	в себе все	1	2
96	как бы ни	1	2
97	он не только	1	2
98	не была бы	1	2
99	что он только	1	2
100	и не служит	1	2
101	того или другого	3	2
102	можно прямо сказать	1	2
103	для того чтобы	4	2
104	в самой этой	2	2
105	как впрочем и	1	2
106	зрения на него	1	2
107	так что он	2	2
108	дело в том	4	2
109	друг от друга	3	2
110	чего бы то	2	2
111	вместе с тем	1	2
112	но только в	2	2
113	в чем не	2	2
114	в том или	2	2
115	в нем не	1	2
116	на котором мы	1	2
117	по себе и	2	2
118	по себе но	2	2
119	а не в	1	2
120	то же самое	17	2
121	на этот раз	3	2
122	друг друга но	1	2
123	к тому что	1	2
124	только то что	4	2
125	и во всяком	3	2
126	в литературной речи	1	2
127	но это не	1	2
128	и входит в	1	2
129	в этих случаях	1	2
130	рядом с собой	1	2
131	от автора и	1	2
132	и только в	3	2
133	уже сама по	1	2
134	том или другом	3	2
135	этой точки зрения	2	2
136	что же касается	5	2
137	какой бы то	1	2
138	может быть лишь	1	2
139	а следовательно и	1	2
140	конечно не в	1	2
141	но все это	1	2
142	себе и не	1	2
143	он может быть	1	2
144	таким образом и	1	2
145	за их пределы	1	2
146	по себе как	2	2
147	не только в	2	2
148	во всей его	1	2
149	же как и	4	2
150	всяком случае не	2	2
151	в себе и	2	2
152	что и в	3	2
