1	в то время как	4	7
2	одной и той же	3	5
3	в том что оно	1	3
4	и вместе с тем	5	2
5	той мере в какой	1	2
6	в той мере в	1	2
7	в зависимости от этого	1	2
8	так же как и	3	2
9	в том смысле что	1	2
10	и не может быть	1	2
11	в том что он	3	2
12	для того чтобы сделать	1	2
13	по своему значению и	1	1
14	может быть выражена и	1	1
15	на той или иной	1	1
16	это и есть то	1	1
17	одну и ту же	2	1
18	и по отношению к	1	1
19	том что он не	1	1
20	по образу и подобию	1	1
21	не оставляет нас в	1	1
22	не что иное как	4	1
23	говорят о том что	1	1
24	есть не что иное	3	1
25	только о том что	1	1
26	и там и здесь	6	1
27	в том что это	1	1
28	о том что в	2	1
29	с психологической точки зрения	1	1
30	то время как у	1	1
31	друг к другу и	2	1
32	в то же время	1	1
33	от одного к другому	1	1
34	друг к другу как	1	1
35	по своей природе она	1	1
