N	4gram	Bakhtin_Pr	slovoVRo
1	в то же время	13	18
2	в той или иной	1	13
3	и т п в	1	8
4	но в то же	7	7
5	и в то же	2	6
6	с одной стороны и	1	4
7	большей или меньшей степени	2	4
8	в большей или меньшей	2	4
9	с чужим словом в	1	4
10	с чужим словом и	1	4
11	в пределах того же	1	4
12	никогда не может быть	1	3
13	быть более или менее	2	3
14	в одной плоскости с	4	3
15	и т п все	2	3
16	точка зрения на мир	2	3
17	можно прямо сказать что	1	3
18	и его слово в	1	3
19	в истории европейского романа	1	3
20	лежит в одной плоскости	2	2
21	из одного в другой	1	2
22	в нем новые стороны	1	2
23	в том и в	1	2
24	том и в другом	1	2
25	и в том и	1	2
26	лежат в одной плоскости	1	2
27	не значит конечно что	2	2
28	чужим словом и с	1	2
29	и не может быть	1	2
30	в то время как	2	2
31	может быть более или	2	2
32	на ту же тему	1	2
33	это не значит конечно	2	2
34	и в другом случае	1	2
35	т п все это	1	2
36	то же время и	1	2
37	в зависимости от характера	1	2
38	тем что он есть	1	2
39	до сих пор не	1	2
40	именно в том что	1	1
41	не могут до конца	1	1
42	то перед нами не	1	1
43	она не может быть	1	1
44	мы имеем в виду	1	1
45	сих пор совершенно не	2	1
46	как нейтральное слово языка	1	1
47	и не может не	1	1
48	слово во всех его	1	1
49	здесь конечно не в	1	1
50	оглядки на чужое слово	1	1
51	у ивана карамазова и	1	1
52	и в авторской речи	1	1
53	и до настоящего времени	1	1
54	как бы ни были	1	1
55	во всяком случае не	1	1
56	слово героя о себе	2	1
57	между этими двумя пределами	1	1
58	одной плоскости с авторским	1	1
59	не с точки зрения	1	1
60	так как если бы	1	1
61	не лежит в одной	1	1
62	дело далеко не исчерпывается	1	1
63	иначе обстоит дело в	1	1
64	является лишь одним из	2	1
65	происходит преломление авторских интенций	1	1
66	как и у него	1	1
67	двух точек зрения двух	1	1
68	дело в том что	1	1
69	роман не только не	1	1
70	на мир и на	2	1
71	по себе никогда не	1	1
72	прямое авторское слово в	1	1
73	и всякое иное слово	1	1
74	в большинстве случаев в	2	1
75	а в том что	1	1
76	но в отличие от	1	1
77	как это возможно в	1	1
78	мы уже говорили что	1	1
79	и т п так	1	1
80	в монологический контекст данного	1	1
81	во всех сферах идеологической	1	1
82	с прямым авторским словом	1	1
83	по отношению к себе	2	1
84	всех сферах идеологической жизни	1	1
85	могут быть весьма различны	2	1
86	точек зрения и оценок	1	1
87	она не входит в	1	1
88	сама по себе еще	1	1
89	каковы бы ни были	1	1
90	о том же предмете	2	1
91	как если бы он	1	1
92	в том числе и	1	1
93	бы оно ни было	1	1
94	без дистанции без преломления	1	1
95	сама по себе никогда	1	1
96	мир и на события	1	1
97	все новые и новые	1	1
98	с точки зрения которого	1	1
99	зрения на мир и	1	1
100	между героем и автором	1	1
101	не лежат в одной	1	1
102	направленное на свой предмет	2	1
103	героя о себе самом	4	1
104	слово в то же	1	1
105	в том что он	4	1
106	установка по отношению к	1	1
107	но с другой стороны	2	1
108	особая точка зрения на	1	1
109	и не могут быть	1	1
110	в прямой авторской речи	1	1
111	с ним и с	1	1
112	до сих пор совершенно	2	1
113	в руках орудующего им	1	1
114	словом и с чужим	1	1
115	бы то ни было	2	1
116	с другой стороны и	3	1
117	дело здесь конечно не	1	1
118	на свой предмет слово	2	1
119	в значительной степени определяется	1	1
120	одну и ту же	1	1
121	в неразрывной связи с	1	1
122	о себе самом и	5	1
123	отношения к чужому слову	2	1
124	рядом друг с другом	1	1
125	рассказ от автора и	1	1
126	тем не менее в	1	1
127	так же как и	1	1
128	в него свои интенции	1	1
129	переходил из одного в	1	1
130	как мы уже говорили	2	1
