N	3gram	Trubetskoy	Poddanst
1	то же время	2	7
2	в то же	2	7
3	в том что	3	4
4	сами по себе	1	3
5	с точки зрения	6	3
6	с одной стороны	7	3
7	заключает в себе	2	2
8	в значительной мере	2	2
9	и в то	1	2
10	в том числе	5	2
11	то что от	1	1
12	друг с другом	5	1
13	но в общем	1	1
14	совершенно ясно что	1	1
15	именно потому что	1	1
16	есть не более	1	1
17	все существующее в	1	1
18	чуть ли не	1	1
19	в эту эпоху	1	1
20	как бы часть	1	1
21	существующее в мире	1	1
22	вместе с тем	8	1
23	но в то	1	1
24	том числе и	4	1
25	иначе как на	1	1
26	не может быть	1	1
27	на пути к	2	1
28	поскольку они являются	1	1
29	ни на какие	1	1
30	в отличие от	1	1
31	по сравнению с	2	1
32	с тем чтобы	4	1
33	в области религиозной	1	1
34	что в этом	1	1
35	есть как бы	2	1
36	не более как	1	1
37	во всяком случае	6	1
38	для того чтобы	5	1
39	ни к чему	1	1
40	в области отношения	1	1
41	весьма вероятно что	1	1
42	с другой стороны	1	1
43	тем и другим	1	1
44	не в том	1	1
45	в том виде	2	1
46	что все существующее	1	1
47	в настоящее время	1	1
48	сливаются в одно	1	1
49	сам как бы	1	1
50	более или менее	5	1
51	так же как	3	1
52	не только как	1	1
53	области отношения к	1	1
54	а с тем	1	1
55	сменяют друг друга	1	1
56	и в этом	2	1
