N	4gram	Vinokur_Ku	RusskieA
1	состоит в том что	4	26
2	не что иное как	2	4
3	до тех пор пока	1	3
4	т е как бы	2	2
5	стоит в одном ряду	1	2
6	в тех случаях когда	2	2
7	стоит в связи с	1	2
8	и т д и	3	2
9	в одном ряду с	1	2
10	состояло в том что	1	2
11	и не выходят за	1	1
12	не выходят за рамки	1	1
13	в огромном большинстве случаев	1	1
14	что мы имеем здесь	1	1
15	и во многих других	1	1
16	ниже мы увидим что	1	1
17	сказывается и в том	1	1
18	только в том чтобы	2	1
19	одного и того же	2	1
20	а вместе с тем	1	1
21	о том что в	1	1
22	не только в том	1	1
23	необходимо для того чтобы	1	1
24	одном и том же	1	1
25	только о том что	1	1
26	сводится к тому что	1	1
27	не только потому что	3	1
28	в самой тесной связи	1	1
29	в одном и том	1	1
30	и т д а	1	1
31	в том что на	1	1
32	в своей книге о	1	1
33	дело в том что	1	1
34	в русском языке на	1	1
35	во всяком случае что	1	1
36	во всех этих случаях	1	1
37	в этом случае он	1	1
38	на том основании что	1	1
