N	4gram	Vinokur_Ku	Morfolog
1	состоит в том что	4	3
2	в собственном смысле слова	1	3
3	в том случае если	3	2
4	и т д а	1	2
5	бы то ни было	1	2
6	которые хотя и не	1	2
7	и тем не менее	4	2
8	в тех случаях когда	2	2
9	не что иное как	2	2
10	и пр таким образом	1	1
11	с этой точки зрения	3	1
12	можно было бы сказать	2	1
13	уже не может быть	2	1
14	ниже мы увидим что	1	1
15	тех случаях когда в	1	1
16	с тех пор как	1	1
17	и т д и	3	1
18	в этом случае он	1	1
19	в том что он	3	1
20	одно и то же	1	1
21	то во всяком случае	1	1
22	лишь после того как	1	1
23	и т д словом	1	1
24	это еще не все	1	1
25	все более и более	1	1
26	и т д это	2	1
27	ответить на этот вопрос	1	1
28	в то же время	4	1
29	во всех этих случаях	1	1
30	только в том случае	2	1
31	и т д все	1	1
32	можно себе представить что	1	1
33	хотя и здесь несомненно	1	1
34	было бы считать вообще	1	1
35	есть не что иное	1	1
