N	3gram	Bakhtin_Fr	VeschiIm
1	не может быть	4	24
2	не что иное	1	12
3	что иное как	1	12
4	тем не менее	1	11
5	в том что	8	9
6	есть не что	1	8
7	в самом деле	2	7
8	с точки зрения	5	6
9	в свою очередь	1	5
10	в чем же	3	5
11	в то же	14	5
12	и то же	1	5
13	и то что	1	5
14	одно и то	1	5
15	подобно тому как	2	5
16	не только в	1	5
17	в себе в	1	4
18	о том как	2	4
19	от того что	1	4
20	в то время	3	4
21	более или менее	2	4
22	дело в том	4	4
23	о том что	5	4
24	это и есть	2	4
25	то же время	14	4
26	потому что они	1	4
27	мы видели что	2	3
28	между собою и	1	3
29	вместе с тем	2	3
30	и не в	2	3
31	можно сказать что	4	3
32	все же не	1	3
33	может быть ни	1	3
34	в отрыве от	2	3
35	мы не можем	1	3
36	можно было бы	2	3
37	и в то	3	3
38	это значило бы	1	3
39	только то что	1	3
40	с одной стороны	2	3
41	с другой стороны	2	3
42	так же как	4	2
43	в той или	1	2
44	в одном и	1	2
45	все то что	5	2
46	мы находим в	2	2
47	и когда она	1	2
48	мы видим что	2	2
49	в данном случае	4	2
50	явление то есть	2	2
51	то что не	1	2
52	не имеет никакого	1	2
53	а следовательно и	1	2
54	для того чтобы	8	2
55	имеет никакого отношения	1	2
56	по природе своей	1	2
57	друг с другом	2	2
58	и в конце	1	2
59	не было ни	1	2
60	и в частности	1	2
61	в первом случае	3	2
62	в конце концов	1	2
63	в нем нет	1	2
64	и таким образом	1	2
65	можно говорить о	2	2
66	хотя бы в	2	2
67	нужно сказать что	4	2
68	в связи с	5	2
69	в этом отношении	7	2
70	только тогда когда	1	2
71	как раз и	1	2
72	в основе своей	1	2
73	ни о каком	1	2
74	что он не	1	1
75	у нее нет	2	1
76	в полной мере	1	1
77	связанными между собою	1	1
78	в самом начале	2	1
79	как и во	2	1
80	одной стороны и	1	1
81	и существенный смысл	1	1
82	как это и	1	1
83	здесь и там	1	1
84	в сущности в	1	1
85	в этой маленькой	1	1
86	и как бы	2	1
87	и том же	1	1
88	том что это	1	1
89	он думает что	1	1
90	со всем окружающим	1	1
91	и прежде всего	4	1
92	она сама себя	1	1
93	никак не может	2	1
94	еще и в	1	1
95	и только в	1	1
96	но и в	3	1
97	во всех языках	2	1
98	в этом своем	1	1
99	судить о характере	1	1
100	как мы говорили	1	1
101	связи с вопросом	1	1
102	ту же самую	1	1
103	и в особенности	1	1
104	имеется в виду	2	1
105	они все же	1	1
106	самом деле в	1	1
107	один и тот	1	1
108	здесь как и	2	1
109	и в самом	1	1
110	оказывается вовсе не	1	1
111	то что в	1	1
112	в коем случае	1	1
113	и во всех	3	1
114	тем более не	1	1
115	в этом небольшом	1	1
116	она и не	1	1
117	и тот же	2	1
118	с его чисто	1	1
119	что и в	2	1
120	было бы нелепо	1	1
121	потому что она	2	1
122	они вообще не	1	1
123	о чем не	1	1
124	не нуждается в	2	1
125	независимо от того	1	1
126	так и ее	1	1
127	от адама и	1	1
128	да и в	1	1
129	ведь это и	1	1
130	во втором случае	3	1
131	на этом основании	1	1
132	не будет уже	1	1
133	видим таким образом	1	1
134	до сих пор	3	1
135	именно потому что	1	1
136	одного и того	1	1
137	то в чем	1	1
138	у нас есть	1	1
139	таким образом и	2	1
140	тех кто не	1	1
141	ни в коем	1	1
142	далеко не все	2	1
143	прежде всего к	1	1
144	потому что он	3	1
145	ни о чем	1	1
146	один из самых	1	1
147	и здесь и	2	1
148	с вопросом о	1	1
149	быть и речи	1	1
150	и того же	1	1
151	а потому что	1	1
152	адама и евы	1	1
153	мы видим таким	1	1
154	он и не	1	1
155	точки зрения этого	1	1
156	но в то	6	1
157	они вовсе не	2	1
158	в зависимости от	1	1
159	в третьем случае	2	1
160	тем что она	1	1
161	и вот эта	1	1
162	деле в чем	1	1
163	в ней есть	1	1
164	то же самое	3	1
165	никто никогда не	1	1
166	и говорить о	1	1
167	самом же деле	4	1
168	вместо того чтобы	1	1
169	собою и с	1	1
170	на самом же	4	1
171	на первый план	3	1
172	в одном случае	1	1
173	одном и том	1	1
174	является одним из	2	1
175	литературе где он	1	1
176	он все же	1	1
177	и не может	1	1
178	есть все то	1	1
179	мы уже сказали	3	1
180	а также и	4	1
181	может быть и	1	1
