N	3gram	Vygotskiy_	Poddanst
1	в то же	1	7
2	в том что	33	4
3	не только в	1	4
4	в гораздо большей	1	4
5	гораздо большей степени	1	4
6	сами по себе	1	3
7	с точки зрения	12	3
8	с одной стороны	10	3
9	в полной мере	1	2
10	но и в	1	2
11	заключается в том	12	2
12	не только это	1	2
13	в том числе	2	2
14	и не только	1	2
15	одной стороны и	2	2
16	одних и других	1	2
17	имеет не только	1	2
18	не было бы	1	1
19	друг с другом	10	1
20	именно потому что	3	1
21	в момент когда	1	1
22	и в частности	3	1
23	чуть ли не	1	1
24	только это не	1	1
25	вместе с тем	4	1
26	в противоречии с	1	1
27	к этой последней	1	1
28	и тем самым	3	1
29	в применении к	1	1
30	том числе и	2	1
31	само по себе	2	1
32	что в момент	2	1
33	в этом деле	1	1
34	мы знаем что	2	1
35	что уже в	1	1
36	не может быть	4	1
37	мы видим в	2	1
38	том что в	2	1
39	в отличие от	3	1
40	условия в которых	1	1
41	в этом смысле	5	1
42	по сравнению с	9	1
43	есть прежде всего	1	1
44	что во всех	1	1
45	можем представить себе	1	1
46	и то что	6	1
47	что в этом	1	1
48	в собственном смысле	2	1
49	но в этом	2	1
50	во всей полноте	1	1
51	во всяком случае	2	1
52	для того чтобы	20	1
53	и тем более	2	1
54	с другой стороны	8	1
55	тем и другим	1	1
56	в известном смысле	7	1
57	и не может	3	1
58	в том виде	1	1
59	в настоящее время	2	1
60	более или менее	1	1
61	так же как	9	1
62	или хотя бы	1	1
63	и в какой	1	1
64	исключительно в пределах	1	1
