N	3gram	Tiupa_Hudo	VLabPisa
1	и т д	5	16
2	в этом отношении	4	14
3	в письме к	1	11
4	и т п	10	9
5	не может быть	5	8
6	с другой стороны	1	8
7	по отношению к	15	7
8	более или менее	1	6
9	в том что	15	5
10	в конечном счете	4	5
11	хотя бы и	1	5
12	в то же	11	5
13	то же время	11	5
14	в одном из	1	4
15	можно сказать что	1	4
16	в связи с	3	4
17	к тому что	8	4
18	а всего лишь	2	3
19	о том как	4	3
20	для того чтобы	2	3
21	о том что	14	3
22	о том же	1	3
23	подобно тому как	4	3
24	и в то	2	3
25	та или иная	4	3
26	одной стороны и	1	2
27	в частности к	1	2
28	для него в	1	2
29	не только для	2	2
30	во всяком случае	1	2
31	этой точки зрения	1	2
32	так и от	2	2
33	в том числе	1	2
34	бы не было	1	2
35	не в том	2	2
36	в этом и	2	2
37	мы знаем что	1	2
38	приводит к тому	2	2
39	до сих пор	3	2
40	не только не	3	2
41	этом и заключается	1	2
42	в конце концов	1	2
43	том числе и	1	2
44	что все эти	1	2
45	не только в	4	2
46	не может не	1	2
47	письме к а	1	2
48	в конечном итоге	1	2
49	только в том	4	2
50	с одной стороны	4	2
51	можно было бы	5	2
52	человека в футляре	1	1
53	так же как	2	1
54	д перед нами	1	1
55	пишет например в	1	1
56	того момента когда	1	1
57	что он не	3	1
58	том как он	1	1
59	на вопрос что	1	1
60	но ведь это	1	1
61	в себе ту	1	1
62	забывать что в	1	1
63	имеет ничего общего	1	1
64	сообщая о том	1	1
65	в свою очередь	1	1
66	того или иного	4	1
67	как будто бы	3	1
68	той или иной	1	1
69	в сумасшедшем доме	1	1
70	т п все	1	1
71	реальной действительности как	1	1
72	на то что	2	1
73	сумасшедшем доме или	1	1
74	с того момента	1	1
75	в саду и	1	1
76	как мы знаем	1	1
77	в том смысле	1	1
78	в этом смысле	1	1
79	не в этом	1	1
80	в том случае	2	1
81	никак между собой	1	1
82	является для него	1	1
83	в этом случае	1	1
84	заключает в себе	1	1
85	ту или иную	2	1
86	сходные с ними	1	1
87	с этой точки	1	1
88	в самом деле	5	1
89	и так или	1	1
90	что все они	1	1
91	по наблюдениям в	1	1
92	ф м достоевского	3	1
93	у него в	1	1
94	могло бы быть	1	1
95	человека а не	2	1
96	чтобы ответить на	1	1
97	а между тем	3	1
98	в таком случае	1	1
99	но у него	1	1
100	все же не	2	1
101	каждый из них	1	1
102	а если можно	1	1
103	так или иначе	3	1
104	сами по себе	1	1
105	места и роли	1	1
106	т д перед	1	1
107	что для него	1	1
108	не чем иным	1	1
109	а порой и	2	1
110	почти то же	1	1
111	жизни и ее	1	1
112	о свободе воли	1	1
113	ничего общего с	1	1
114	легко и просто	1	1
115	как это обычно	1	1
116	именно в этом	1	1
117	как и все	1	1
118	но в то	3	1
119	то или иное	1	1
120	между собой не	1	1
121	следующим образом это	1	1
122	в его индивидуальной	1	1
123	между этими двумя	1	1
124	если можно так	1	1
125	учения о свободе	1	1
126	в соответствии с	1	1
127	в данном случае	3	1
128	в сад и	1	1
129	а в том	1	1
130	на одном полюсе	1	1
131	и по отношению	1	1
132	чем иным как	1	1
133	не имеет ничего	1	1
134	же как и	2	1
135	только один из	1	1
136	то же самое	3	1
137	том случае если	2	1
138	но все же	2	1
139	нет и не	1	1
140	тот или иной	1	1
141	имеем дело с	1	1
142	но и для	2	1
143	в его детстве	1	1
144	мы имеем дело	1	1
145	но с другой	1	1
146	лежит в основе	1	1
147	можно так выразиться	1	1
148	является не чем	1	1
