N	3gram	Bakhtin_Fr	Literetu
1	в том что	8	21
2	в то же	14	21
3	то же время	14	21
4	по отношению к	1	12
5	с одной стороны	2	12
6	не может быть	4	11
7	в данном случае	4	11
8	в отличие от	3	11
9	в конечном счете	1	10
10	о том что	5	10
11	в этом отношении	7	10
12	с точки зрения	5	8
13	с другой стороны	2	7
14	в том числе	6	6
15	к тому же	3	6
16	подобно тому как	2	6
17	не только в	1	6
18	тем не менее	1	5
19	в соответствии с	1	5
20	в связи с	5	5
21	и прежде всего	4	4
22	и то что	1	4
23	одной стороны и	1	3
24	в самом деле	2	3
25	в том же	1	3
26	ничего общего с	1	3
27	то же самое	3	3
28	той или иной	1	3
29	в свою очередь	1	3
30	а не как	1	3
31	на самом деле	4	3
32	но и не	1	3
33	и в частности	1	3
34	том числе и	3	3
35	в самом начале	2	2
36	в этой системе	1	2
37	в себя и	1	2
38	имеется в виду	2	2
39	для того чтобы	8	2
40	и то же	1	2
41	в разговоре с	1	2
42	между тем как	2	2
43	в этой книге	1	2
44	а с другой	1	2
45	не могло быть	1	2
46	только то что	1	2
47	в другом месте	3	2
48	в значительной степени	1	2
49	лишь тогда когда	1	2
50	вместе с тем	2	2
51	но и в	3	2
52	одним из первых	1	2
53	и в самом	1	2
54	в полной мере	1	2
55	внутренней свободы от	1	2
56	дело в том	4	2
57	одно и то	1	2
58	можно было бы	2	2
59	это прежде всего	1	2
60	на первый взгляд	1	2
61	произведение в целом	1	2
62	того что у	1	1
63	в конце этой	1	1
64	никогда и нигде	1	1
65	как было сказано	1	1
66	в той или	1	1
67	как и во	2	1
68	что он не	1	1
69	все то что	5	1
70	а потому и	1	1
71	это как бы	1	1
72	своей полноте и	1	1
73	идет не только	1	1
74	в большинстве случаев	5	1
75	что не может	1	1
76	казалось бы не	1	1
77	то что в	1	1
78	самой жизни на	1	1
79	но уже и	1	1
80	в жизни а	1	1
81	как он был	1	1
82	так и от	1	1
83	во внешнем мире	1	1
84	тем более не	1	1
85	друг от друга	1	1
86	то в чем	1	1
87	в вечности и	1	1
88	более или менее	2	1
89	возвращает нас к	1	1
90	у него прямо	1	1
91	о мире и	1	1
92	и некоторые другие	1	1
93	именно в этом	1	1
94	начало и конец	1	1
95	до сих пор	3	1
96	потому что в	1	1
97	именно потому что	1	1
98	дороги по которой	1	1
99	никогда не служит	1	1
100	данном случае не	1	1
101	в конце концов	1	1
102	с внешним миром	1	1
103	в зависимости от	1	1
104	а вслед за	1	1
105	начинается там где	1	1
106	между этими тремя	1	1
107	мы все время	1	1
108	и в то	3	1
109	том что в	1	1
110	со всеми другими	2	1
111	по ту сторону	1	1
112	но и с	1	1
113	и того же	1	1
114	существует как бы	1	1
115	при этом он	1	1
116	и т.п и	1	1
117	находится в его	1	1
118	свою судьбу судьбу	1	1
119	как раз и	1	1
120	и там где	1	1
121	по этому поводу	1	1
122	в сущности только	2	1
123	не нуждается в	2	1
124	и не столько	1	1
125	о том как	2	1
126	одного и того	1	1
127	для этой цели	1	1
128	по существу это	1	1
129	но это не	1	1
130	еще и в	1	1
131	в ней есть	1	1
132	а также и	4	1
133	и внешнее и	2	1
134	и только в	1	1
135	после того как	1	1
136	то есть в	4	1
137	не только для	2	1
138	как бы в	2	1
139	никак не мог	1	1
140	в дальнейшем эта	1	1
141	и вот в	1	1
142	то есть людей	1	1
143	в этом своем	1	1
144	же время он	1	1
145	может быть ни	1	1
146	но дело в	1	1
147	с того что	1	1
148	и в особенности	1	1
149	и в соответствии	1	1
150	вообще не знает	1	1
151	в это время	1	1
152	здесь как и	2	1
153	же время она	1	1
154	две стороны одного	1	1
155	так было и	1	1
156	и к тому	1	1
157	на этот путь	1	1
158	не что иное	1	1
159	он не может	1	1
160	и даже в	2	1
161	хотя и не	1	1
162	сознания в своем	1	1
163	как это ни	1	1
164	с таким расчетом	1	1
165	в одной из	2	1
166	у того же	1	1
167	в эту минуту	1	1
168	то есть когда	1	1
169	ему в том	1	1
170	тех кто не	1	1
171	жизни прежде всего	1	1
172	но в то	6	1
173	в лучшем случае	1	1
174	как мы видели	4	1
175	не подлежит сомнению	1	1
176	и не менее	1	1
177	человека с миром	5	1
178	во всех этих	2	1
179	он и не	1	1
180	то уж тут	1	1
181	с самого начала	3	1
182	в сущности не	2	1
183	таким расчетом чтобы	1	1
184	он не мог	1	1
185	не перестает быть	1	1
186	всего мира в	1	1
187	не только и	1	1
188	и вовсе не	3	1
189	жизни в ее	1	1
190	же время в	1	1
191	не могло не	2	1
192	что иное как	1	1
193	внешнее и внутреннее	2	1
194	как одной из	1	1
195	теми или иными	1	1
196	том что ему	1	1
197	и не может	1	1
198	является одним из	2	1
199	это и есть	2	1
200	только и не	1	1
201	нет и не	1	1
202	в процессе своего	1	1
203	по тому же	2	1
204	мы не можем	1	1
205	в основе своей	1	1
206	может быть и	1	1
