N	2gram	Vinokur_Ku	Otkroven
1	у него	3	22
2	у достоевского	2	19
3	и в	44	19
4	и не	23	13
5	но и	13	13
6	в этом	31	12
7	а не	17	11
8	не только	29	11
9	не в	18	11
10	может быть	25	11
11	вопрос о	11	10
12	и все	4	10
13	в нем	7	10
14	потому что	40	9
15	прежде всего	14	9
16	не было	6	9
17	в самой	6	9
18	никогда не	2	9
19	и он	4	8
20	он был	1	8
21	нет ничего	1	7
22	в его	16	7
23	он не	4	7
24	но он	2	7
25	лишь в	6	7
26	до конца	3	7
27	все это	10	6
28	как и	3	6
29	в самом	20	5
30	достоевского и	2	5
31	в том	47	5
32	для него	2	5
33	в этой	8	5
34	а в	7	5
35	отношение к	2	5
36	в россии	1	5
37	о его	1	5
38	то что	14	5
39	что в	25	4
40	и мысли	2	4
41	достоевского не	1	4
42	только и	3	4
43	того чтобы	25	4
44	т е	54	4
45	есть лишь	3	4
46	не может	13	4
47	всегда есть	1	4
48	что не	10	4
49	все эти	17	4
50	и его	8	4
51	его мысли	1	4
52	с его	4	4
53	и от	2	3
54	все что	1	3
55	и вот	4	3
56	хотя бы	19	3
57	это не	13	3
58	для того	23	3
59	с ним	5	3
60	мысли и	1	3
61	когда он	4	3
62	в бесах	1	3
63	быть может	1	3
64	в этих	5	3
65	не могут	5	3
66	в своих	2	3
67	о природе	1	3
68	как бы	11	3
69	было бы	28	3
70	могут быть	5	3
71	в себе	4	3
72	достоевского в	1	3
73	и есть	3	3
74	что он	7	3
75	различие между	2	3
76	это было	2	3
77	о том	10	3
78	того что	11	3
79	к нему	1	3
80	еще не	10	3
81	всего в	2	2
82	и к	1	2
83	как к	2	2
84	и потому	6	2
85	так и	10	2
86	что они	5	2
87	и то	7	2
88	но никогда	1	2
89	и против	2	2
90	все же	17	2
91	что у	3	2
92	так как	16	2
93	при чтении	1	2
94	на западе	1	2
95	должно быть	6	2
96	к этой	3	2
97	в дневнике	1	2
98	так человек	1	2
99	даже и	5	2
100	его не	1	2
101	для всякого	1	2
102	уже в	5	2
103	никакого другого	1	2
104	любовь к	2	2
105	в другом	2	2
106	совсем не	1	2
107	ничего кроме	1	2
108	так что	5	2
109	в своем	4	2
110	на периферии	1	2
111	с тем	5	2
112	в которой	7	2
113	дневнике писателя	1	2
