N	2gram	Tiupa_Vved	slovoVRo
1	и в	23	92
2	в романе	6	89
3	то есть	13	64
4	может быть	25	59
5	и его	9	59
6	в нем	9	59
7	и не	24	51
8	чужого слова	3	46
9	не только	32	44
10	не может	14	41
11	но и	31	39
12	до конца	5	37
13	в этом	27	36
14	а не	31	34
15	во всех	2	32
16	точки зрения	1	30
17	так и	14	30
18	могут быть	5	29
19	и др	2	29
20	в пределах	3	29
21	в его	9	27
22	в роман	1	27
23	слова в	3	26
24	все это	3	25
25	как бы	8	24
26	слова и	3	24
27	то же	8	23
28	и на	5	22
29	в сущности	3	21
30	как в	8	21
31	не в	12	21
32	вовсе не	1	21
33	в процессе	1	20
34	в то	5	20
35	его слово	1	19
36	прежде всего	11	19
37	как мы	5	19
38	с ним	3	18
39	как и	21	18
40	же время	4	18
41	себя в	4	18
42	или иной	5	18
43	таким образом	6	17
44	оно не	2	17
45	и даже	3	17
46	все же	10	17
47	в основе	6	17
48	в истории	1	17
49	все эти	1	17
50	при этом	43	16
51	в них	4	16
52	к своему	2	16
53	отличие от	11	16
54	но в	14	16
55	в той	5	15
56	и с	2	15
57	человек и	1	15
58	со своим	1	15
59	той или	5	15
60	там где	1	15
61	только в	9	14
62	в отличие	11	14
63	так сказать	2	14
64	в особенности	3	13
65	отношении к	1	13
66	в слове	4	13
67	на фоне	3	13
68	иной степени	1	13
69	это не	7	13
70	с другой	10	13
71	с его	1	13
72	точка зрения	3	13
73	чужих слов	1	13
74	и для	8	13
75	и к	2	12
76	в отношении	1	12
77	еще не	8	12
78	во всяком	3	12
79	никогда не	6	12
80	и потому	2	12
81	или в	3	12
82	точек зрения	2	12
83	а в	15	12
84	отношение к	5	12
85	и наконец	2	12
86	один из	3	11
87	в этих	5	11
88	с ними	2	11
89	чужое слово	1	11
90	для него	5	11
91	с одной	9	11
92	языка как	1	11
93	всех его	2	11
94	на его	2	11
95	одной стороны	9	11
96	и их	1	10
97	и все	8	10
98	уже не	7	10
99	все они	2	10
100	лишь в	4	10
101	в своем	9	10
102	в том	21	10
103	с другими	1	10
104	в себе	15	10
105	далеко не	5	10
106	в него	2	10
107	всех этих	1	10
108	пределах одного	1	9
109	поэтому и	1	9
110	более или	2	9
111	в своей	10	9
112	сказать что	1	9
113	на почве	1	9
114	этом случае	1	9
115	о говорящем	1	9
116	его в	1	9
117	одна из	5	9
118	в их	2	9
119	или менее	2	9
120	героя и	5	9
121	он не	6	9
122	быть и	2	9
123	одним из	5	9
124	к чужому	1	9
125	и от	3	9
126	но не	9	9
127	с ее	3	9
128	к нему	2	9
