N	4gram	Losev_Dial	RusskieA
1	в том что в	1	8
2	не что иное как	6	4
3	на самом же деле	1	3
4	до тех пор пока	1	3
5	так же как и	1	3
6	это не значит что	1	2
7	и т д и	8	2
8	подобно тому как бывает	1	1
9	общего не имеет с	1	1
10	в виду что все	1	1
11	вопрос о том как	1	1
12	и т д в	2	1
13	несмотря ни на какую	1	1
14	одна и та же	3	1
15	необходимо иметь в виду	1	1
16	в то время как	6	1
17	в том что они	1	1
18	нас в данном случае	1	1
19	можно сказать что в	1	1
20	иметь в виду что	1	1
21	животных и т д	1	1
22	ничего общего не имеет	1	1
