N	3gram	Propp_Isto	PoTuStor
1	на самом деле	2	4
2	с самого начала	4	4
3	до сих пор	11	3
4	не может быть	8	3
5	в большинстве случаев	4	3
6	в этом смысле	1	3
7	мы можем сказать	1	2
8	так же как	6	2
9	и может быть	1	2
10	о том что	5	2
11	не могут быть	1	2
12	друг на друга	1	2
13	и в этом	1	2
14	со всех сторон	4	1
15	быть не может	1	1
16	мы говорили что	1	1
17	в каком отношении	1	1
18	во время сна	1	1
19	выше мы говорили	1	1
20	в том что	6	1
21	друг с другом	3	1
22	то же мы	1	1
23	мы знаем что	7	1
24	так и с	1	1
25	а может быть	2	1
26	мы не можем	3	1
27	не что иное	3	1
28	в душу и	1	1
29	что иное как	3	1
30	не чем иным	1	1
31	дело в том	3	1
32	он прежде всего	1	1
33	вместе с тем	7	1
34	мы уже знаем	3	1
35	но вместе с	1	1
36	подобно тому как	3	1
37	во многих случаях	1	1
38	на этом моменте	1	1
39	что можно было	1	1
40	останавливаться не будем	1	1
41	а на самом	1	1
42	можно было бы	5	1
43	можем сказать что	1	1
44	этого никогда не	2	1
45	на них мы	1	1
46	может быть именно	1	1
47	еще в году	1	1
48	и прежде всего	1	1
49	в мифах и	1	1
50	мы имеем в	4	1
51	в этой работе	1	1
52	мы здесь имеем	3	1
53	могут быть объяснены	1	1
54	по женской линии	1	1
55	в себя и	1	1
56	только в одном	2	1
57	через некоторое время	1	1
58	может быть даже	1	1
59	чем иным как	1	1
60	же как и	1	1
61	уже знаем что	2	1
62	так как его	1	1
63	и пр в	1	1
64	мы живем в	1	1
65	то ни было	2	1
66	а иногда и	1	1
67	и к другим	1	1
68	вспомним хотя бы	1	1
69	мы останавливаться не	1	1
70	в высшей степени	1	1
71	мы увидим что	8	1
72	же мы видим	1	1
73	мы видим и	1	1
74	на первый взгляд	2	1
75	и др но	1	1
76	то же самое	3	1
77	она может быть	1	1
78	во всем мире	1	1
79	это приводит к	1	1
80	как один из	2	1
81	для того чтобы	1	1
82	по его мнению	2	1
83	мы еще не	1	1
84	может быть сведен	1	1
85	и что он	1	1
86	и она не	1	1
87	как это делает	1	1
88	в нем и	1	1
89	с одной стороны	7	1
90	на этом пути	1	1
91	в этом отношении	1	1
92	на вопрос о	1	1
93	таким образом и	1	1
94	бы то ни	2	1
95	само нуждается в	1	1
96	а в некоторых	1	1
97	и связанные с	1	1
98	если бы он	1	1
99	в связи с	5	1
100	уже не может	1	1
101	может быть только	1	1
