N	2gram	Nazirov_Vr	Komedia
1	и в	8	77
2	в комедии	1	58
3	и не	5	47
4	в том	3	44
5	том что	3	42
6	о том	4	33
7	т е	3	33
8	едва ли	1	32
9	но и	7	32
10	может быть	4	30
11	из них	2	29
12	таким образом	2	29
13	в то	5	28
14	и его	3	28
15	в этом	8	27
16	потому что	1	27
17	что он	4	26
18	молодого человека	1	26
19	тому же	1	25
20	не только	9	25
21	вместе с	2	25
22	как и	6	23
23	что в	7	23
24	в самом	1	22
25	то же	5	21
26	ясно что	1	21
27	в конце	3	21
28	так и	1	21
29	а в	2	21
30	в его	3	20
31	к этому	3	19
32	во время	2	19
33	молодой человек	1	18
34	в этой	2	18
35	тем что	3	17
36	же время	5	17
37	в нем	6	17
38	еще не	2	17
39	при этом	4	16
40	все же	6	16
41	не менее	2	16
42	у него	5	16
43	сих пор	1	16
44	он не	3	16
45	и сам	1	16
46	до сих	1	16
47	в своем	3	15
48	точки зрения	2	15
49	его в	3	15
50	между тем	5	15
51	один из	1	15
52	было бы	1	15
53	прежде всего	1	15
54	и с	6	14
55	столь же	2	14
56	к нему	1	14
57	в свою	2	14
58	все это	4	14
59	ли не	1	14
60	об этом	5	14
61	только что	1	13
62	о чем	2	13
63	в них	2	13
64	в одном	1	13
65	того же	1	13
66	как раз	2	13
67	то что	7	13
68	но в	6	13
69	в котором	6	12
70	так же	4	12
71	с другой	1	12
72	несмотря на	4	12
73	хотя и	1	12
74	в качестве	1	12
75	из которых	1	12
76	как в	1	12
77	уже в	4	12
78	в истории	4	12
79	в начале	6	12
80	не может	2	12
81	но не	1	12
82	и даже	6	11
83	наряду с	3	11
84	с ним	4	11
85	то время	1	11
86	речь идет	3	11
87	на этот	1	11
88	в их	1	11
89	в частности	1	11
90	с этим	1	10
91	сразу же	1	10
92	он был	3	10
93	свою очередь	1	10
94	тут же	1	10
95	к себе	2	10
96	в чем	3	10
97	как бы	4	10
98	и что	8	10
99	ничуть не	1	10
100	и все	7	10
101	в глазах	2	10
102	с его	3	10
103	ничего не	1	10
104	тем более	2	10
105	еще в	1	10
106	отношение к	2	10
107	же в	2	10
108	в целом	1	10
109	все что	1	9
110	в своей	2	9
111	говорить о	1	9
112	друг друга	1	9
113	независимо от	1	9
114	однако в	1	9
115	ответ на	2	9
116	того как	1	9
117	а также	2	9
118	в ней	4	9
119	другой стороны	1	8
120	что ни	1	8
121	что у	3	8
122	не было	5	8
123	бы в	1	8
124	во всех	1	8
125	что для	1	8
126	да и	1	8
127	тех пор	1	8
128	связи с	3	8
129	по своему	1	8
130	как он	1	8
131	идет о	1	8
132	в в	2	8
133	и ее	2	8
134	место в	2	8
135	в этих	1	7
136	равно как	1	7
137	если в	1	7
138	во всяком	1	7
139	что они	1	7
140	в н	1	7
141	х годов	4	7
142	в связи	3	7
143	и это	2	7
144	в себе	2	7
145	скорее всего	1	7
146	и у	3	7
147	это время	1	7
148	не имеет	1	7
149	после смерти	2	7
150	мы знаем	2	7
151	целый ряд	4	7
152	и во	3	7
153	до конца	1	7
154	всяком случае	1	7
155	для нас	4	7
156	этот раз	1	7
157	отнюдь не	2	7
158	и о	3	7
159	конце концов	1	7
160	еще более	1	6
161	в виду	4	6
162	в своих	4	6
163	там же	2	6
164	до того	1	6
165	как правило	1	6
166	не мог	2	6
167	и он	2	6
168	не слишком	1	6
169	с точки	2	6
170	не хочет	1	6
171	могут быть	1	6
172	в силу	1	6
173	в другой	1	6
174	лет тому	1	6
175	тому назад	1	6
176	никто не	1	6
177	которую он	1	6
178	тем не	1	6
179	так в	2	6
180	что к	2	6
181	и как	3	6
182	на то	3	6
183	это было	1	6
184	человека в	3	6
185	во второй	1	6
186	на это	2	6
187	для всех	1	5
188	из всех	1	5
189	из двух	1	5
190	именно в	1	5
191	его на	2	5
192	роль в	1	5
193	первое место	1	5
194	в это	2	5
195	с помощью	1	5
196	из своего	1	5
197	к ним	2	5
198	от них	1	5
199	себя в	1	5
200	никогда не	2	5
201	в ее	1	5
202	после этого	2	5
203	но он	3	5
204	одним из	3	5
205	также в	1	5
206	в мире	2	5
207	одном из	1	5
208	в развитии	1	5
209	не могла	1	5
210	в первой	1	5
211	и от	1	5
212	в ответ	1	5
213	представление о	1	5
214	что это	1	5
215	ненависти к	1	5
216	ему и	1	5
217	том как	1	5
218	совпадают с	1	5
219	вслед за	1	5
220	в обоих	1	5
221	той же	1	5
222	что я	2	5
223	этом отношении	1	5
224	это не	4	5
225	он и	1	5
226	в честь	2	5
227	же не	2	5
228	и я	1	5
229	раз в	3	5
230	ему не	1	5
231	от того	1	5
232	что из	1	5
233	жизни и	1	5
234	в период	2	5
235	его современников	1	5
236	в той	2	4
237	нас в	1	4
238	него в	1	4
239	в духе	1	4
240	правда в	1	4
241	их в	2	4
242	дома и	1	4
243	не всегда	1	4
244	в плен	1	4
245	одна из	2	4
246	ближе к	1	4
247	к которому	1	4
248	это слово	1	4
249	я не	3	4
250	же как	2	4
251	выражение в	1	4
252	и речи	1	4
253	что эта	1	4
254	один раз	1	4
255	по своей	1	4
256	как известно	1	4
257	с которым	2	4
258	из этого	1	4
259	к сожалению	1	4
260	нет ничего	1	4
261	каждый из	1	4
262	что же	1	4
263	по мнению	2	4
264	хотя в	1	4
265	второй половине	1	4
266	б и	2	4
267	все равно	1	4
268	по его	1	4
269	такой же	1	4
270	и их	1	4
271	далеко не	3	4
272	в остальном	1	4
273	во всем	1	3
274	к этой	1	3
275	за исключением	1	3
276	или по	1	3
277	в году	18	3
278	похож на	1	3
279	в соответствии	1	3
280	выясняется что	1	3
281	сам же	1	3
282	было в	1	3
283	брата и	1	3
284	больше не	1	3
285	людей и	1	3
286	другой раз	1	3
287	как на	1	3
288	соответствии с	1	3
289	при виде	1	3
290	затем в	1	3
291	восходят к	1	3
292	были известны	1	3
293	время и	2	3
294	собой в	1	3
295	искать в	1	3
296	отношения к	2	3
297	в таком	1	3
298	в эту	2	3
299	не был	1	3
300	а с	2	3
301	того в	1	3
302	для создания	1	3
303	ли это	1	3
304	узнав о	1	3
305	одну из	1	3
306	нельзя не	1	3
307	и есть	1	3
308	роль играет	1	3
309	из произведений	1	3
310	также что	1	3
311	целого ряда	1	3
312	его с	2	3
313	ироническое отношение	1	3
314	и из	1	3
315	о которой	2	3
316	человеческих типов	1	3
317	если это	1	3
318	как о	1	3
319	его и	2	3
320	и и	1	3
321	и уже	3	3
322	к людям	1	3
323	к своим	1	3
324	не совсем	1	3
325	у женщин	1	3
326	только при	1	3
327	том же	2	3
328	могли быть	2	3
329	как к	1	3
330	которым он	1	3
331	ему в	1	3
332	предположение что	1	3
