N	2gram	Tiupa_Hudo	slovoVRo
1	и в	34	92
2	в романе	1	89
3	и т	15	82
4	т п	10	72
5	то есть	1	64
6	может быть	12	59
7	и его	8	59
8	в нем	5	59
9	и не	15	51
10	не только	22	44
11	не может	10	41
12	но и	13	39
13	до конца	3	37
14	в этом	22	36
15	а не	23	34
16	во всех	2	32
17	точки зрения	7	30
18	так и	19	30
19	могут быть	1	29
20	и др	1	29
21	в пределах	4	29
22	в его	17	27
23	слова в	2	26
24	все это	2	25
25	как бы	11	24
26	слова и	1	24
27	то же	14	23
28	и на	6	22
29	в сущности	2	21
30	как в	11	21
31	не в	16	21
32	вовсе не	2	21
33	в то	12	20
34	прежде всего	12	19
35	как мы	5	19
36	с ним	6	18
37	как и	16	18
38	же время	11	18
39	себя в	11	18
40	или иной	2	18
41	и даже	4	17
42	все же	5	17
43	в основе	3	17
44	все эти	4	17
45	при этом	21	16
46	в них	3	16
47	к своему	2	16
48	отличие от	1	16
49	но в	6	16
50	и с	10	15
51	человек и	1	15
52	с точки	5	15
53	со своим	5	15
54	той или	1	15
55	там где	2	15
56	романа и	1	14
57	только в	8	14
58	в отличие	1	14
59	узком смысле	1	14
60	так сказать	3	14
61	в узком	1	14
62	в особенности	1	13
63	отношении к	1	13
64	в слове	1	13
65	на фоне	5	13
66	это не	12	13
67	с другой	4	13
68	с его	9	13
69	точка зрения	1	13
70	чужих слов	1	13
71	рядом с	5	13
72	и для	5	13
73	и к	6	12
74	в отношении	1	12
75	еще не	10	12
76	во всяком	1	12
77	никогда не	8	12
78	и потому	3	12
79	или в	3	12
80	а в	11	12
81	отношение к	3	12
82	один из	6	11
83	в этих	7	11
84	с ними	3	11
85	чужое слово	1	11
86	для него	15	11
87	с одной	4	11
88	на его	2	11
89	в плане	1	11
90	одной стороны	4	11
91	слова как	2	11
92	зрения на	2	10
93	и все	10	10
94	уже не	12	10
95	все они	2	10
96	лишь в	5	10
97	т д	5	10
98	в своем	9	10
99	может не	1	10
100	в том	24	10
101	с другими	2	10
102	она не	6	10
103	в себе	19	10
104	далеко не	1	10
105	в него	2	10
106	всех этих	1	10
107	пределах одного	1	9
108	романа в	3	9
109	поэтому и	2	9
110	более или	1	9
111	в своей	15	9
112	сказать что	3	9
113	этом случае	1	9
114	так как	2	9
115	его в	5	9
116	у толстого	2	9
117	одна из	4	9
118	в их	2	9
119	в смысле	1	9
120	или менее	1	9
121	героя и	5	9
122	и других	1	9
123	он не	8	9
124	к чужому	4	9
125	и от	6	9
126	но не	7	9
127	с ее	7	9
128	к нему	2	9
129	в самом	7	8
130	для нас	4	8
131	не на	1	8
132	не могут	1	8
133	может стать	1	8
134	в значительной	3	8
135	установка на	1	8
136	все время	2	8
137	с этим	3	8
138	человека в	10	8
139	всяком случае	1	8
140	входит в	1	8
141	в одной	3	8
142	человека и	4	8
143	на мир	1	8
144	в ней	6	8
145	от него	3	7
146	же и	3	7
147	еще более	1	7
148	но все	2	7
149	о нем	4	7
150	например в	3	7
151	том что	31	7
152	перед нами	13	7
153	но здесь	1	7
154	автора и	4	7
155	известной степени	1	7
156	значительной степени	3	7
157	но именно	3	7
158	здесь не	2	7
159	в романах	1	7
160	друг друга	5	7
161	по преимуществу	6	7
162	мышления и	3	7
163	у него	13	7
164	не было	8	7
165	связи с	4	7
166	в таком	3	7
167	мы уже	7	7
168	его не	1	7
169	также и	1	7
170	с которым	1	7
171	жизни и	10	7
172	в целом	2	7
173	что в	8	6
174	и здесь	1	6
175	вне себя	1	6
176	дело с	2	6
177	даже в	4	6
178	в одном	3	6
179	ни в	5	6
180	другой стороны	1	6
181	по себе	3	6
182	именно в	9	6
183	чужому слову	1	6
184	подхода к	1	6
185	одновременно и	5	6
186	роль в	2	6
187	себя и	4	6
188	автор не	1	6
189	можно сказать	9	6
190	по своим	2	6
191	в свою	1	6
192	наконец в	2	6
193	говорить о	4	6
194	слов и	1	6
195	и там	1	6
196	в контексте	2	6
197	как к	4	6
198	и прямо	1	6
199	в качестве	13	6
200	слово не	2	6
201	xix века	1	6
202	бы и	2	6
203	лежит в	1	6
204	а также	4	6
205	человек в	3	6
206	на этом	5	6
207	хотя бы	2	6
208	между тем	14	6
209	стороны и	1	6
210	нем и	1	6
211	он в	2	6
212	точку зрения	1	6
213	ничего не	11	6
214	эпохи и	1	6
215	героя в	2	5
216	не как	3	5
217	в результате	2	5
218	в рамки	1	5
219	к его	1	5
220	они не	2	5
221	по отношению	15	5
222	вместе с	2	5
223	не менее	9	5
224	о том	21	5
225	его и	2	5
226	не является	1	5
227	в противовес	2	5
228	в данном	3	5
229	и более	2	5
230	мы не	2	5
231	для того	3	5
232	только на	6	5
233	каждое слово	1	5
234	прозы в	1	5
235	той же	3	5
236	отношению к	15	5
237	со словом	1	5
238	но он	3	5
239	в дальнейшем	2	5
240	между этими	1	5
241	уже в	2	5
242	хотя и	3	5
243	этом отношении	4	5
244	в каждый	1	5
245	слова не	1	5
