N	4gram	Voloshinov	Problema
1	то же самое время	2	16
2	в то же самое	2	16
3	не что иное как	2	14
4	есть не что иное	2	11
5	и в этом случае	1	6
6	одним и тем же	1	4
7	в собственном смысле слова	1	4
8	одно и то же	5	4
9	в связи с этим	2	4
10	в тех случаях когда	2	3
11	и в то же	2	3
12	одного и того же	1	3
13	как мы увидим ниже	1	3
14	но в то же	2	3
15	одной и той же	4	2
16	мы уже видели что	1	2
17	не может обойтись без	1	2
18	мысль о том что	1	2
19	не говоря уже об	1	2
20	уже содержит в себе	1	2
21	как бы мы ни	2	2
22	все больше и больше	2	2
23	на эту тему в	1	1
24	само по себе не	1	1
25	то что мы в	1	1
26	о том что такое	1	1
27	с нашей точки зрения	1	1
28	можно было бы говорить	1	1
29	мы как раз и	1	1
30	ни на один из	1	1
31	мы имели в виду	2	1
32	о котором мы говорили	1	1
33	и есть не что	1	1
34	то или иное значение	1	1
35	для того чтобы не	1	1
36	прежде всего мы должны	1	1
37	в то же время	7	1
38	не связанных между собой	1	1
39	тех случаях когда мы	1	1
40	что же такое слово	1	1
41	серп и молот являются	1	1
42	в одном и том	1	1
43	то же самое и	1	1
44	как таковой еще не	1	1
45	тем не менее и	1	1
46	не говоря ни слова	1	1
47	только тогда когда мы	1	1
48	к окружающей нас действительности	1	1
49	но возможно также и	1	1
50	но для того чтобы	2	1
51	как мы уже видели	1	1
52	в жизни и в	1	1
53	но даже и в	1	1
54	и не может быть	1	1
55	сколько бы мы ни	1	1
56	вещи и как мы	1	1
57	одном и том же	2	1
58	на то или иное	1	1
59	вместе с тем и	2	1
60	только благодаря тому что	1	1
61	бросается в глаза и	1	1
62	в таких словах как	1	1
63	и не было бы	1	1
64	не просто отражает действительность	1	1
65	нельзя было говорить о	1	1
66	возникновения и развития языка	1	1
67	между внутренней и внешней	2	1
