N	3gram	Medvedev_V	RusskieA
1	в том что	5	49
2	и т д	16	21
3	в этом случае	1	12
4	вместе с тем	4	11
5	о том что	3	10
6	в том чтобы	2	9
7	для того чтобы	3	8
8	в данном случае	1	8
9	подобно тому как	3	8
10	о том же	3	7
11	т е в	2	7
12	не может быть	8	6
13	по этому поводу	7	6
14	так же как	1	6
15	после того как	2	6
16	в связи с	4	5
17	к тому что	4	5
18	мы видели что	3	5
19	бросается в глаза	1	4
20	только тогда когда	1	4
21	в то время	1	4
22	можно было бы	2	4
23	во всяком случае	2	4
24	один из них	1	4
25	мы не будем	1	4
26	к этому же	1	4
27	но вместе с	1	3
28	по отношению к	7	3
29	более или менее	6	3
30	было бы значительно	1	3
31	до сих пор	2	3
32	же как и	1	3
33	в свою очередь	1	3
34	на то что	1	3
35	бы значительно увеличить	1	3
36	между тем это	1	3
37	все же не	1	3
38	состоял в том	1	3
39	может быть и	1	3
40	некоторые из них	1	2
41	о том как	3	2
42	и т п	9	2
43	приводят нас к	1	2
44	дело не в	1	2
45	не значит что	1	2
46	совершенно очевидно что	1	2
47	ничего общего с	1	2
48	но все же	1	2
49	не только у	1	2
50	с другой стороны	8	2
51	равно как и	4	2
52	том же говорит	1	2
53	но она не	1	2
54	ту или иную	1	2
55	можно сказать что	4	2
56	в этом и	2	2
57	вопрос о том	1	2
58	иметь в виду	2	2
59	ни одна из	1	2
60	не только в	2	2
61	во всех этих	2	2
62	в виду что	1	2
63	по его мнению	1	2
64	одна из них	1	2
65	с одной стороны	2	2
66	в этом отношении	14	2
67	показывают что в	1	1
68	риме во время	1	1
69	имеет ничего общего	1	1
70	в одном и	1	1
71	в том же	1	1
72	как будто бы	1	1
73	т е тот	1	1
74	не могло бы	1	1
75	в своем дневнике	1	1
76	и он же	1	1
77	не в этом	1	1
78	человека а не	1	1
79	того или другого	1	1
80	связаны не с	1	1
81	на основании этих	1	1
82	может быть принято	1	1
83	как видно из	1	1
84	по наблюдениям в	1	1
85	видно из приведенных	3	1
86	далеко не всегда	1	1
87	все то что	1	1
88	в таком случае	1	1
89	что один из	1	1
90	прямо и непосредственно	1	1
91	развитии может быть	1	1
92	мы знаем что	2	1
93	то о чем	1	1
94	а между тем	1	1
95	более полное и	1	1
96	которые не имели	1	1
97	между собой не	1	1
98	по аналогии с	1	1
99	что в них	1	1
100	сюда относится например	1	1
101	к тому же	1	1
102	из них не	2	1
103	на этот вопрос	1	1
104	говорит о том	1	1
105	мы видим что	1	1
106	не имеет ничего	1	1
107	одна из форм	1	1
108	не может не	2	1
109	дело так будто	1	1
110	вот что пишет	2	1
111	то же самое	1	1
112	того момента когда	1	1
113	сама по себе	1	1
114	как это происходит	1	1
115	его следующим образом	1	1
116	в другом месте	2	1
117	во всех других	1	1
118	в италии и	1	1
119	же говорит и	3	1
120	в применении к	1	1
121	одном и том	2	1
122	те из них	2	1
123	виду что в	1	1
124	этому поводу с	1	1
125	в одном из	4	1
126	может быть принята	1	1
127	между собою и	1	1
128	т е не	1	1
129	не только для	2	1
130	и том же	2	1
131	т е из	1	1
132	в противном случае	2	1
133	а вместе с	1	1
134	и может быть	1	1
135	но и в	1	1
136	как мы знаем	1	1
137	из приведенных выше	3	1
138	главным образом на	1	1
139	то что в	1	1
140	как один из	1	1
141	связи с жизнью	1	1
142	только в том	2	1
143	таким образом в	2	1
144	хотя и не	1	1
145	описывает его следующим	1	1
146	что мы имеем	1	1
147	приводит к тому	2	1
148	как и все	1	1
149	из этих элементов	1	1
150	по меньшей мере	1	1
151	еще не означает	1	1
152	но некоторые из	1	1
153	к этому типу	1	1
154	может быть признана	1	1
155	в новое время	1	1
156	по этому вопросу	2	1
157	по существу в	1	1
158	это и есть	3	1
159	то время как	1	1
160	условно можно назвать	1	1
